"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","26,960.00","26,430.00","27,260.00","26,290.00","7.31K","1.03%"
"03/12/2026","26,685.00","27,000.00","27,000.00","26,530.00","6.59K","-1.89%"
"03/11/2026","27,200.00","27,000.00","27,325.00","26,650.00","9.15K","1.45%"
"03/10/2026","26,810.00","27,300.00","27,365.00","26,705.00","9.97K","-1.38%"
"03/09/2026","27,185.00","27,000.00","27,300.00","26,735.00","6.40K","-0.51%"
"03/06/2026","27,325.00","27,615.00","27,630.00","27,160.00","6.06K","-1.05%"
"03/05/2026","27,615.00","27,905.00","28,490.00","27,520.00","18.83K","-0.75%"
"03/04/2026","27,825.00","26,805.00","27,930.00","26,505.00","25.34K","3.81%"
"03/02/2026","26,805.00","26,025.00","26,900.00","26,000.00","12.53K","1.04%"
"02/27/2026","26,530.00","26,410.00","26,595.00","26,075.00","7.17K","0.66%"
"02/26/2026","26,355.00","26,540.00","26,540.00","26,265.00","1.91K","-0.21%"
"02/25/2026","26,410.00","26,485.00","26,500.00","26,100.00","5.55K","0.17%"
"02/24/2026","26,365.00","26,400.00","26,520.00","26,215.00","1.96K","-0.40%"
"02/23/2026","26,470.00","26,415.00","26,515.00","26,240.00","4.51K","0.67%"
"02/20/2026","26,295.00","26,495.00","26,780.00","26,250.00","7.70K","-0.38%"
"02/19/2026","26,395.00","26,530.00","26,545.00","26,335.00","4.98K","-0.25%"
"02/18/2026","26,460.00","26,740.00","26,850.00","26,435.00","7.66K","-0.60%"
"02/17/2026","26,620.00","26,470.00","26,700.00","26,210.00","8.45K","1.26%"
"02/16/2026","26,290.00","26,495.00","26,665.00","26,240.00","4.78K","-0.64%"
