"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","5,355.50","5,422.00","5,471.50","5,335.50","103.32K","-1.63%"
"03/12/2026","5,444.00","5,515.50","5,528.00","5,400.00","121.87K","-1.81%"
"03/11/2026","5,544.50","5,662.00","5,665.00","5,514.50","147.78K","-1.28%"
"03/10/2026","5,616.50","5,509.50","5,664.50","5,500.00","127.59K","2.87%"
"03/09/2026","5,460.00","5,500.00","5,518.50","5,421.00","41.69K","-1.27%"
"03/06/2026","5,530.00","5,580.00","5,583.00","5,497.00","41.27K","-0.36%"
"03/05/2026","5,550.00","5,476.50","5,573.50","5,454.00","96.35K","1.53%"
"03/04/2026","5,466.50","5,489.50","5,536.00","5,432.00","87.65K","-1.79%"
"03/02/2026","5,566.00","5,415.00","5,619.50","5,415.00","54.26K","-1.30%"
"02/27/2026","5,639.50","5,752.00","5,781.50","5,614.00","131.57K","-1.96%"
"02/26/2026","5,752.00","5,635.00","5,764.50","5,622.50","84.23K","2.26%"
"02/25/2026","5,625.00","5,508.50","5,655.00","5,468.00","231.44K","2.36%"
"02/24/2026","5,495.50","5,500.00","5,508.50","5,448.00","119.45K","0.09%"
"02/23/2026","5,490.50","5,415.00","5,504.00","5,395.50","139.37K","1.83%"
"02/20/2026","5,392.00","5,330.00","5,401.50","5,328.50","66.66K","0.28%"
"02/19/2026","5,377.00","5,517.00","5,517.00","5,350.50","190.96K","-1.59%"
"02/18/2026","5,464.00","5,460.00","5,483.50","5,401.50","83.59K","0.14%"
"02/17/2026","5,456.50","5,500.00","5,510.00","5,415.50","74.67K","-0.44%"
"02/16/2026","5,480.50","5,431.00","5,537.00","5,364.00","132.79K","1.44%"
"02/13/2026","5,402.50","5,850.00","5,850.00","5,331.50","605.12K","-7.97%"
"02/12/2026","5,870.50","5,894.00","5,906.00","5,810.00","70.02K","-0.33%"
"02/11/2026","5,890.00","5,840.00","5,915.00","5,745.00","78.72K","1.35%"
"02/10/2026","5,811.50","5,750.00","5,833.00","5,733.00","84.51K","1.06%"
"02/09/2026","5,750.50","5,699.50","5,800.00","5,670.00","227.96K","1.17%"
"02/06/2026","5,684.00","5,683.00","5,706.00","5,569.00","52.72K","0.38%"
"02/05/2026","5,662.50","5,650.50","5,699.00","5,584.50","108.12K","0.16%"
"02/04/2026","5,653.50","5,678.00","5,728.00","5,635.00","78.85K","-0.86%"
"02/03/2026","5,702.50","5,714.00","5,747.00","5,628.00","175.75K","3.28%"
"02/02/2026","5,521.50","5,616.00","5,616.00","5,406.00","129.26K","-0.78%"
"02/01/2026","5,565.00","5,690.00","5,707.50","5,506.00","23.99K","-1.98%"
"01/30/2026","5,677.50","5,690.00","5,750.00","5,640.00","160.84K","-0.62%"
"01/29/2026","5,713.00","5,750.00","5,750.00","5,613.50","64.42K","-0.17%"
"01/28/2026","5,722.50","5,748.50","5,789.50","5,650.50","168.89K","-0.55%"
"01/27/2026","5,754.00","5,812.50","5,812.50","5,707.00","99.48K","0.06%"
"01/23/2026","5,750.50","5,785.00","5,811.50","5,724.00","77.30K","-0.14%"
"01/22/2026","5,758.50","5,680.50","5,784.50","5,655.00","246.94K","1.80%"
"01/21/2026","5,656.50","5,680.50","5,769.00","5,586.50","76.71K","-1.12%"
"01/20/2026","5,720.50","5,745.00","5,785.00","5,670.50","160.20K","-0.48%"
"01/19/2026","5,748.00","5,835.00","5,844.50","5,699.00","128.57K","-1.52%"
"01/16/2026","5,836.50","5,836.00","5,879.50","5,796.50","120.34K","0.10%"
"01/14/2026","5,830.50","5,888.00","5,888.50","5,778.50","89.06K","-0.56%"
"01/13/2026","5,863.50","5,907.00","5,933.50","5,813.50","183.10K","-0.06%"
"01/12/2026","5,867.00","5,799.00","5,886.00","5,713.50","118.16K","1.17%"
"01/09/2026","5,799.00","5,775.50","5,825.00","5,707.00","134.37K","0.10%"
"01/08/2026","5,793.00","5,805.50","5,847.50","5,763.50","133.29K","-0.23%"
"01/07/2026","5,806.50","5,675.00","5,833.00","5,634.50","188.59K","2.67%"
"01/06/2026","5,655.50","5,554.50","5,679.50","5,554.50","86.11K","1.86%"
"01/05/2026","5,552.50","5,599.00","5,616.50","5,531.50","42.05K","-0.72%"
"01/02/2026","5,592.50","5,498.00","5,600.00","5,448.50","37.65K","2.36%"
"01/01/2026","5,463.50","5,477.00","5,519.50","5,384.00","44.39K","-0.78%"
"12/31/2025","5,506.50","5,450.00","5,528.50","5,426.50","37.48K","0.69%"
"12/30/2025","5,469.00","5,485.00","5,496.50","5,405.00","145.56K","-0.65%"
"12/29/2025","5,505.00","5,573.00","5,573.00","5,481.00","39.10K","-0.54%"
"12/26/2025","5,535.00","5,539.00","5,581.00","5,508.00","40.41K","-0.56%"
"12/24/2025","5,566.00","5,570.00","5,593.00","5,534.00","41.26K","-0.55%"
"12/23/2025","5,597.00","5,611.00","5,660.00","5,560.50","28.30K","-0.48%"
"12/22/2025","5,624.00","5,555.50","5,654.50","5,555.50","82.27K","1.23%"
"12/19/2025","5,555.50","5,506.00","5,593.00","5,499.00","51.67K","0.62%"
