"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","6,071.00","6,275.00","6,326.00","6,055.00","200.94K","-3.36%"
"03/12/2026","6,282.00","6,330.00","6,330.50","6,221.00","153.88K","-1.11%"
"03/11/2026","6,352.50","6,373.00","6,450.00","6,330.00","254.12K","-0.31%"
"03/10/2026","6,372.00","6,364.50","6,479.00","6,354.00","298.25K","0.66%"
"03/09/2026","6,330.00","6,277.00","6,364.00","6,173.50","260.78K","0.02%"
"03/06/2026","6,329.00","6,340.00","6,428.00","6,315.00","269.35K","-0.56%"
"03/05/2026","6,364.50","6,316.50","6,395.00","6,300.00","291.29K","0.77%"
"03/04/2026","6,316.00","6,340.00","6,363.50","6,238.50","369.39K","-1.37%"
"03/02/2026","6,403.50","6,271.50","6,419.00","6,263.50","300.34K","-0.08%"
"02/27/2026","6,408.50","6,424.00","6,475.00","6,383.50","466.87K","-1.01%"
"02/26/2026","6,474.00","6,442.00","6,564.50","6,376.00","392.37K","1.23%"
"02/25/2026","6,395.50","6,254.50","6,418.00","6,250.00","348.44K","2.24%"
"02/24/2026","6,255.50","6,255.00","6,293.50","6,226.50","92.14K","-0.60%"
"02/23/2026","6,293.50","6,337.00","6,343.50","6,245.50","97.29K","0.04%"
"02/20/2026","6,291.00","6,297.50","6,320.00","6,251.50","338.57K","-0.10%"
"02/19/2026","6,297.50","6,255.00","6,350.00","6,251.00","185.83K","0.22%"
"02/18/2026","6,283.50","6,165.00","6,299.00","6,165.00","438.67K","1.55%"
"02/17/2026","6,187.50","6,125.50","6,230.00","6,102.50","151.26K","0.62%"
"02/16/2026","6,149.50","6,105.50","6,222.00","6,008.50","175.63K","-0.31%"
"02/13/2026","6,168.50","6,141.00","6,200.00","6,054.00","299.36K","-0.27%"
"02/12/2026","6,185.00","6,448.00","6,448.00","6,131.50","1.20M","-3.16%"
"02/11/2026","6,386.50","6,194.00","6,793.00","6,126.00","1.26M","3.42%"
"02/10/2026","6,175.50","6,153.00","6,228.00","6,151.00","237.89K","1.01%"
"02/09/2026","6,113.50","6,079.00","6,150.00","6,041.00","219.40K","1.48%"
