"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","2,314.90","2,348.00","2,361.90","2,297.20","695.88K","-1.80%"
"03/12/2026","2,357.30","2,337.00","2,361.40","2,306.00","870.86K","0.54%"
"03/11/2026","2,344.60","2,350.00","2,377.60","2,336.50","985.11K","0.31%"
"03/10/2026","2,337.40","2,318.00","2,358.00","2,314.60","1.12M","1.49%"
"03/09/2026","2,303.10","2,310.00","2,319.90","2,284.40","852.49K","-1.74%"
"03/06/2026","2,343.80","2,341.00","2,369.50","2,324.80","1.37M","0.47%"
"03/05/2026","2,332.90","2,310.00","2,361.60","2,310.00","1.68M","1.21%"
"03/04/2026","2,304.90","2,311.10","2,312.00","2,268.40","1.34M","-0.27%"
"03/02/2026","2,311.10","2,275.60","2,322.40","2,261.30","580.93K","0.40%"
"02/27/2026","2,301.90","2,330.00","2,336.30","2,291.70","955.39K","-0.92%"
"02/26/2026","2,323.20","2,292.20","2,331.80","2,288.80","914.96K","1.35%"
"02/25/2026","2,292.20","2,267.20","2,299.70","2,254.80","1.10M","1.87%"
"02/24/2026","2,250.20","2,252.50","2,257.90","2,235.00","1.07M","0.39%"
"02/23/2026","2,241.40","2,220.00","2,254.40","2,210.50","745.47K","0.99%"
"02/20/2026","2,219.40","2,218.00","2,241.20","2,210.40","509.57K","-0.42%"
"02/19/2026","2,228.70","2,234.00","2,251.00","2,205.10","492.28K","0.09%"
"02/18/2026","2,226.70","2,255.00","2,255.00","2,220.80","381.52K","-0.93%"
"02/17/2026","2,247.50","2,235.00","2,263.00","2,228.00","932.84K","1.17%"
"02/16/2026","2,221.50","2,219.30","2,238.80","2,191.90","1.26M","1.01%"
"02/13/2026","2,199.30","2,210.00","2,219.20","2,160.00","1.13M","-0.53%"
"02/12/2026","2,211.10","2,218.00","2,221.30","2,171.70","804.23K","0.09%"
"02/11/2026","2,209.10","2,215.00","2,230.30","2,198.10","560.10K","0.23%"
"02/10/2026","2,204.10","2,214.00","2,233.80","2,196.20","692.20K","0.33%"
"02/09/2026","2,196.80","2,189.90","2,215.50","2,168.50","619.26K","1.06%"
"02/06/2026","2,173.70","2,214.00","2,214.00","2,162.10","600.79K","-2.02%"
"02/05/2026","2,218.50","2,204.00","2,244.50","2,196.90","1.05M","1.06%"
"02/04/2026","2,195.20","2,196.30","2,210.10","2,159.20","984.95K","0.43%"
"02/03/2026","2,185.90","2,225.00","2,225.00","2,163.70","1.25M","2.65%"
"02/02/2026","2,129.40","2,135.30","2,148.00","2,078.20","567.48K","-0.27%"
"02/01/2026","2,135.20","2,153.00","2,161.00","2,091.90","431.25K","-0.82%"
"01/30/2026","2,152.80","2,130.00","2,168.00","2,120.30","1.15M","0.97%"
"01/29/2026","2,132.10","2,125.20","2,137.90","2,088.00","694.72K","0.12%"
"01/28/2026","2,129.50","2,154.90","2,162.60","2,116.60","926.44K","-0.98%"
