"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","4,390.00","4,422.10","4,482.90","4,360.00","572.56K","-1.26%"
"03/12/2026","4,446.00","4,406.00","4,460.20","4,391.00","322.86K","0.33%"
"03/11/2026","4,431.20","4,450.00","4,456.40","4,413.10","311.57K","0.08%"
"03/10/2026","4,427.80","4,393.70","4,470.00","4,389.00","374.41K","1.24%"
"03/09/2026","4,373.70","4,295.00","4,388.40","4,259.20","470.67K","1.29%"
"03/06/2026","4,317.80","4,353.50","4,380.30","4,287.00","413.70K","-0.82%"
"03/05/2026","4,353.40","4,348.90","4,394.40","4,328.90","284.38K","0.29%"
"03/04/2026","4,341.00","4,310.10","4,364.90","4,285.10","433.70K","-0.65%"
"03/02/2026","4,369.20","4,191.00","4,397.50","4,175.20","231.77K","0.83%"
"02/27/2026","4,333.30","4,420.30","4,425.00","4,322.70","404.93K","-1.51%"
"02/26/2026","4,399.80","4,418.90","4,470.00","4,389.20","360.65K","-0.43%"
"02/25/2026","4,418.90","4,420.00","4,443.50","4,358.00","359.92K","0.48%"
"02/24/2026","4,397.90","4,307.00","4,423.00","4,281.50","846.80K","2.10%"
"02/23/2026","4,307.60","4,276.10","4,325.00","4,244.00","299.32K","1.55%"
"02/20/2026","4,241.70","4,224.10","4,250.40","4,175.50","341.53K","0.36%"
"02/19/2026","4,226.40","4,238.70","4,280.70","4,205.00","436.18K","0.37%"
"02/18/2026","4,210.80","4,258.40","4,269.90","4,186.60","347.89K","-1.12%"
"02/17/2026","4,258.40","4,271.50","4,276.10","4,218.50","250.83K","-0.07%"
"02/16/2026","4,261.50","4,144.30","4,324.90","4,118.00","1.64M","4.50%"
"02/13/2026","4,078.00","4,077.20","4,130.00","4,057.30","518.97K","0.02%"
"02/12/2026","4,077.20","4,056.70","4,098.90","4,027.00","223.39K","0.51%"
"02/11/2026","4,056.70","4,085.00","4,092.90","4,041.00","127.70K","-0.56%"
"02/10/2026","4,079.60","4,009.00","4,085.00","4,008.20","192.73K","2.06%"
"02/09/2026","3,997.20","3,968.50","4,018.70","3,936.20","483.76K","1.48%"
"02/06/2026","3,939.00","3,963.10","3,963.10","3,908.80","231.32K","-0.94%"
"02/05/2026","3,976.40","4,029.90","4,029.90","3,931.80","230.24K","-1.17%"
"02/04/2026","4,023.50","4,066.00","4,068.10","3,986.70","319.62K","-0.55%"
"02/03/2026","4,045.60","4,039.90","4,104.10","4,010.20","464.52K","1.46%"
