"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","8,875.00","9,075.00","9,119.50","8,832.50","435.63K","-3.13%"
"12-03-2026","9,162.00","9,280.00","9,280.00","9,080.00","390.06K","-1.77%"
"11-03-2026","9,327.50","9,575.00","9,666.00","9,270.00","489.38K","-2.94%"
"10-03-2026","9,610.00","9,449.50","9,637.50","9,349.00","463.54K","2.42%"
"09-03-2026","9,383.00","9,600.00","9,645.50","9,351.00","334.50K","-4.41%"
"06-03-2026","9,816.00","9,780.00","9,884.50","9,690.00","386.55K","0.12%"
"05-03-2026","9,804.50","9,674.50","9,853.00","9,641.00","300.75K","1.57%"
"04-03-2026","9,652.50","9,516.50","9,704.50","9,516.50","319.65K","-1.26%"
"02-03-2026","9,776.00","9,725.50","9,941.50","9,565.00","330.33K","-1.97%"
"27-02-2026","9,972.50","10,072.50","10,091.50","9,940.00","231.93K","-1.36%"
"26-02-2026","10,110.00","10,146.50","10,187.00","10,029.50","177.81K","0.13%"
"25-02-2026","10,097.00","9,859.50","10,160.00","9,839.50","334.37K","2.73%"
"24-02-2026","9,829.00","9,875.00","9,875.00","9,660.00","259.76K","-0.77%"
"23-02-2026","9,905.50","9,851.00","9,930.00","9,814.00","145.46K","1.00%"
"20-02-2026","9,807.00","9,725.00","9,823.00","9,670.50","291.07K","0.80%"
"19-02-2026","9,729.00","9,991.00","10,059.50","9,701.00","310.76K","-2.52%"
"18-02-2026","9,980.00","9,826.50","10,009.00","9,804.50","334.46K","1.56%"
"17-02-2026","9,826.50","9,651.00","9,869.00","9,632.50","159.11K","1.33%"
"16-02-2026","9,697.50","9,710.00","9,774.50","9,643.00","88.32K","-0.64%"
"13-02-2026","9,760.00","9,800.50","9,900.50","9,720.00","120.69K","-0.81%"
"12-02-2026","9,840.00","9,876.50","9,930.00","9,809.50","372.06K","-0.30%"
"11-02-2026","9,869.50","9,818.00","9,905.50","9,796.00","324.01K","0.98%"
"10-02-2026","9,774.00","9,605.00","9,833.50","9,582.50","347.02K","1.92%"
"09-02-2026","9,590.00","9,598.00","9,626.50","9,505.00","171.03K","0.75%"
"06-02-2026","9,518.50","9,620.00","9,668.00","9,471.50","198.79K","-1.33%"
"05-02-2026","9,647.00","9,640.00","9,679.00","9,600.00","155.66K","0.08%"
"04-02-2026","9,639.00","9,594.00","9,725.00","9,529.50","201.08K","0.45%"
"03-02-2026","9,595.50","9,933.00","9,941.00","9,515.00","573.39K","1.04%"
"02-02-2026","9,496.50","9,454.50","9,523.00","9,250.50","327.24K","-0.03%"
"01-02-2026","9,499.50","9,788.50","9,855.00","9,175.50","504.29K","-1.02%"
"30-01-2026","9,597.50","9,497.00","9,626.00","9,382.50","283.66K","0.90%"
"29-01-2026","9,512.00","9,475.00","9,533.00","9,381.50","390.10K","0.83%"
"28-01-2026","9,433.50","9,500.00","9,533.50","9,250.00","342.41K","-0.62%"
"27-01-2026","9,492.00","9,422.00","9,506.00","9,330.00","302.07K","0.83%"
"23-01-2026","9,413.50","9,390.00","9,548.00","9,335.00","204.21K","0.46%"
"22-01-2026","9,370.00","9,225.00","9,391.50","9,185.50","193.76K","2.08%"
"21-01-2026","9,179.00","9,150.00","9,255.00","9,072.00","323.09K","-0.01%"
"20-01-2026","9,180.00","9,468.00","9,468.00","9,155.00","385.25K","-2.65%"
"19-01-2026","9,429.50","9,489.00","9,489.00","9,393.50","403.45K","-0.63%"
"16-01-2026","9,489.00","9,540.00","9,616.50","9,389.50","528.45K","-0.94%"
"14-01-2026","9,579.50","9,576.00","9,610.00","9,494.00","335.21K","0.27%"
"13-01-2026","9,554.00","9,506.00","9,576.50","9,458.50","229.22K","0.66%"
"12-01-2026","9,491.00","9,562.50","9,588.50","9,360.00","332.45K","-0.75%"
"09-01-2026","9,562.50","9,760.50","9,830.00","9,538.00","250.99K","-2.03%"
"08-01-2026","9,760.50","9,799.50","9,888.00","9,725.00","534.09K","-0.30%"
"07-01-2026","9,789.50","9,668.00","9,807.00","9,608.00","334.80K","1.33%"
"06-01-2026","9,661.00","9,575.00","9,783.50","9,543.00","503.00K","1.72%"
"05-01-2026","9,497.50","9,520.00","9,684.00","9,465.00","304.25K","-0.05%"
"02-01-2026","9,502.50","9,550.00","9,633.00","9,310.50","733.65K","-0.58%"
"01-01-2026","9,558.00","9,365.00","9,585.00","9,318.50","306.94K","2.30%"
"31-12-2025","9,343.00","9,320.00","9,398.00","9,296.50","319.86K","0.66%"
"30-12-2025","9,282.00","9,087.00","9,299.00","9,025.50","464.92K","2.15%"
"29-12-2025","9,087.00","9,069.50","9,127.00","9,055.50","263.94K","0.25%"
"26-12-2025","9,064.50","9,182.50","9,185.50","9,052.00","105.82K","-1.15%"
"24-12-2025","9,170.00","9,100.00","9,194.50","9,070.00","167.72K","0.78%"
"23-12-2025","9,099.00","9,184.00","9,184.00","9,080.00","215.56K","-0.71%"
"22-12-2025","9,164.00","9,010.00","9,185.00","8,997.50","377.39K","1.80%"
"19-12-2025","9,002.00","8,830.50","9,011.00","8,827.00","215.20K","1.94%"
"18-12-2025","8,831.00","8,891.00","8,891.00","8,735.00","338.49K","-0.72%"
"17-12-2025","8,895.00","9,008.00","9,009.00","8,859.00","256.36K","-1.25%"
"16-12-2025","9,008.00","8,940.00","9,028.00","8,891.00","278.90K","0.76%"
"15-12-2025","8,940.00","9,040.00","9,042.50","8,884.00","507.85K","-0.83%"
"12-12-2025","9,015.00","9,065.00","9,089.50","8,960.00","356.06K","-0.43%"
"11-12-2025","9,053.50","8,991.00","9,084.00","8,961.00","136.14K","0.70%"
"10-12-2025","8,991.00","8,961.00","9,001.50","8,904.00","307.30K","0.33%"
"09-12-2025","8,961.00","8,990.00","9,034.50","8,880.00","373.02K","-0.72%"
"08-12-2025","9,026.00","9,115.00","9,124.50","8,956.50","299.43K","-0.91%"
"05-12-2025","9,109.00","9,054.00","9,130.00","9,045.50","279.89K","0.26%"
"04-12-2025","9,085.00","9,005.00","9,095.00","8,988.00","275.60K","0.94%"
"03-12-2025","9,000.50","9,085.50","9,105.00","8,950.00","412.08K","-0.94%"
"02-12-2025","9,085.50","9,100.00","9,142.00","8,988.00","319.83K","-0.12%"
"01-12-2025","9,096.00","9,129.00","9,189.50","9,055.50","449.50K","0.25%"
"28-11-2025","9,073.50","9,031.00","9,106.00","8,922.00","432.45K","0.57%"
"27-11-2025","9,022.50","9,194.00","9,254.50","8,996.00","602.30K","-1.54%"
"26-11-2025","9,164.00","9,054.00","9,180.00","9,028.00","354.14K","1.28%"
"25-11-2025","9,048.00","9,025.00","9,145.00","9,001.00","482.15K","0.45%"
"24-11-2025","9,007.50","8,905.00","9,049.00","8,857.50","466.20K","1.30%"
"21-11-2025","8,892.00","8,950.00","8,957.50","8,862.00","320.27K","-0.97%"
"20-11-2025","8,979.50","8,924.00","9,005.00","8,890.00","189.99K","1.07%"
"19-11-2025","8,884.50","8,950.00","8,975.00","8,863.50","326.29K","-0.41%"
"18-11-2025","8,921.00","8,975.50","8,999.00","8,900.00","276.17K","-0.27%"
"17-11-2025","8,945.50","8,850.00","9,025.00","8,850.00","458.00K","1.16%"
"14-11-2025","8,843.00","8,867.50","8,867.50","8,781.50","550.37K","-0.28%"
"13-11-2025","8,867.50","8,888.00","8,895.50","8,842.00","276.00K","-0.01%"
"12-11-2025","8,868.00","8,935.00","8,935.00","8,800.00","439.92K","-0.30%"
"11-11-2025","8,895.00","8,819.00","8,945.00","8,726.00","380.75K","1.40%"
"10-11-2025","8,772.00","8,795.00","8,838.00","8,685.50","992.87K","0.58%"
"07-11-2025","8,721.50","8,720.00","8,749.50","8,605.00","290.12K","0.01%"
"06-11-2025","8,720.50","8,755.00","8,820.50","8,702.50","326.77K","-0.35%"
"04-11-2025","8,751.00","8,920.00","8,920.00","8,713.00","517.33K","-1.92%"
"03-11-2025","8,922.50","8,900.00","8,957.50","8,855.00","206.99K","0.34%"
"31-10-2025","8,892.50","8,939.50","9,051.00","8,802.00","261.01K","-0.34%"
