"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","6,741.00","6,865.00","6,942.50","6,670.00","819.26K","-3.36%"
"12-03-2026","6,975.50","7,175.00","7,227.50","6,961.00","1.26M","-3.83%"
"11-03-2026","7,253.50","7,574.00","7,574.00","7,227.00","621.56K","-3.76%"
"10-03-2026","7,536.50","7,380.00","7,566.50","7,338.50","494.73K","3.72%"
"09-03-2026","7,266.00","7,517.00","7,517.00","7,237.00","554.98K","-4.65%"
"06-03-2026","7,620.50","7,733.00","7,735.00","7,603.00","366.24K","-1.73%"
"05-03-2026","7,755.00","7,705.00","7,801.50","7,615.00","568.15K","1.68%"
"04-03-2026","7,626.50","7,700.00","7,705.00","7,571.50","593.73K","-2.55%"
"02-03-2026","7,826.00","7,800.00","7,996.50","7,715.50","494.15K","-2.30%"
"27-02-2026","8,010.50","8,220.00","8,230.00","7,987.00","774.35K","-2.19%"
"26-02-2026","8,190.00","8,040.00","8,225.00","8,024.50","427.40K","2.27%"
"25-02-2026","8,008.00","7,930.00","8,082.00","7,772.00","618.72K","1.00%"
"24-02-2026","7,929.00","7,990.00","8,059.50","7,902.00","430.81K","-1.36%"
"23-02-2026","8,038.50","7,990.00","8,057.50","7,937.50","247.25K","1.29%"
"20-02-2026","7,936.50","7,894.50","7,978.00","7,885.50","264.06K","0.50%"
"19-02-2026","7,897.00","8,036.00","8,140.00","7,884.00","424.78K","-1.40%"
"18-02-2026","8,009.50","8,024.00","8,043.50","7,945.00","223.33K","-0.32%"
"17-02-2026","8,035.00","7,981.00","8,051.50","7,925.00","266.57K","0.31%"
"16-02-2026","8,010.50","8,078.50","8,084.50","7,968.50","589.98K","-0.68%"
"13-02-2026","8,065.00","7,900.00","8,119.00","7,886.50","967.94K","1.54%"
"12-02-2026","7,943.00","7,779.50","7,968.00","7,760.00","1.11M","2.21%"
"11-02-2026","7,771.00","7,505.00","7,805.00","7,501.00","2.29M","6.51%"
"10-02-2026","7,296.00","7,280.00","7,325.00","7,201.00","467.66K","1.40%"
"09-02-2026","7,195.50","7,116.00","7,219.50","7,063.50","314.22K","0.25%"
"06-02-2026","7,177.50","7,209.50","7,209.50","7,110.50","251.80K","-0.44%"
"05-02-2026","7,209.50","7,290.00","7,309.50","7,176.50","254.21K","-0.93%"
"04-02-2026","7,277.50","7,215.00","7,328.00","7,170.50","260.28K","0.87%"
"03-02-2026","7,215.00","7,200.00","7,258.50","7,053.00","689.97K","3.29%"
"02-02-2026","6,985.50","6,805.00","6,997.00","6,738.00","490.85K","1.39%"
"01-02-2026","6,889.50","7,122.50","7,218.50","6,814.00","297.69K","-3.27%"
"30-01-2026","7,122.50","6,980.00","7,151.00","6,980.00","454.54K","0.94%"
"29-01-2026","7,056.50","7,071.50","7,108.50","6,978.00","632.90K","-0.21%"
"28-01-2026","7,071.00","7,124.00","7,124.00","6,851.00","856.38K","-1.31%"
"27-01-2026","7,164.50","7,020.00","7,175.00","6,910.50","498.37K","2.75%"
"23-01-2026","6,973.00","7,088.50","7,095.00","6,950.00","366.00K","-1.08%"
"22-01-2026","7,049.00","7,175.00","7,325.00","7,026.00","366.50K","-1.27%"
"21-01-2026","7,140.00","7,100.50","7,219.00","7,005.00","480.75K","-0.47%"
"20-01-2026","7,173.50","7,336.00","7,375.00","7,130.00","302.20K","-2.05%"
"19-01-2026","7,323.50","7,300.00","7,373.00","7,268.50","211.68K","0.12%"
"16-01-2026","7,315.00","7,330.00","7,417.00","7,298.50","441.02K","-0.58%"
"14-01-2026","7,358.00","7,390.00","7,390.00","7,236.00","426.08K","-0.62%"
"13-01-2026","7,404.00","7,488.00","7,514.50","7,348.00","262.64K","-0.43%"
"12-01-2026","7,436.00","7,477.00","7,507.00","7,322.00","315.58K","-0.95%"
"09-01-2026","7,507.00","7,582.00","7,613.50","7,486.00","474.63K","-0.58%"
"08-01-2026","7,551.00","7,590.00","7,601.00","7,539.00","459.73K","-0.42%"
"07-01-2026","7,582.50","7,523.00","7,597.00","7,490.00","380.76K","0.80%"
"06-01-2026","7,522.50","7,514.00","7,569.00","7,484.50","396.10K","0.53%"
"05-01-2026","7,482.50","7,344.00","7,514.50","7,328.00","426.80K","2.02%"
"02-01-2026","7,334.50","7,348.00","7,382.50","7,298.00","227.47K","-0.18%"
"01-01-2026","7,348.00","7,317.00","7,363.00","7,271.50","155.33K","0.49%"
"31-12-2025","7,312.50","7,189.00","7,322.50","7,140.00","357.38K","1.67%"
"30-12-2025","7,192.50","7,272.00","7,312.00","7,132.50","1.98M","-1.09%"
"29-12-2025","7,272.00","7,324.00","7,374.50","7,232.50","282.57K","-0.71%"
"26-12-2025","7,324.00","7,300.00","7,360.00","7,274.00","157.71K","0.16%"
"24-12-2025","7,312.50","7,300.00","7,349.50","7,240.50","205.30K","0.13%"
"23-12-2025","7,303.00","7,338.00","7,338.00","7,280.00","249.19K","0.16%"
"22-12-2025","7,291.50","7,238.00","7,310.00","7,213.00","233.97K","1.03%"
"19-12-2025","7,217.00","7,075.00","7,242.00","7,075.00","423.44K","1.55%"
"18-12-2025","7,106.50","7,135.00","7,144.00","7,013.50","327.76K","-0.39%"
"17-12-2025","7,134.50","7,104.00","7,176.50","7,080.50","594.26K","1.03%"
"16-12-2025","7,061.50","7,120.00","7,121.50","7,035.50","505.91K","-0.84%"
"15-12-2025","7,121.50","7,200.00","7,210.50","7,094.50","391.82K","-1.49%"
"12-12-2025","7,229.00","7,235.00","7,274.50","7,188.00","324.68K","-0.37%"
"11-12-2025","7,256.00","7,250.00","7,328.50","7,220.50","502.05K","0.38%"
"10-12-2025","7,228.50","7,129.50","7,294.00","7,129.50","626.51K","1.48%"
"09-12-2025","7,123.00","7,142.00","7,196.00","7,052.00","436.44K","-0.27%"
"08-12-2025","7,142.00","7,230.00","7,234.00","7,115.00","273.51K","-0.92%"
"05-12-2025","7,208.00","7,120.00","7,218.00","7,070.50","501.04K","1.52%"
"04-12-2025","7,100.00","7,098.00","7,167.50","7,066.50","364.67K","0.26%"
"03-12-2025","7,081.50","7,090.00","7,105.00","7,042.00","333.67K","-0.44%"
"02-12-2025","7,112.50","7,125.00","7,196.00","7,091.50","448.17K","-0.18%"
