"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","20,245.00","21,500.00","21,660.00","20,100.00","87.70K","-6.10%"
"12-03-2026","21,560.00","21,510.00","21,885.00","20,920.00","87.02K","-0.48%"
"11-03-2026","21,665.00","22,480.00","23,490.00","21,435.00","142.82K","-2.67%"
"10-03-2026","22,260.00","21,200.00","22,450.00","21,155.00","138.81K","7.80%"
"09-03-2026","20,650.00","20,955.00","20,955.00","19,860.00","130.88K","-3.26%"
"06-03-2026","21,345.00","21,900.00","21,995.00","20,750.00","149.15K","-1.88%"
"05-03-2026","21,755.00","21,830.00","22,900.00","20,610.00","240.25K","1.42%"
"04-03-2026","21,450.00","22,840.00","23,000.00","21,200.00","160.06K","-8.25%"
"02-03-2026","23,380.00","23,100.00","24,325.00","23,025.00","94.54K","-3.95%"
"27-02-2026","24,341.00","25,460.00","25,764.00","24,222.00","79.17K","-4.38%"
"26-02-2026","25,457.00","25,267.00","25,800.00","25,267.00","48.24K","0.77%"
"25-02-2026","25,262.00","25,189.00","25,436.00","25,005.00","48.70K","0.89%"
"24-02-2026","25,038.00","24,450.00","25,250.00","24,304.00","78.95K","2.40%"
"23-02-2026","24,452.00","24,800.00","24,900.00","24,152.00","76.74K","-0.09%"
"20-02-2026","24,475.00","24,145.00","24,539.00","23,328.00","146.68K","1.39%"
"19-02-2026","24,139.00","25,190.00","25,919.00","23,800.00","141.93K","-4.35%"
"18-02-2026","25,237.00","25,800.00","26,450.00","25,010.00","195.76K","-2.09%"
"17-02-2026","25,776.00","24,586.00","25,990.00","24,321.00","200.64K","4.84%"
"16-02-2026","24,586.00","23,843.00","24,990.00","23,498.00","129.75K","3.12%"
"13-02-2026","23,843.00","23,720.00","24,129.00","23,004.00","119.52K","0.01%"
"12-02-2026","23,840.00","24,935.00","24,944.00","23,610.00","117.11K","-4.36%"
"11-02-2026","24,927.00","23,674.00","25,050.00","23,328.00","260.48K","5.52%"
"10-02-2026","23,623.00","22,596.00","23,695.00","22,359.00","180.65K","5.64%"
"09-02-2026","22,361.00","21,650.00","22,450.00","21,527.00","131.70K","4.54%"
"06-02-2026","21,390.00","21,100.00","21,585.00","21,051.00","108.95K","1.42%"
"05-02-2026","21,090.00","20,500.00","22,200.00","20,500.00","485.38K","5.09%"
"04-02-2026","20,069.00","20,008.00","20,265.00","19,781.00","53.13K","0.30%"
"03-02-2026","20,008.00","19,900.00","20,100.00","19,551.00","43.95K","4.18%"
"02-02-2026","19,206.00","18,710.00","19,394.00","18,400.00","49.47K","2.27%"
"01-02-2026","18,780.00","19,500.00","19,502.00","18,500.00","29.38K","-2.16%"
"30-01-2026","19,195.00","18,325.00","19,400.00","18,130.00","60.21K","4.12%"
"29-01-2026","18,435.00","18,970.00","19,110.00","18,300.00","44.16K","-2.43%"
"28-01-2026","18,895.00","19,000.00","19,460.00","18,600.00","47.19K","0.59%"
"27-01-2026","18,785.00","19,500.00","19,790.00","18,500.00","75.12K","-2.79%"
"23-01-2026","19,325.00","20,740.00","20,900.00","19,000.00","81.26K","-6.62%"
"22-01-2026","20,695.00","20,195.00","20,790.00","20,195.00","69.92K","4.23%"
"21-01-2026","19,855.00","20,765.00","20,765.00","19,390.00","128.72K","-4.41%"
"20-01-2026","20,770.00","21,260.00","21,285.00","20,465.00","81.03K","-2.51%"
"19-01-2026","21,305.00","20,500.00","21,515.00","20,460.00","85.80K","3.60%"
"16-01-2026","20,565.00","20,555.00","20,710.00","20,155.00","38.47K","0.34%"
"14-01-2026","20,495.00","20,095.00","20,590.00","19,950.00","53.13K","1.99%"
"13-01-2026","20,095.00","19,995.00","20,370.00","19,830.00","76.38K","0.98%"
"12-01-2026","19,900.00","18,710.00","20,060.00","18,155.00","147.99K","6.36%"
"09-01-2026","18,710.00","19,985.00","19,985.00","18,505.00","113.47K","-6.54%"
"08-01-2026","20,020.00","20,580.00","20,630.00","19,600.00","51.59K","-3.07%"
"07-01-2026","20,655.00","20,805.00","21,010.00","20,570.00","48.22K","-1.15%"
"06-01-2026","20,895.00","21,080.00","21,080.00","20,525.00","46.34K","-0.64%"
"05-01-2026","21,030.00","21,340.00","21,490.00","20,870.00","51.26K","-0.94%"
"02-01-2026","21,230.00","21,040.00","21,915.00","20,275.00","309.49K","1.77%"
"01-01-2026","20,860.00","20,695.00","20,895.00","20,455.00","63.44K","1.43%"
"31-12-2025","20,566.00","19,948.00","20,974.00","19,700.00","222.41K","3.63%"
"30-12-2025","19,845.00","18,952.00","19,999.00","18,773.00","142.88K","4.72%"
"29-12-2025","18,951.00","18,515.00","19,300.00","18,330.00","124.11K","2.59%"
"26-12-2025","18,472.00","18,385.00","18,575.00","18,300.00","26.05K","0.58%"
"24-12-2025","18,365.00","18,510.00","18,550.00","18,300.00","25.65K","-0.48%"
"23-12-2025","18,453.00","18,369.00","18,520.00","18,140.00","38.15K","0.48%"
"22-12-2025","18,364.00","18,238.00","18,645.00","18,104.00","73.61K","3.16%"
"19-12-2025","17,801.00","17,304.00","18,244.00","17,286.00","114.59K","2.87%"
"18-12-2025","17,304.00","17,067.00","17,390.00","16,773.00","31.64K","1.39%"
"17-12-2025","17,067.00","17,370.00","17,423.00","17,018.00","18.92K","-1.52%"
"16-12-2025","17,330.00","17,279.00","17,550.00","17,227.00","25.51K","0.17%"
