"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","5,206.00","5,338.00","5,377.50","5,168.00","496.25K","-3.49%"
"12-03-2026","5,394.50","5,589.00","5,589.00","5,376.00","476.48K","-3.24%"
"11-03-2026","5,575.00","5,729.50","5,766.00","5,554.00","511.97K","-2.39%"
"10-03-2026","5,711.50","5,546.50","5,733.50","5,527.50","493.38K","4.22%"
"09-03-2026","5,480.00","5,447.00","5,510.00","5,337.50","306.36K","-0.59%"
"06-03-2026","5,512.50","5,571.00","5,571.50","5,490.00","431.01K","-1.36%"
"05-03-2026","5,588.50","5,513.50","5,622.50","5,480.00","545.41K","1.61%"
"04-03-2026","5,500.00","5,520.00","5,529.00","5,427.50","455.96K","-1.64%"
"02-03-2026","5,591.50","5,565.00","5,725.00","5,503.00","432.30K","-2.08%"
"27-02-2026","5,710.00","5,775.00","5,800.00","5,689.00","584.55K","-1.33%"
"26-02-2026","5,787.00","5,760.00","5,829.00","5,718.50","489.80K","0.86%"
"25-02-2026","5,737.50","5,511.00","5,840.00","5,500.50","898.49K","4.11%"
"24-02-2026","5,511.00","5,480.00","5,523.00","5,436.50","396.02K","0.41%"
"23-02-2026","5,488.50","5,504.50","5,549.00","5,437.00","310.19K","0.43%"
"20-02-2026","5,465.00","5,400.00","5,472.00","5,375.00","560.74K","0.93%"
"19-02-2026","5,414.50","5,600.00","5,644.50","5,387.50","307.77K","-3.17%"
"18-02-2026","5,592.00","5,595.00","5,628.00","5,546.50","197.77K","0.27%"
"17-02-2026","5,577.00","5,490.00","5,588.00","5,446.50","288.72K","1.55%"
"16-02-2026","5,492.00","5,578.00","5,623.50","5,459.00","285.72K","-1.65%"
"13-02-2026","5,584.00","5,702.00","5,724.50","5,560.00","394.00K","-2.60%"
"12-02-2026","5,733.00","5,704.00","5,805.00","5,683.50","560.68K","0.89%"
"11-02-2026","5,682.50","5,695.00","5,750.00","5,546.00","684.91K","-1.23%"
"10-02-2026","5,753.50","5,785.00","5,845.00","5,718.00","816.53K","-0.05%"
"09-02-2026","5,756.50","5,800.00","5,816.00","5,667.00","543.96K","0.05%"
"06-02-2026","5,753.50","5,772.00","5,841.00","5,715.50","770.48K","-0.22%"
"05-02-2026","5,766.00","5,880.50","5,890.00","5,745.00","331.31K","-1.46%"
"04-02-2026","5,851.50","5,747.00","5,878.00","5,716.50","490.20K","1.54%"
"03-02-2026","5,763.00","5,734.00","5,791.00","5,676.50","592.66K","2.49%"
"02-02-2026","5,623.00","5,550.00","5,650.50","5,418.00","449.86K","2.19%"
"01-02-2026","5,502.50","5,568.00","5,694.50","5,404.50","430.98K","-0.57%"
"30-01-2026","5,534.00","5,540.50","5,595.00","5,465.00","466.10K","-0.82%"
"29-01-2026","5,580.00","5,522.00","5,595.00","5,472.00","337.84K","1.22%"
"28-01-2026","5,512.50","5,407.00","5,524.00","5,328.50","547.41K","2.46%"
"27-01-2026","5,380.00","5,418.00","5,424.50","5,298.50","400.94K","-0.07%"
"23-01-2026","5,384.00","5,514.00","5,524.50","5,368.00","460.33K","-1.90%"
"22-01-2026","5,488.50","5,593.00","5,665.00","5,465.50","401.57K","-0.90%"
"21-01-2026","5,538.50","5,580.50","5,642.00","5,504.00","406.60K","-0.75%"
"20-01-2026","5,580.50","5,779.00","5,845.00","5,555.00","394.66K","-3.16%"
"19-01-2026","5,762.50","5,625.00","5,787.50","5,590.00","581.04K","1.96%"
"16-01-2026","5,651.50","5,622.00","5,732.00","5,617.50","588.40K","-0.44%"
"14-01-2026","5,676.50","5,720.00","5,741.00","5,640.00","368.18K","-1.01%"
"13-01-2026","5,734.50","5,780.00","5,780.00","5,680.50","336.44K","0.14%"
"12-01-2026","5,726.50","5,773.00","5,792.00","5,627.00","314.33K","-0.81%"
"09-01-2026","5,773.00","5,850.00","5,891.00","5,751.00","500.23K","-1.32%"
"08-01-2026","5,850.00","5,981.00","5,985.00","5,830.00","562.06K","-2.19%"
"07-01-2026","5,981.00","6,033.50","6,049.00","5,944.00","609.75K","-0.32%"
"06-01-2026","6,000.00","6,010.00","6,037.00","5,960.00","453.15K","0.24%"
"05-01-2026","5,985.50","5,960.00","6,045.00","5,925.00","653.82K","0.88%"
"02-01-2026","5,933.00","5,900.00","6,029.50","5,875.00","1.07M","1.57%"
"01-01-2026","5,841.50","5,771.00","5,856.00","5,730.00","384.70K","1.22%"
"31-12-2025","5,771.00","5,709.50","5,785.50","5,684.50","473.27K","1.05%"
"30-12-2025","5,711.00","5,570.00","5,742.50","5,566.50","2.98M","2.61%"
"29-12-2025","5,566.00","5,637.00","5,651.00","5,550.50","572.15K","-1.26%"
"26-12-2025","5,637.00","5,698.50","5,720.00","5,611.00","249.83K","-1.08%"
"24-12-2025","5,698.50","5,744.00","5,750.00","5,690.00","313.66K","-0.79%"
"23-12-2025","5,744.00","5,710.00","5,752.50","5,695.00","351.30K","0.78%"
"22-12-2025","5,699.50","5,793.50","5,793.50","5,681.00","1.21M","-1.41%"
"19-12-2025","5,781.00","5,725.00","5,797.50","5,725.00","769.30K","0.57%"
"18-12-2025","5,748.50","5,785.00","5,785.00","5,513.00","1.02M","-1.18%"
"17-12-2025","5,817.00","5,970.00","5,971.00","5,782.00","538.21K","-2.18%"
"16-12-2025","5,946.50","5,960.50","5,986.00","5,932.50","388.05K","-0.22%"
"15-12-2025","5,959.50","5,939.50","5,976.50","5,876.50","652.03K","-0.01%"
"12-12-2025","5,960.00","6,003.50","6,037.50","5,950.50","679.19K","-0.33%"
"11-12-2025","5,979.50","5,945.50","6,019.50","5,905.50","695.09K","0.57%"
"10-12-2025","5,945.50","6,028.00","6,044.50","5,915.50","820.20K","-0.92%"
"09-12-2025","6,001.00","6,164.00","6,164.00","5,966.00","1.19M","-2.69%"
"08-12-2025","6,167.00","6,310.00","6,351.00","6,144.50","707.51K","-2.89%"
"05-12-2025","6,350.50","6,335.00","6,388.50","6,305.00","651.63K","0.17%"
"04-12-2025","6,340.00","6,248.00","6,351.00","6,239.50","883.43K","2.07%"
"03-12-2025","6,211.50","6,294.00","6,294.00","6,191.00","543.79K","-0.94%"
"02-12-2025","6,270.50","6,330.00","6,340.00","6,231.00","809.22K","-0.40%"
"01-12-2025","6,295.50","6,230.00","6,333.50","6,210.50","912.45K","1.96%"
"28-11-2025","6,174.50","6,152.00","6,239.00","6,128.00","504.44K","0.38%"
"27-11-2025","6,151.00","6,137.00","6,200.00","6,097.00","352.12K","0.24%"
"26-11-2025","6,136.50","6,083.50","6,146.00","6,052.00","452.07K","0.90%"
"25-11-2025","6,081.50","6,000.00","6,087.50","5,969.50","707.29K","1.66%"
"24-11-2025","5,982.00","6,003.00","6,049.00","5,972.00","1.35M","-0.34%"
"21-11-2025","6,002.50","5,970.00","6,038.00","5,957.50","703.57K","0.05%"
"20-11-2025","5,999.50","5,950.00","6,042.00","5,921.50","1.28M","2.09%"
"19-11-2025","5,876.50","5,851.00","5,916.50","5,835.00","935.37K","1.33%"
"18-11-2025","5,799.50","5,820.00","5,882.00","5,789.50","1.18M","0.02%"
"17-11-2025","5,798.50","5,589.00","5,810.00","5,571.00","1.77M","4.69%"
"14-11-2025","5,538.50","5,521.50","5,629.50","5,462.50","938.65K","0.54%"
"13-11-2025","5,508.50","5,554.00","5,594.50","5,485.50","585.66K","-0.46%"
"12-11-2025","5,534.00","5,440.00","5,557.00","5,421.50","534.03K","2.15%"
"11-11-2025","5,417.50","5,375.50","5,430.00","5,331.00","348.23K","1.08%"
"10-11-2025","5,359.50","5,310.00","5,410.00","5,300.50","347.96K","1.20%"
"07-11-2025","5,296.00","5,305.00","5,324.00","5,258.00","436.41K","-0.56%"
"06-11-2025","5,326.00","5,352.50","5,408.50","5,305.00","815.32K","0.32%"
"04-11-2025","5,309.00","5,475.00","5,475.00","5,252.50","2.00M","-4.15%"
"03-11-2025","5,539.00","5,579.50","5,579.50","5,482.00","223.77K","-0.09%"
"31-10-2025","5,544.00","5,514.50","5,625.00","5,501.00","424.19K","0.53%"
"30-10-2025","5,515.00","5,570.50","5,587.50","5,493.00","402.08K","-0.66%"
"29-10-2025","5,551.50","5,637.50","5,638.50","5,527.00","432.10K","-1.03%"
"28-10-2025","5,609.50","5,640.00","5,665.00","5,575.00","539.78K","-0.66%"
"27-10-2025","5,646.50","5,570.00","5,662.00","5,550.00","424.72K","1.91%"
"24-10-2025","5,540.50","5,615.00","5,625.00","5,484.50","546.76K","-0.86%"
"23-10-2025","5,588.50","5,715.00","5,717.00","5,561.50","489.10K","-1.03%"
"21-10-2025","5,646.50","5,667.00","5,668.00","5,631.00","40.58K","0.10%"
"20-10-2025","5,641.00","5,620.00","5,694.00","5,606.50","368.80K","0.87%"
"17-10-2025","5,592.50","5,582.00","5,625.00","5,550.50","435.20K","0.23%"
"16-10-2025","5,579.50","5,577.00","5,612.00","5,551.50","294.07K","0.76%"
"15-10-2025","5,537.50","5,580.00","5,609.00","5,447.00","484.78K","-0.61%"
"14-10-2025","5,571.50","5,582.50","5,591.00","5,540.00","375.27K","0.22%"
"13-10-2025","5,559.00","5,500.00","5,581.00","5,484.50","417.65K","1.07%"
"10-10-2025","5,500.00","5,512.00","5,567.50","5,476.50","835.41K","-0.22%"
"09-10-2025","5,512.00","5,515.00","5,537.00","5,466.00","872.88K","-0.01%"
"08-10-2025","5,512.50","5,612.00","5,659.00","5,492.50","789.56K","-1.83%"
"07-10-2025","5,615.00","5,581.50","5,649.00","5,572.50","858.68K","0.60%"
"06-10-2025","5,581.50","5,527.00","5,595.00","5,527.00","844.41K","0.56%"
"03-10-2025","5,550.50","5,465.00","5,584.00","5,370.50","1.63M","2.17%"
"01-10-2025","5,432.50","5,472.50","5,519.00","5,410.00","701.00K","-0.73%"
"30-09-2025","5,472.50","5,323.00","5,483.50","5,323.00","1.14M","3.24%"
"29-09-2025","5,300.50","5,328.00","5,429.00","5,269.00","8.32M","-0.52%"
"26-09-2025","5,328.00","5,354.50","5,454.00","5,308.50","689.94K","-0.49%"
"25-09-2025","5,354.50","5,270.00","5,374.00","5,231.00","640.47K","1.47%"
"24-09-2025","5,277.00","5,370.00","5,376.00","5,265.00","410.27K","-1.74%"
"23-09-2025","5,370.50","5,450.00","5,514.00","5,351.00","507.38K","-1.09%"
"22-09-2025","5,429.50","5,409.00","5,499.00","5,400.00","672.45K","0.40%"
"19-09-2025","5,408.00","5,390.00","5,435.00","5,372.00","579.03K","0.71%"
"18-09-2025","5,370.00","5,360.00","5,387.00","5,340.00","420.98K","0.37%"
"17-09-2025","5,350.00","5,344.00","5,388.00","5,310.50","616.63K","0.64%"
"16-09-2025","5,316.00","5,307.00","5,349.00","5,284.00","925.16K","0.52%"
"15-09-2025","5,288.50","5,324.00","5,356.00","5,268.00","588.88K","-0.25%"
"12-09-2025","5,301.50","5,306.00","5,389.50","5,286.00","537.93K","-0.01%"
"11-09-2025","5,302.00","5,350.50","5,363.00","5,286.00","765.64K","-0.91%"
"10-09-2025","5,350.50","5,450.00","5,458.00","5,317.50","536.62K","-1.35%"
"09-09-2025","5,423.50","5,465.50","5,488.00","5,391.00","608.44K","-0.36%"
"08-09-2025","5,443.00","5,370.00","5,524.50","5,335.00","726.54K","1.49%"
"05-09-2025","5,363.00","5,360.00","5,419.50","5,348.50","517.42K","0.22%"
"04-09-2025","5,351.00","5,505.00","5,519.00","5,341.00","1.19M","0.04%"
"03-09-2025","5,349.00","5,325.00","5,363.50","5,256.50","659.99K","0.70%"
"02-09-2025","5,312.00","5,290.00","5,348.00","5,208.00","962.26K","1.30%"
"01-09-2025","5,244.00","5,113.50","5,259.50","5,109.50","659.44K","3.07%"
"29-08-2025","5,087.70","5,099.50","5,148.30","5,061.40","783.36K","-0.08%"
"28-08-2025","5,091.70","5,230.00","5,246.00","5,078.40","1.58M","0.36%"
"26-08-2025","5,073.40","5,063.80","5,143.00","5,041.00","1.66M","0.19%"
"25-08-2025","5,063.80","5,010.00","5,079.90","4,976.00","693.19K","1.32%"
"22-08-2025","4,997.90","5,097.10","5,123.30","4,982.00","1.36M","-1.95%"
"21-08-2025","5,097.10","5,136.00","5,158.90","5,040.00","819.43K","-0.76%"
"20-08-2025","5,136.00","5,120.00","5,165.00","5,111.10","916.24K","0.35%"
"19-08-2025","5,118.20","4,984.00","5,139.00","4,984.00","1.51M","2.69%"
"18-08-2025","4,984.00","4,900.00","5,119.00","4,900.00","3.70M","5.86%"
"14-08-2025","4,708.10","4,770.00","4,773.50","4,690.50","373.86K","-1.27%"
"13-08-2025","4,768.70","4,668.30","4,793.50","4,650.20","1.34M","2.66%"
"12-08-2025","4,645.20","4,589.00","4,669.60","4,571.00","723.77K","1.82%"
"11-08-2025","4,562.20","4,603.00","4,624.70","4,539.00","455.56K","-0.82%"
"08-08-2025","4,599.80","4,660.00","4,712.00","4,588.10","972.46K","-1.31%"
"07-08-2025","4,660.70","4,430.00","4,674.90","4,422.30","2.12M","4.15%"
"06-08-2025","4,474.90","4,549.60","4,549.90","4,462.10","574.22K","-1.58%"
"05-08-2025","4,546.80","4,536.00","4,581.50","4,515.90","803.51K","0.24%"
"04-08-2025","4,535.90","4,315.90","4,550.00","4,310.10","1.45M","5.20%"
"01-08-2025","4,311.60","4,255.10","4,322.00","4,240.00","473.92K","1.19%"
"31-07-2025","4,260.70","4,210.00","4,303.00","4,201.00","446.59K","0.22%"
"30-07-2025","4,251.30","4,311.00","4,325.80","4,215.70","547.17K","-1.71%"
