"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","3,324.50","3,399.60","3,406.00","3,282.30","1.45M","-2.87%"
"12-03-2026","3,422.60","3,554.10","3,564.80","3,402.80","2.59M","-4.95%"
"11-03-2026","3,600.80","3,780.00","3,797.50","3,590.50","1.25M","-4.87%"
"10-03-2026","3,785.10","3,708.00","3,793.10","3,661.50","957.43K","4.34%"
"09-03-2026","3,627.80","3,699.00","3,706.20","3,582.50","1.05M","-4.13%"
"06-03-2026","3,784.00","3,806.90","3,825.00","3,767.90","571.67K","-0.90%"
"05-03-2026","3,818.40","3,775.00","3,833.70","3,736.00","711.11K","1.91%"
"04-03-2026","3,746.70","3,725.00","3,765.80","3,645.30","1.22M","-1.74%"
"02-03-2026","3,813.10","3,780.00","3,907.20","3,746.00","1.00M","-1.46%"
"27-02-2026","3,869.70","3,954.20","3,968.20","3,856.00","1.41M","-2.14%"
"26-02-2026","3,954.20","3,950.90","3,970.00","3,918.10","642.74K","0.56%"
"25-02-2026","3,932.00","3,812.10","3,945.00","3,800.20","647.29K","3.03%"
"24-02-2026","3,816.20","3,830.00","3,835.00","3,743.40","896.50K","-0.34%"
"23-02-2026","3,829.10","3,835.00","3,894.80","3,814.20","605.95K","0.34%"
"20-02-2026","3,816.20","3,830.10","3,867.90","3,791.70","386.59K","-0.36%"
"19-02-2026","3,830.10","3,888.00","3,896.90","3,820.00","309.70K","-1.42%"
"18-02-2026","3,885.20","3,885.00","3,898.30","3,854.10","245.62K","0.19%"
"17-02-2026","3,877.80","3,807.40","3,883.60","3,787.00","377.69K","1.85%"
"16-02-2026","3,807.40","3,860.00","3,889.80","3,793.60","333.08K","-1.48%"
"13-02-2026","3,864.60","3,861.60","3,894.00","3,832.20","260.60K","-0.43%"
"12-02-2026","3,881.20","3,875.00","3,903.90","3,853.50","445.27K","0.42%"
"11-02-2026","3,865.10","3,780.00","3,889.00","3,759.60","1.13M","2.73%"
"10-02-2026","3,762.40","3,752.00","3,779.00","3,745.00","816.77K","-0.06%"
"09-02-2026","3,764.70","3,780.00","3,785.00","3,715.80","545.34K","0.16%"
"06-02-2026","3,758.50","3,700.00","3,773.00","3,667.10","735.38K","1.23%"
"05-02-2026","3,712.70","3,727.40","3,739.00","3,691.80","593.81K","-0.39%"
"04-02-2026","3,727.40","3,718.80","3,775.00","3,705.90","889.71K","0.03%"
"03-02-2026","3,726.30","3,816.70","3,820.00","3,696.10","895.53K","2.21%"
"02-02-2026","3,645.80","3,610.00","3,655.00","3,558.80","594.73K","1.45%"
"01-02-2026","3,593.80","3,680.00","3,690.00","3,509.10","440.53K","-2.27%"
"30-01-2026","3,677.40","3,665.00","3,709.90","3,627.10","994.42K","0.61%"
"29-01-2026","3,655.00","3,716.90","3,757.40","3,602.40","950.50K","-1.97%"
"28-01-2026","3,728.40","3,578.10","3,749.00","3,496.00","2.15M","4.50%"
"27-01-2026","3,568.00","3,600.00","3,600.00","3,507.50","963.69K","0.51%"
"23-01-2026","3,549.80","3,570.10","3,613.00","3,536.20","618.66K","-0.57%"
"22-01-2026","3,570.10","3,627.60","3,664.90","3,547.10","436.11K","-0.89%"
"21-01-2026","3,602.00","3,599.90","3,609.90","3,525.20","965.96K","-0.38%"
"20-01-2026","3,615.70","3,701.00","3,719.40","3,597.20","533.45K","-2.33%"
"19-01-2026","3,701.90","3,660.00","3,710.90","3,631.00","589.48K","0.93%"
"16-01-2026","3,667.80","3,709.40","3,720.40","3,640.80","1.32M","-0.61%"
"14-01-2026","3,690.40","3,770.00","3,770.10","3,682.00","601.52K","-1.73%"
"13-01-2026","3,755.40","3,758.30","3,771.00","3,699.50","1.08M","0.02%"
"12-01-2026","3,754.80","3,746.00","3,771.20","3,654.30","588.23K","-0.12%"
