"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","884.35","900.00","905.85","881.90","2.56M","-1.98%"
"12-03-2026","902.20","911.10","912.75","899.10","1.83M","-1.76%"
"11-03-2026","918.40","937.30","947.50","914.40","1.68M","-2.14%"
"10-03-2026","938.50","941.20","951.30","929.10","1.97M","0.74%"
"09-03-2026","931.65","943.40","948.30","913.60","2.56M","-3.38%"
"06-03-2026","964.25","972.10","980.15","962.10","1.17M","-0.95%"
"05-03-2026","973.45","952.50","976.05","949.75","1.88M","2.89%"
"04-03-2026","946.10","943.70","956.80","935.30","2.34M","-0.54%"
"02-03-2026","951.25","895.05","963.50","895.05","2.53M","-0.74%"
"27-02-2026","958.35","976.00","976.00","951.00","22.83M","-1.48%"
"26-02-2026","972.70","982.10","983.95","967.45","3.62M","-0.96%"
"25-02-2026","982.10","1,003.80","1,007.85","977.60","2.81M","-2.01%"
"24-02-2026","1,002.20","970.00","1,009.85","968.70","3.31M","2.88%"
"23-02-2026","974.10","993.00","998.75","950.00","13.48M","-5.40%"
"20-02-2026","1,029.65","1,014.00","1,032.50","1,009.20","1.75M","1.24%"
"19-02-2026","1,017.05","1,023.50","1,039.20","1,014.00","2.14M","-0.49%"
"18-02-2026","1,022.05","1,001.90","1,024.10","995.70","3.08M","2.23%"
"17-02-2026","999.75","1,014.40","1,014.40","994.55","1.97M","-1.01%"
"16-02-2026","1,010.00","990.00","1,011.00","985.85","2.09M","1.52%"
"13-02-2026","994.90","998.10","1,004.60","984.65","1.80M","-0.57%"
"12-02-2026","1,000.60","990.25","1,002.95","980.30","2.19M","1.05%"
"11-02-2026","990.25","1,000.00","1,009.85","986.00","1.58M","-1.09%"
"10-02-2026","1,001.15","1,011.90","1,011.90","990.00","1.92M","-0.41%"
"09-02-2026","1,005.30","995.10","1,009.40","980.00","1.88M","1.44%"
"06-02-2026","991.05","986.90","992.45","975.80","1.19M","0.51%"
"05-02-2026","986.00","980.95","989.70","974.10","921.72K","0.51%"
"04-02-2026","980.95","988.95","989.05","973.20","1.15M","-0.14%"
"03-02-2026","982.30","985.00","1,019.00","979.80","2.10M","1.77%"
"02-02-2026","965.20","965.00","977.35","950.45","1.24M","-1.47%"
"01-02-2026","979.60","982.35","990.60","942.75","1.05M","-0.28%"
"30-01-2026","982.35","968.25","995.65","965.00","2.98M","-0.56%"
"29-01-2026","987.90","962.35","992.80","960.00","4.79M","2.65%"
"28-01-2026","962.35","965.00","970.95","955.15","1.24M","-0.12%"
"27-01-2026","963.55","970.60","977.85","944.10","1.80M","-0.26%"
"23-01-2026","966.10","1,005.00","1,006.90","961.30","2.75M","-3.44%"
"22-01-2026","1,000.55","1,003.25","1,016.75","982.15","1.67M","0.57%"
"21-01-2026","994.90","1,009.00","1,027.45","968.30","5.49M","-0.63%"
"20-01-2026","1,001.25","1,021.00","1,021.60","992.35","2.01M","-1.93%"
"19-01-2026","1,020.95","1,025.00","1,026.20","1,010.75","1.98M","-0.43%"
"16-01-2026","1,025.40","975.50","1,029.95","968.55","7.20M","5.02%"
"14-01-2026","976.35","964.00","980.80","963.50","2.74M","0.45%"
"13-01-2026","971.95","1,010.00","1,011.00","959.65","4.63M","-3.56%"
"12-01-2026","1,007.80","996.00","1,009.80","991.70","1.41M","0.86%"
"09-01-2026","999.20","993.00","1,006.05","990.10","1.20M","0.72%"
"08-01-2026","992.10","1,002.95","1,006.70","988.85","1.10M","-1.24%"
