"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","173.88","181.50","181.64","173.31","10.94M","-4.51%"
"12-03-2026","182.10","179.52","183.40","175.52","14.23M","0.65%"
"11-03-2026","180.92","187.50","187.55","180.40","12.58M","-2.89%"
"10-03-2026","186.30","182.00","187.55","179.80","18.49M","4.04%"
"09-03-2026","179.06","181.51","183.16","175.50","22.08M","-5.08%"
"06-03-2026","188.65","190.80","193.05","188.00","12.36M","-1.33%"
"05-03-2026","191.20","193.03","195.40","188.80","17.73M","0.04%"
"04-03-2026","191.13","196.00","196.00","189.40","23.92M","-3.53%"
"02-03-2026","198.13","195.04","201.20","195.04","22.26M","-2.05%"
"27-02-2026","202.27","202.01","205.49","199.86","23.42M","0.36%"
"26-02-2026","201.54","200.00","203.20","197.90","30.11M","1.12%"
"25-02-2026","199.30","201.30","202.54","196.62","20.25M","-0.66%"
"24-02-2026","200.62","197.60","202.24","196.21","19.36M","1.44%"
"23-02-2026","197.78","196.00","200.25","194.63","23.70M","1.96%"
"20-02-2026","193.98","189.35","194.90","188.50","14.60M","2.35%"
"19-02-2026","189.52","193.11","195.69","188.51","15.64M","-1.86%"
"18-02-2026","193.11","190.00","193.99","189.00","27.24M","2.23%"
"17-02-2026","188.89","183.55","190.00","181.86","29.24M","3.17%"
"16-02-2026","183.09","178.00","184.00","176.08","8.66M","2.36%"
"13-02-2026","178.87","180.00","180.76","178.10","8.73M","-1.18%"
"12-02-2026","181.00","180.40","182.35","178.31","13.35M","0.37%"
"11-02-2026","180.33","179.98","180.58","176.11","10.16M","0.60%"
"10-02-2026","179.26","181.00","181.00","177.50","8.41M","-0.40%"
"09-02-2026","179.98","181.00","182.10","178.92","15.47M","1.04%"
"06-02-2026","178.13","177.50","178.69","174.55","9.27M","0.12%"
"05-02-2026","177.92","176.11","179.20","175.51","11.29M","1.03%"
"04-02-2026","176.11","174.40","176.99","171.90","13.20M","0.97%"
"03-02-2026","174.41","179.00","183.10","172.00","11.08M","1.92%"
"02-02-2026","171.13","169.37","172.08","165.11","13.99M","1.04%"
"01-02-2026","169.37","180.75","181.59","167.42","13.59M","-6.30%"
"30-01-2026","180.76","178.00","182.72","176.00","15.74M","0.74%"
"29-01-2026","179.44","183.00","183.34","178.25","40.38M","-1.37%"
"28-01-2026","181.93","176.80","182.46","175.25","23.05M","3.84%"
"27-01-2026","175.21","174.50","176.67","171.74","17.37M","1.41%"
"23-01-2026","172.77","176.00","178.99","172.00","24.04M","-1.15%"
"22-01-2026","174.78","174.65","177.66","174.00","17.02M","1.34%"
"21-01-2026","172.47","174.76","178.30","170.76","15.65M","-1.86%"
"20-01-2026","175.73","177.43","180.75","175.00","14.54M","-0.96%"
"19-01-2026","177.43","175.84","178.13","174.55","26.11M","0.73%"
"16-01-2026","176.15","179.25","182.90","174.84","35.09M","-1.74%"
"14-01-2026","179.27","166.20","180.69","164.80","88.50M","7.87%"
"13-01-2026","166.19","164.99","166.78","163.57","15.01M","1.35%"
"12-01-2026","163.98","163.50","164.40","160.30","11.52M","1.06%"
"09-01-2026","162.26","160.90","166.00","160.53","15.76M","0.50%"
"08-01-2026","161.46","166.28","166.92","160.25","13.38M","-2.93%"
"07-01-2026","166.33","166.50","166.63","164.13","9.35M","0.36%"
"06-01-2026","165.74","163.60","167.30","162.61","27.41M","2.08%"
"05-01-2026","162.36","158.00","162.99","157.51","30.45M","3.61%"
"02-01-2026","156.70","153.99","157.10","153.92","11.43M","2.03%"
"01-01-2026","153.58","154.20","154.99","152.70","5.82M","-0.12%"
"31-12-2025","153.76","152.45","155.30","151.38","11.42M","1.39%"
"30-12-2025","151.65","149.51","152.84","148.12","34.38M","1.68%"
"29-12-2025","149.15","150.19","150.70","148.67","6.33M","-0.71%"
"26-12-2025","150.22","150.79","151.47","150.00","2.66M","-0.36%"
"24-12-2025","150.76","153.00","153.00","150.39","5.74M","-1.05%"
"23-12-2025","152.36","153.90","153.90","151.85","4.85M","-0.29%"
"22-12-2025","152.80","155.05","155.20","152.38","6.27M","-0.80%"
"19-12-2025","154.03","154.80","155.48","153.10","7.57M","-0.08%"
"18-12-2025","154.15","153.15","155.15","152.01","8.32M","0.73%"
"17-12-2025","153.04","152.95","154.38","152.50","9.90M","-0.10%"
"16-12-2025","153.20","153.35","154.25","152.41","7.23M","-0.29%"
"15-12-2025","153.65","152.74","154.13","151.10","7.97M","0.60%"
"12-12-2025","152.74","150.60","153.06","149.83","9.06M","1.47%"
"11-12-2025","150.53","148.06","151.28","147.75","6.92M","1.67%"
"10-12-2025","148.06","150.50","151.20","147.02","8.72M","-1.58%"
"09-12-2025","150.43","147.45","150.75","145.87","13.39M","1.40%"
"08-12-2025","148.36","153.30","153.57","146.50","13.31M","-3.22%"
"05-12-2025","153.30","152.43","153.69","150.80","11.07M","0.57%"
"04-12-2025","152.43","150.80","153.27","150.15","11.67M","0.69%"
"03-12-2025","151.38","157.34","157.70","150.30","25.42M","-2.82%"
"02-12-2025","155.77","155.01","160.15","154.44","41.38M","1.02%"
"01-12-2025","154.19","154.00","156.00","153.16","8.97M","0.60%"
"28-11-2025","153.27","154.00","154.75","152.21","7.66M","-0.65%"
"27-11-2025","154.28","155.89","155.89","153.10","6.10M","-0.72%"
"26-11-2025","155.40","153.85","157.51","153.40","16.80M","1.67%"
"25-11-2025","152.85","151.00","153.21","151.00","5.13M","1.23%"
"24-11-2025","150.99","150.95","152.60","150.51","10.62M","0.07%"
"21-11-2025","150.89","153.00","153.02","149.61","8.11M","-1.50%"
"20-11-2025","153.19","155.10","156.60","152.70","6.03M","-0.84%"
"19-11-2025","154.48","153.30","154.99","152.01","9.71M","0.89%"
"18-11-2025","153.11","154.07","154.74","152.40","5.86M","-0.63%"
"17-11-2025","154.08","153.75","156.06","153.40","9.50M","0.86%"
"14-11-2025","152.76","151.76","153.74","151.53","8.86M","0.57%"
"13-11-2025","151.90","157.05","157.40","151.41","19.74M","-2.81%"
"12-11-2025","156.29","153.26","156.75","152.51","12.02M","2.40%"
"11-11-2025","152.62","154.24","154.62","150.32","11.29M","-1.05%"
"10-11-2025","154.24","153.98","155.42","152.30","13.76M","0.61%"
"07-11-2025","153.30","149.10","153.66","147.80","14.46M","2.10%"
"06-11-2025","150.15","152.58","152.58","149.60","10.30M","-0.92%"
"04-11-2025","151.54","151.90","152.65","150.25","14.62M","0.44%"
"03-11-2025","150.88","149.00","152.75","148.95","23.97M","1.49%"
"31-10-2025","148.67","143.27","152.00","142.86","63.64M","4.46%"
"30-10-2025","142.32","146.40","150.80","140.80","37.28M","-2.60%"
"29-10-2025","146.12","148.00","148.23","145.37","7.28M","-0.65%"
"28-10-2025","147.07","145.90","147.73","144.70","15.19M","1.46%"
"27-10-2025","144.96","142.48","146.20","141.65","10.15M","2.25%"
"24-10-2025","141.77","142.71","144.00","140.80","5.68M","-0.76%"
"23-10-2025","142.85","142.00","145.00","142.00","12.27M","0.84%"
"21-10-2025","141.66","142.00","142.52","141.10","2.54M","0.23%"
"20-10-2025","141.33","137.69","142.80","137.49","18.10M","3.39%"
"17-10-2025","136.69","138.81","139.08","135.80","7.58M","-1.53%"
"16-10-2025","138.81","140.00","140.75","138.00","5.12M","-0.45%"
"15-10-2025","139.44","137.24","140.40","137.14","6.78M","1.78%"
"14-10-2025","137.00","140.10","140.34","136.74","6.99M","-2.07%"
"13-10-2025","139.90","139.27","141.00","136.91","8.11M","0.45%"
"10-10-2025","139.27","137.90","140.18","137.52","7.96M","1.04%"
"09-10-2025","137.83","136.65","139.35","136.15","7.31M","1.33%"
"08-10-2025","136.02","139.25","139.25","135.72","7.72M","-1.82%"
"07-10-2025","138.54","137.00","139.15","136.75","8.13M","1.36%"
"06-10-2025","136.68","137.70","138.25","135.30","10.22M","-0.75%"
"03-10-2025","137.71","138.78","140.45","135.29","11.96M","-0.75%"
"01-10-2025","138.75","139.19","140.10","136.40","8.64M","0.17%"
"30-09-2025","138.51","135.89","139.15","135.68","9.26M","2.30%"
"29-09-2025","135.40","134.29","136.83","134.26","8.53M","0.98%"
"26-09-2025","134.08","138.55","138.70","133.90","8.04M","-3.38%"
"25-09-2025","138.77","139.19","140.20","137.82","6.55M","-0.29%"
"24-09-2025","139.17","140.60","141.63","138.77","9.87M","-0.73%"
"23-09-2025","140.20","138.81","141.34","137.11","7.62M","1.00%"
"22-09-2025","138.81","140.35","141.56","138.33","7.48M","-1.06%"
"19-09-2025","140.30","136.80","141.23","136.52","23.48M","2.72%"
"18-09-2025","136.59","137.41","138.36","135.30","12.77M","-0.32%"
"17-09-2025","137.03","134.50","138.45","134.00","15.30M","2.04%"
"16-09-2025","134.29","134.95","135.07","133.00","6.95M","-0.26%"
"15-09-2025","134.64","133.88","135.11","132.50","8.20M","0.57%"
"12-09-2025","133.88","134.30","134.30","132.82","5.58M","0.12%"
"11-09-2025","133.72","132.95","136.48","132.55","10.91M","0.91%"
"10-09-2025","132.51","127.90","132.90","127.87","17.94M","4.14%"
"09-09-2025","127.24","128.09","128.49","126.61","6.44M","-0.63%"
"08-09-2025","128.05","127.74","129.05","127.10","2.61M","0.56%"
"05-09-2025","127.34","126.98","128.16","125.45","8.06M","0.40%"
"04-09-2025","126.83","129.75","130.59","126.63","7.51M","-1.27%"
"03-09-2025","128.46","128.00","128.90","127.58","6.93M","0.63%"
"02-09-2025","127.66","128.51","129.41","127.23","4.00M","-0.39%"
"01-09-2025","128.16","125.50","128.40","125.50","5.84M","2.68%"
"29-08-2025","124.82","127.45","128.20","124.64","13.17M","-1.78%"
"28-08-2025","127.08","129.58","129.58","126.80","7.29M","-2.00%"
"26-08-2025","129.67","133.00","133.00","128.94","13.48M","-2.53%"
"25-08-2025","133.04","134.77","136.00","132.83","6.49M","-1.28%"
"22-08-2025","134.76","136.58","138.22","134.60","7.28M","-1.30%"
"21-08-2025","136.53","137.00","138.55","136.30","6.92M","-0.28%"
"20-08-2025","136.91","137.02","138.29","136.41","7.03M","-0.45%"
"19-08-2025","137.53","135.80","137.75","133.71","8.22M","1.28%"
"18-08-2025","135.79","136.86","137.63","134.90","10.44M","0.70%"
"14-08-2025","134.84","136.00","136.48","134.12","5.98M","-0.63%"
"13-08-2025","135.69","136.00","136.94","134.81","6.38M","0.11%"
"12-08-2025","135.54","135.45","137.00","134.96","8.58M","0.56%"
"11-08-2025","134.78","131.00","134.96","130.98","10.23M","2.90%"
"08-08-2025","130.98","132.00","132.55","130.50","6.25M","-1.11%"
"07-08-2025","132.45","130.00","132.80","129.64","12.18M","1.09%"
"06-08-2025","131.02","128.15","131.63","127.81","11.99M","2.38%"
"05-08-2025","127.98","128.90","129.87","127.18","14.45M","-0.82%"
"04-08-2025","129.04","128.62","129.43","127.14","12.08M","0.73%"
"01-08-2025","128.10","130.96","131.45","127.80","9.78M","-2.18%"
"31-07-2025","130.96","129.00","132.60","128.00","13.14M","0.15%"
"30-07-2025","130.76","132.82","133.89","130.55","10.56M","-1.48%"
"29-07-2025","132.73","132.34","133.69","130.93","15.74M","-0.53%"
"28-07-2025","133.44","136.00","137.05","133.10","13.55M","-2.04%"
"25-07-2025","136.22","139.80","141.85","135.95","15.84M","-6.04%"
"24-07-2025","144.97","144.75","145.45","142.63","12.27M","1.11%"
"23-07-2025","143.38","143.65","144.10","141.60","10.27M","0.31%"
"22-07-2025","142.93","144.45","145.45","142.60","12.88M","0.20%"
"21-07-2025","142.64","145.50","145.73","141.00","21.67M","-2.61%"
"18-07-2025","146.46","146.80","148.60","145.32","12.34M","0.10%"
"17-07-2025","146.31","148.70","148.89","144.85","15.58M","-1.37%"
"16-07-2025","148.34","146.95","149.60","146.12","14.00M","1.44%"
"15-07-2025","146.23","147.01","147.98","145.72","9.05M","-0.53%"
"14-07-2025","147.01","143.82","147.43","143.82","16.97M","2.27%"
"11-07-2025","143.74","143.86","145.86","142.90","9.20M","-0.08%"
"10-07-2025","143.86","145.00","145.59","143.28","7.84M","-0.50%"
"09-07-2025","144.59","147.85","147.85","141.54","30.35M","-3.77%"
"08-07-2025","150.25","151.65","153.43","148.91","9.26M","-1.26%"
"07-07-2025","152.17","152.53","154.59","151.45","7.35M","-0.60%"
"04-07-2025","153.09","151.97","153.70","151.36","9.09M","0.99%"
"03-07-2025","151.59","153.40","154.40","150.36","7.18M","-1.17%"
"02-07-2025","153.39","154.64","155.90","152.05","8.26M","-0.81%"
"01-07-2025","154.64","153.41","155.40","150.65","16.06M","0.68%"
"30-06-2025","153.60","149.94","155.00","149.51","21.42M","3.05%"
"27-06-2025","149.06","148.50","151.90","147.64","14.93M","0.63%"
"26-06-2025","148.12","145.80","148.50","144.26","10.11M","2.65%"
"25-06-2025","144.30","146.50","147.30","143.92","10.01M","-1.90%"
"24-06-2025","147.09","145.00","148.78","144.94","13.48M","2.98%"
"23-06-2025","142.84","141.50","144.36","141.50","5.73M","-0.45%"
"20-06-2025","143.48","139.55","145.30","139.55","14.07M","2.72%"
"19-06-2025","139.68","143.20","143.89","138.32","11.15M","-3.08%"
"18-06-2025","144.12","144.96","145.95","143.33","6.86M","-0.58%"
"17-06-2025","144.96","147.11","148.42","144.50","6.05M","-1.37%"
"16-06-2025","146.97","146.24","147.21","143.32","7.92M","0.50%"
"13-06-2025","146.24","145.00","148.61","145.00","8.32M","-2.83%"
"12-06-2025","150.50","153.47","153.50","150.00","8.90M","-1.52%"
"11-06-2025","152.82","155.00","155.10","151.40","8.39M","-0.97%"
"10-06-2025","154.31","155.44","155.87","153.00","7.51M","-0.70%"
"09-06-2025","155.39","153.94","158.07","153.55","11.99M","1.38%"
"06-06-2025","153.28","153.70","155.39","149.48","22.45M","0.48%"
"05-06-2025","152.55","153.78","154.35","151.38","8.52M","-0.39%"
"04-06-2025","153.15","152.00","154.12","149.12","17.58M","1.00%"
