"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","992.30","1,008.10","1,027.30","980.00","2.24M","-1.20%"
"12-03-2026","1,004.40","987.00","1,019.00","976.00","1.13M","1.25%"
"11-03-2026","992.00","1,010.00","1,031.60","987.40","858.59K","-2.13%"
"10-03-2026","1,013.60","993.10","1,022.50","980.70","2.12M","3.28%"
"09-03-2026","981.40","970.50","986.90","958.10","1.18M","-1.12%"
"06-03-2026","992.50","980.00","1,007.70","979.80","1.53M","0.47%"
"05-03-2026","987.90","965.40","994.00","965.40","1.01M","2.85%"
"04-03-2026","960.50","956.40","968.50","948.80","1.78M","-1.21%"
"02-03-2026","972.30","961.00","988.00","951.00","1.36M","-3.88%"
"27-02-2026","1,011.55","1,022.00","1,034.40","1,008.00","702.34K","-1.21%"
"26-02-2026","1,023.95","1,023.20","1,036.20","1,009.00","1.11M","1.08%"
"25-02-2026","1,013.00","1,041.00","1,051.80","1,007.55","1.39M","-2.32%"
"24-02-2026","1,037.10","999.75","1,045.00","993.70","1.36M","3.32%"
"23-02-2026","1,003.80","1,003.10","1,010.00","993.15","1.27M","0.57%"
"20-02-2026","998.10","995.05","1,010.30","984.35","2.53M","-0.90%"
"19-02-2026","1,007.20","1,035.00","1,036.10","1,003.30","917.45K","-2.75%"
"18-02-2026","1,035.70","1,033.55","1,038.80","1,018.30","565.97K","0.53%"
"17-02-2026","1,030.20","1,002.00","1,035.00","996.00","1.46M","2.67%"
"16-02-2026","1,003.45","977.00","1,007.50","972.30","976.11K","1.56%"
"13-02-2026","988.00","1,017.00","1,017.00","979.00","1.66M","-3.40%"
"12-02-2026","1,022.80","1,030.00","1,037.00","1,020.00","772.48K","-1.06%"
"11-02-2026","1,033.80","1,014.00","1,037.00","1,009.85","929.37K","1.68%"
"10-02-2026","1,016.75","1,033.90","1,033.90","1,002.50","1.01M","-1.53%"
"09-02-2026","1,032.50","1,023.80","1,040.00","1,023.30","1.00M","1.45%"
"06-02-2026","1,017.70","1,010.40","1,025.95","1,001.50","1.81M","0.62%"
"05-02-2026","1,011.45","980.00","1,016.50","980.00","1.77M","2.36%"
"04-02-2026","988.15","961.55","1,002.15","957.70","1.65M","1.41%"
"03-02-2026","974.40","951.00","982.70","937.20","5.09M","10.15%"
"02-02-2026","884.60","849.90","890.00","842.80","1.53M","4.59%"
"01-02-2026","845.75","885.60","906.50","842.00","908.08K","-5.48%"
"30-01-2026","894.80","900.00","916.00","883.20","1.14M","-2.11%"
