"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","512.95","521.50","530.50","509.00","4.92M","-1.03%"
"12-03-2026","518.30","484.00","528.00","484.00","19.32M","6.21%"
"11-03-2026","488.00","489.00","498.70","486.00","1.22M","-0.14%"
"10-03-2026","488.70","480.00","491.05","478.95","1.80M","2.05%"
"09-03-2026","478.90","475.50","480.45","465.50","2.46M","-1.90%"
"06-03-2026","488.20","476.90","499.50","476.90","4.02M","1.81%"
"05-03-2026","479.50","469.90","482.05","469.65","1.47M","2.45%"
"04-03-2026","468.05","473.00","477.20","464.50","1.51M","-2.75%"
"02-03-2026","481.30","468.00","486.85","466.05","2.51M","-1.32%"
"27-02-2026","487.75","498.00","498.10","484.35","1.31M","-2.19%"
"26-02-2026","498.65","491.90","506.25","490.70","3.46M","1.75%"
"25-02-2026","490.05","490.25","495.80","487.00","1.38M","-0.04%"
"24-02-2026","490.25","485.00","493.00","479.75","1.39M","0.79%"
"23-02-2026","486.40","495.00","498.95","484.35","1.91M","-1.53%"
"20-02-2026","493.95","478.65","495.00","477.65","3.14M","2.88%"
"19-02-2026","480.10","486.25","495.90","477.40","4.01M","-1.26%"
"18-02-2026","486.25","487.00","490.85","484.00","1.37M","-0.23%"
"17-02-2026","487.35","489.75","490.70","484.45","2.08M","-0.53%"
"16-02-2026","489.95","471.50","492.25","470.00","2.23M","3.21%"
"13-02-2026","474.70","479.00","479.00","468.85","1.17M","-1.00%"
"12-02-2026","479.50","481.50","481.50","474.50","831.73K","-0.59%"
"11-02-2026","482.35","481.00","485.45","475.75","823.11K","-0.28%"
"10-02-2026","483.70","484.00","485.40","478.90","1.17M","0.75%"
"09-02-2026","480.10","474.00","480.90","469.55","2.28M","1.47%"
"06-02-2026","473.15","471.55","474.25","465.35","902.59K","-0.17%"
"05-02-2026","473.95","468.85","474.90","462.85","1.74M","1.09%"
"04-02-2026","468.85","458.90","470.00","456.00","2.03M","2.11%"
"03-02-2026","459.15","465.00","475.00","451.85","3.45M","1.69%"
"02-02-2026","451.50","443.00","453.60","440.05","1.25M","2.43%"
"01-02-2026","440.80","461.90","461.90","436.55","2.53M","-4.13%"
"30-01-2026","459.80","458.80","461.60","449.10","3.02M","0.17%"
"29-01-2026","459.00","454.00","461.05","446.20","3.25M","2.86%"
"28-01-2026","446.25","442.00","452.40","438.70","9.88M","1.41%"
"27-01-2026","440.05","475.00","475.00","427.75","24.09M","-7.87%"
"23-01-2026","477.65","492.00","492.00","472.50","1.76M","-2.99%"
"22-01-2026","492.35","479.80","494.30","479.25","1.25M","3.05%"
"21-01-2026","477.80","479.50","481.55","471.00","1.57M","-0.27%"
"20-01-2026","479.10","486.35","487.75","476.05","1.39M","-1.49%"
"19-01-2026","486.35","492.90","500.35","484.20","954.57K","-1.31%"
"16-01-2026","492.80","496.50","503.65","490.60","2.55M","-0.37%"
"14-01-2026","494.65","493.00","501.00","491.50","950.74K","0.10%"
"13-01-2026","494.15","500.00","502.05","488.00","1.49M","-0.93%"
"12-01-2026","498.80","490.00","499.90","479.35","2.30M","1.74%"
"09-01-2026","490.25","499.80","502.30","487.40","1.23M","-1.89%"
"08-01-2026","499.70","512.00","512.90","497.00","1.23M","-2.52%"
"07-01-2026","512.60","515.00","518.00","507.20","1.27M","-0.44%"
"06-01-2026","514.85","517.25","521.60","511.50","1.58M","-0.40%"
"05-01-2026","516.90","510.05","524.10","509.85","3.98M","1.22%"
"02-01-2026","510.65","505.00","514.55","502.20","5.51M","1.72%"
"01-01-2026","502.00","484.00","503.05","483.00","6.03M","4.05%"
"31-12-2025","482.45","470.05","484.15","469.95","2.31M","2.70%"
"30-12-2025","469.75","469.30","474.65","468.00","638.82K","-0.30%"
"29-12-2025","471.15","479.00","479.35","470.00","796.39K","-1.72%"
"26-12-2025","479.40","481.90","486.95","477.30","712.82K","-1.02%"
"24-12-2025","484.35","486.90","488.10","481.55","1.82M","-0.27%"
"23-12-2025","485.65","480.00","486.75","477.20","1.16M","1.40%"
"22-12-2025","478.95","479.00","482.10","476.10","847.80K","0.15%"
"19-12-2025","478.25","475.00","479.90","468.30","1.53M","1.32%"
"18-12-2025","472.00","475.25","475.25","467.65","1.79M","-0.68%"
"17-12-2025","475.25","477.80","482.55","473.00","1.84M","-0.68%"
"16-12-2025","478.50","484.00","484.95","472.15","1.86M","-1.63%"
"15-12-2025","486.45","484.10","487.80","478.90","3.76M","0.88%"
"12-12-2025","482.20","457.80","485.10","457.80","5.75M","5.33%"
"11-12-2025","457.80","452.15","460.00","448.15","2.10M","1.47%"
"10-12-2025","451.15","452.00","470.80","448.90","5.39M","-0.01%"
"09-12-2025","451.20","453.50","456.90","442.70","21.78M","-0.58%"
"08-12-2025","453.85","461.90","470.90","449.55","3.06M","-1.75%"
"05-12-2025","461.95","459.85","465.00","448.65","4.89M","0.46%"
"04-12-2025","459.85","470.20","473.30","457.90","6.06M","-2.20%"
"03-12-2025","470.20","482.20","484.85","468.10","2.98M","-2.88%"
"02-12-2025","484.15","488.05","490.55","480.00","2.11M","-1.56%"
"01-12-2025","491.80","488.70","493.40","484.10","1.93M","0.64%"
"28-11-2025","488.65","489.50","489.50","483.45","1.26M","0.13%"
"27-11-2025","488.00","489.00","490.20","480.65","2.27M","0.15%"
"26-11-2025","487.25","476.60","489.60","473.80","1.49M","2.23%"
"25-11-2025","476.60","481.40","482.40","475.00","2.95M","-0.91%"
"24-11-2025","481.00","487.90","487.90","479.50","3.56M","-0.73%"
"21-11-2025","484.55","506.00","507.65","483.00","6.24M","-4.02%"
"20-11-2025","504.85","516.00","517.30","503.50","3.53M","-1.71%"
"19-11-2025","513.65","526.05","528.70","512.35","2.91M","-2.52%"
"18-11-2025","526.95","526.80","528.50","520.95","2.01M","-0.13%"
"17-11-2025","527.65","528.00","535.50","526.85","1.23M","-0.22%"
"14-11-2025","528.80","525.05","531.75","522.55","1.76M","0.09%"
"13-11-2025","528.30","527.50","532.90","525.40","1.68M","0.05%"
"12-11-2025","528.05","527.90","532.35","523.05","1.75M","0.23%"
"11-11-2025","526.85","523.00","529.45","518.25","1.43M","0.83%"
"10-11-2025","522.50","521.00","527.00","519.55","878.12K","0.65%"
"07-11-2025","519.15","522.00","523.90","511.20","1.56M","0.35%"
"06-11-2025","517.35","526.15","531.95","515.60","2.03M","-2.04%"
"04-11-2025","528.10","534.00","535.45","525.90","1.53M","-0.90%"
"03-11-2025","532.90","528.00","536.25","524.80","1.78M","1.03%"
"31-10-2025","527.45","538.00","540.00","525.50","2.82M","-1.99%"
"30-10-2025","538.15","535.00","541.30","529.00","1.73M","0.69%"
"29-10-2025","534.45","536.50","546.35","531.85","2.69M","-0.35%"
"28-10-2025","536.35","527.00","539.90","525.10","2.74M","1.32%"
"27-10-2025","529.35","531.00","535.85","527.80","2.15M","-0.34%"
"24-10-2025","531.15","533.00","538.05","528.25","2.32M","-0.40%"
"23-10-2025","533.30","528.25","535.00","522.85","2.66M","0.98%"
"21-10-2025","528.10","531.50","531.50","525.30","489.25K","0.55%"
"20-10-2025","525.20","539.60","539.60","514.00","5.11M","-2.88%"
"17-10-2025","540.80","550.00","552.70","536.75","3.40M","-1.42%"
"16-10-2025","548.60","545.75","551.50","545.00","2.48M","0.52%"
"15-10-2025","545.75","541.25","547.10","537.60","1.73M","0.87%"
"14-10-2025","541.05","546.00","549.50","534.90","2.54M","-0.62%"
"13-10-2025","544.45","543.00","546.50","538.65","1.37M","-0.28%"
"10-10-2025","546.00","542.80","547.50","541.50","1.61M","0.59%"
"09-10-2025","542.80","534.00","544.00","532.55","1.43M","1.56%"
"08-10-2025","534.45","547.05","547.95","530.10","3.26M","-2.48%"
"07-10-2025","548.05","541.00","557.40","538.55","4.23M","1.30%"
"06-10-2025","541.00","539.90","542.80","536.10","1.94M","0.20%"
"03-10-2025","539.90","537.00","542.35","532.05","1.85M","0.64%"
"01-10-2025","536.45","532.90","538.00","528.20","840.36K","1.05%"
"30-09-2025","530.85","526.50","534.35","525.00","1.51M","0.44%"
"29-09-2025","528.55","521.00","531.85","520.20","1.48M","1.62%"
"26-09-2025","520.10","526.15","528.40","518.30","1.45M","-1.61%"
"25-09-2025","528.60","536.00","539.85","527.15","2.10M","-1.22%"
"24-09-2025","535.15","546.05","551.00","533.25","2.43M","-1.60%"
"23-09-2025","543.85","542.50","555.50","541.10","3.40M","0.17%"
"22-09-2025","542.95","547.00","549.45","539.35","1.88M","-0.47%"
"19-09-2025","545.50","551.00","552.00","542.65","4.40M","1.43%"
"18-09-2025","537.80","535.40","542.50","533.80","1.14M","0.52%"
"17-09-2025","535.00","541.90","545.30","534.00","1.37M","-0.94%"
"16-09-2025","540.05","532.45","551.25","532.00","5.76M","1.51%"
"15-09-2025","532.00","523.95","535.00","523.15","1.88M","1.19%"
"12-09-2025","525.75","525.00","529.60","523.10","1.82M","0.81%"
"11-09-2025","521.55","518.65","529.50","516.45","2.03M","0.49%"
"10-09-2025","519.00","508.90","523.00","508.20","2.43M","2.55%"
"09-09-2025","506.10","511.95","512.35","505.00","1.20M","-0.80%"
"08-09-2025","510.20","505.20","520.00","505.20","1.65M","1.21%"
"05-09-2025","504.10","502.10","507.15","499.55","1.08M","0.32%"
"04-09-2025","502.50","509.90","513.75","501.50","1.69M","-1.29%"
"03-09-2025","509.05","511.30","515.50","508.35","1.58M","-0.44%"
"02-09-2025","511.30","504.00","513.10","499.55","2.10M","2.04%"
"01-09-2025","501.10","490.00","501.90","488.00","1.29M","2.59%"
"29-08-2025","488.45","498.05","498.85","485.50","2.02M","-1.85%"
"28-08-2025","497.65","513.00","513.00","496.20","2.12M","-3.01%"
"26-08-2025","513.10","520.00","521.60","511.45","1.99M","-1.60%"
"25-08-2025","521.45","518.90","525.80","515.80","3.25M","0.69%"
"22-08-2025","517.90","520.70","522.60","513.30","2.10M","-0.65%"
"21-08-2025","521.30","532.00","532.30","519.20","2.60M","-1.97%"
"20-08-2025","531.75","532.20","539.15","531.00","2.55M","-0.29%"
"19-08-2025","533.30","533.60","535.00","530.40","1.33M","-0.06%"
"18-08-2025","533.60","534.50","540.65","531.15","2.43M","0.84%"
"14-08-2025","529.15","535.00","535.75","525.85","1.06M","-1.09%"
"13-08-2025","535.00","534.10","538.95","533.85","1.21M","0.35%"
"12-08-2025","533.15","534.60","539.40","531.10","1.58M","-0.36%"
"11-08-2025","535.10","521.50","537.00","518.30","2.51M","3.24%"
"08-08-2025","518.30","533.20","535.05","516.50","1.69M","-2.74%"
"07-08-2025","532.90","530.00","537.00","514.60","3.01M","-0.22%"
"06-08-2025","534.05","538.50","541.40","521.70","4.52M","-0.68%"
"05-08-2025","537.70","539.00","548.40","535.20","8.56M","-0.02%"
"04-08-2025","537.80","515.00","539.90","512.30","9.05M","5.11%"
"01-08-2025","511.65","530.00","533.90","509.40","12.37M","-0.66%"
"31-07-2025","515.05","520.05","523.80","512.10","1.95M","-2.17%"
