"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,461.30","1,505.00","1,523.60","1,454.80","357.82K","-2.97%"
"12-03-2026","1,506.00","1,435.00","1,517.40","1,432.70","916.86K","4.66%"
"11-03-2026","1,439.00","1,451.50","1,478.60","1,434.00","282.14K","-0.86%"
"10-03-2026","1,451.50","1,440.00","1,464.20","1,440.00","250.24K","1.58%"
"09-03-2026","1,428.90","1,451.00","1,454.20","1,333.20","566.85K","-3.54%"
"06-03-2026","1,481.30","1,495.00","1,505.90","1,477.30","275.27K","-1.50%"
"05-03-2026","1,503.90","1,479.90","1,511.80","1,476.00","486.22K","1.90%"
"04-03-2026","1,475.90","1,521.00","1,522.10","1,466.20","1.68M","-5.08%"
"02-03-2026","1,554.90","1,491.00","1,569.10","1,491.00","854.15K","-0.73%"
"27-02-2026","1,566.40","1,566.00","1,605.00","1,561.00","881.72K","0.08%"
"26-02-2026","1,565.10","1,564.00","1,579.00","1,547.50","725.48K","-0.04%"
"25-02-2026","1,565.70","1,546.90","1,569.10","1,542.20","499.56K","1.55%"
"24-02-2026","1,541.80","1,535.40","1,569.00","1,525.20","902.71K","0.35%"
"23-02-2026","1,536.40","1,540.00","1,552.80","1,525.00","618.80K","0.51%"
"20-02-2026","1,528.60","1,492.60","1,539.50","1,482.00","1.25M","2.41%"
"19-02-2026","1,492.60","1,521.00","1,544.90","1,485.90","521.70K","-2.31%"
"18-02-2026","1,527.90","1,482.10","1,535.00","1,473.60","1.03M","2.79%"
"17-02-2026","1,486.40","1,479.30","1,493.50","1,462.70","550.91K","1.02%"
"16-02-2026","1,471.40","1,445.00","1,477.00","1,439.80","471.54K","0.60%"
"13-02-2026","1,462.60","1,451.00","1,468.30","1,428.00","621.00K","0.61%"
"12-02-2026","1,453.70","1,428.60","1,458.40","1,411.50","809.30K","1.76%"
"11-02-2026","1,428.60","1,479.70","1,479.70","1,385.10","3.15M","-3.67%"
"10-02-2026","1,483.00","1,445.00","1,506.00","1,425.90","1.32M","3.91%"
"09-02-2026","1,427.20","1,440.00","1,445.00","1,409.20","1.04M","-0.13%"
"06-02-2026","1,429.00","1,416.60","1,437.60","1,397.50","519.21K","0.80%"
"05-02-2026","1,417.60","1,395.00","1,427.40","1,385.50","673.28K","0.72%"
"04-02-2026","1,407.50","1,370.30","1,411.00","1,362.60","705.62K","2.71%"
"03-02-2026","1,370.30","1,377.00","1,378.40","1,339.00","337.68K","3.06%"
"02-02-2026","1,329.60","1,307.00","1,337.80","1,297.20","385.12K","2.47%"
