"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,957.20","1,969.70","1,995.00","1,951.00","660.97K","-0.94%"
"03/12/2026","1,975.80","2,040.00","2,040.00","1,962.20","836.49K","-3.88%"
"03/11/2026","2,055.60","2,198.30","2,198.30","2,046.00","1.66M","-6.49%"
"03/10/2026","2,198.30","2,160.00","2,210.70","2,159.20","368.74K","1.95%"
"03/09/2026","2,156.30","2,193.00","2,193.00","2,140.70","309.06K","-2.19%"
"03/06/2026","2,204.60","2,200.10","2,220.00","2,196.40","233.35K","0.18%"
"03/05/2026","2,200.60","2,191.00","2,212.20","2,167.00","258.08K","0.77%"
"03/04/2026","2,183.70","2,198.50","2,204.40","2,178.10","272.46K","-1.41%"
"03/02/2026","2,214.90","2,198.80","2,239.90","2,197.00","226.43K","-1.76%"
"02/27/2026","2,254.50","2,301.00","2,301.60","2,243.60","577.82K","-1.78%"
"02/26/2026","2,295.30","2,283.00","2,301.30","2,262.40","444.64K","1.10%"
"02/25/2026","2,270.40","2,240.10","2,274.80","2,234.10","822.58K","1.52%"
"02/24/2026","2,236.30","2,199.90","2,240.00","2,185.70","444.58K","1.84%"
"02/23/2026","2,196.00","2,197.90","2,211.30","2,190.20","183.76K","-0.09%"
"02/20/2026","2,197.90","2,167.20","2,211.80","2,167.20","349.13K","1.42%"
"02/19/2026","2,167.20","2,215.00","2,230.50","2,160.00","409.29K","-1.67%"
"02/18/2026","2,203.90","2,159.70","2,207.60","2,148.70","379.14K","2.46%"
"02/17/2026","2,151.00","2,118.60","2,161.00","2,118.60","179.26K","1.53%"
"02/16/2026","2,118.60","2,120.60","2,128.30","2,100.70","154.51K","-0.17%"
"02/13/2026","2,122.20","2,128.00","2,130.00","2,100.50","374.09K","-0.78%"
"02/12/2026","2,138.90","2,173.40","2,173.40","2,130.00","142.13K","-1.59%"
"02/11/2026","2,173.40","2,185.00","2,190.60","2,166.00","149.22K","-0.44%"
"02/10/2026","2,183.00","2,155.60","2,194.10","2,135.50","351.50K","1.27%"
"02/09/2026","2,155.60","2,141.00","2,162.10","2,127.30","260.86K","1.05%"
"02/06/2026","2,133.20","2,114.30","2,140.00","2,088.00","233.29K","0.89%"
"02/05/2026","2,114.30","2,116.20","2,152.80","2,111.00","144.17K","-0.09%"
"02/04/2026","2,116.20","2,138.70","2,159.90","2,108.90","313.95K","-1.05%"
"02/03/2026","2,138.70","2,151.00","2,159.90","2,103.90","506.47K","0.53%"
"02/02/2026","2,127.40","2,100.00","2,138.80","2,080.30","244.04K","0.86%"
"02/01/2026","2,109.20","2,114.00","2,125.00","2,069.20","238.91K","-0.24%"
"01/30/2026","2,114.20","2,083.00","2,125.00","2,029.40","1.23M","0.07%"
"01/29/2026","2,112.70","2,154.00","2,154.20","2,105.00","395.66K","-1.94%"
"01/28/2026","2,154.40","2,146.00","2,159.20","2,120.00","286.44K","0.02%"
"01/27/2026","2,153.90","2,158.00","2,165.90","2,128.00","460.92K","-0.57%"
"01/23/2026","2,166.30","2,185.00","2,185.90","2,158.00","342.72K","-0.61%"
"01/22/2026","2,179.60","2,123.10","2,184.00","2,120.00","602.03K","2.66%"
"01/21/2026","2,123.10","2,109.10","2,132.10","2,087.60","398.86K","0.44%"
"01/20/2026","2,113.90","2,175.00","2,188.10","2,106.40","302.49K","-2.94%"
"01/19/2026","2,178.00","2,101.30","2,209.90","2,095.80","1.13M","3.48%"
"01/16/2026","2,104.80","2,092.30","2,110.00","2,088.60","299.08K","0.60%"
"01/14/2026","2,092.30","2,115.00","2,115.00","2,082.70","224.91K","-0.68%"
"01/13/2026","2,106.70","2,091.00","2,118.50","2,088.90","324.28K","0.49%"
"01/12/2026","2,096.50","2,042.30","2,112.00","2,042.30","478.91K","1.97%"
"01/09/2026","2,056.00","2,042.30","2,083.80","2,041.80","302.01K","0.46%"
"01/08/2026","2,046.60","2,077.20","2,077.90","2,033.00","398.90K","-1.44%"
"01/07/2026","2,076.60","2,089.00","2,103.50","2,061.10","199.95K","-0.60%"
"01/06/2026","2,089.10","2,093.00","2,096.50","2,072.80","459.34K","-0.11%"
"01/05/2026","2,091.30","2,090.10","2,108.30","2,085.50","734.99K","0.06%"
"01/02/2026","2,090.10","2,105.00","2,105.00","2,080.30","157.95K","-0.18%"
"01/01/2026","2,093.80","2,086.10","2,100.00","2,079.10","340.46K","0.87%"
"12/31/2025","2,075.70","2,056.40","2,079.70","2,053.10","327.02K","1.09%"
"12/30/2025","2,053.40","2,070.00","2,075.20","2,051.00","344.03K","-0.81%"
"12/29/2025","2,070.10","2,080.30","2,088.70","2,063.00","262.25K","-0.83%"
"12/26/2025","2,087.40","2,093.00","2,114.90","2,082.00","186.84K","-0.28%"
"12/24/2025","2,093.30","2,106.20","2,112.00","2,088.10","112.48K","-0.61%"
"12/23/2025","2,106.20","2,110.00","2,118.90","2,097.70","117.77K","-0.09%"
"12/22/2025","2,108.20","2,111.10","2,113.90","2,090.20","172.01K","-0.14%"
"12/19/2025","2,111.10","2,090.00","2,114.40","2,078.10","399.23K","1.01%"
"12/18/2025","2,090.00","2,095.70","2,095.70","2,064.00","225.93K","0.12%"
"12/17/2025","2,087.40","2,126.90","2,142.20","2,075.30","387.67K","-3.38%"
"12/16/2025","2,160.40","2,160.00","2,193.80","2,153.10","355.99K","-0.18%"
"12/15/2025","2,164.40","2,161.00","2,171.50","2,146.10","396.19K","0.14%"
