"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,027.90","1,039.40","1,055.90","1,025.30","1.97M","-2.32%"
"03/12/2026","1,052.30","1,096.20","1,096.20","1,045.10","6.04M","-3.58%"
"03/11/2026","1,091.40","1,124.40","1,124.40","1,085.00","466.04K","-1.82%"
"03/10/2026","1,111.60","1,111.60","1,123.40","1,092.60","1.49M","2.90%"
"03/09/2026","1,080.30","1,100.00","1,100.00","1,068.30","954.05K","-3.25%"
"03/06/2026","1,116.60","1,132.40","1,132.50","1,114.00","883.21K","-1.40%"
"03/05/2026","1,132.40","1,139.80","1,145.00","1,120.10","1.93M","-0.45%"
"03/04/2026","1,137.50","1,152.90","1,152.90","1,122.70","1.76M","-3.27%"
"03/02/2026","1,176.00","1,190.00","1,203.60","1,161.70","1.17M","-3.41%"
"02/27/2026","1,217.50","1,238.90","1,238.90","1,213.20","1.44M","-1.75%"
"02/26/2026","1,239.20","1,240.30","1,240.40","1,227.60","393.45K","0.15%"
"02/25/2026","1,237.40","1,236.10","1,240.20","1,229.10","763.00K","0.23%"
"02/24/2026","1,234.60","1,226.80","1,237.90","1,214.30","1.19M","0.96%"
"02/23/2026","1,222.90","1,206.00","1,227.50","1,202.10","806.17K","1.41%"
"02/20/2026","1,205.90","1,188.50","1,210.00","1,184.00","576.36K","1.46%"
"02/19/2026","1,188.60","1,220.00","1,220.00","1,184.00","376.14K","-2.38%"
"02/18/2026","1,217.60","1,218.10","1,219.50","1,200.10","497.54K","0.23%"
"02/17/2026","1,214.80","1,203.80","1,218.40","1,202.00","469.23K","0.91%"
"02/16/2026","1,203.80","1,175.00","1,220.00","1,171.80","1.60M","0.70%"
"02/13/2026","1,195.40","1,196.00","1,202.20","1,191.00","827.69K","-0.74%"
"02/12/2026","1,204.30","1,208.60","1,210.60","1,192.30","454.44K","-0.36%"
"02/11/2026","1,208.60","1,206.60","1,214.30","1,197.30","638.93K","0.17%"
"02/10/2026","1,206.60","1,201.00","1,209.20","1,183.00","581.84K","0.74%"
"02/09/2026","1,197.70","1,182.60","1,200.20","1,169.60","2.52M","1.35%"
"02/06/2026","1,181.80","1,173.00","1,184.20","1,156.00","808.41K","0.99%"
"02/05/2026","1,170.20","1,155.00","1,173.90","1,155.00","510.89K","1.25%"
"02/04/2026","1,155.70","1,147.00","1,158.00","1,140.50","2.61M","0.81%"
"02/03/2026","1,146.40","1,183.70","1,187.10","1,142.20","2.10M","-2.03%"
"02/02/2026","1,170.10","1,155.00","1,173.30","1,132.20","1.43M","0.78%"
"02/01/2026","1,161.10","1,159.70","1,173.50","1,142.70","811.52K","0.61%"
"01/30/2026","1,154.10","1,155.30","1,170.00","1,146.50","1.82M","-0.10%"
"01/29/2026","1,155.30","1,174.00","1,174.00","1,142.40","1.81M","-1.41%"
"01/28/2026","1,171.80","1,174.00","1,175.60","1,146.50","1.36M","-0.18%"
"01/27/2026","1,173.90","1,229.10","1,229.10","1,117.10","4.43M","-5.36%"
"01/23/2026","1,240.40","1,253.50","1,256.40","1,235.60","863.13K","-0.45%"
"01/22/2026","1,246.00","1,230.10","1,249.90","1,222.10","1.01M","1.92%"
"01/21/2026","1,222.50","1,235.00","1,247.00","1,213.90","396.76K","-0.96%"
"01/20/2026","1,234.30","1,246.30","1,264.40","1,228.80","1.81M","0.17%"
"01/19/2026","1,232.20","1,237.20","1,247.40","1,227.60","488.51K","-0.38%"
"01/16/2026","1,236.90","1,235.00","1,253.30","1,228.10","895.55K","0.82%"
"01/14/2026","1,226.90","1,229.00","1,239.00","1,222.60","785.82K","-1.01%"
"01/13/2026","1,239.40","1,237.90","1,244.80","1,229.30","774.18K","0.26%"
"01/12/2026","1,236.20","1,227.00","1,251.50","1,223.20","1.08M","0.54%"
"01/09/2026","1,229.60","1,236.40","1,246.50","1,221.50","870.44K","-1.09%"
"01/08/2026","1,243.20","1,246.70","1,249.70","1,230.60","680.28K","-0.36%"
"01/07/2026","1,247.70","1,273.90","1,273.90","1,237.00","1.55M","-0.50%"
"01/06/2026","1,254.00","1,244.00","1,255.70","1,227.70","603.71K","0.78%"
"01/05/2026","1,244.30","1,236.00","1,247.10","1,225.60","741.94K","0.74%"
"01/02/2026","1,235.20","1,243.40","1,243.40","1,223.60","860.51K","-0.66%"
"01/01/2026","1,243.40","1,225.00","1,245.80","1,214.40","644.34K","1.73%"
"12/31/2025","1,222.20","1,216.00","1,234.60","1,208.20","1.36M","0.82%"
"12/30/2025","1,212.20","1,206.30","1,218.70","1,199.00","1.37M","0.49%"
"12/29/2025","1,206.30","1,210.20","1,212.00","1,195.60","770.67K","0.01%"
"12/26/2025","1,206.20","1,191.80","1,210.00","1,189.50","510.42K","1.17%"
"12/24/2025","1,192.20","1,196.50","1,202.90","1,188.00","393.13K","-0.36%"
"12/23/2025","1,196.50","1,186.00","1,206.20","1,182.10","655.80K","0.94%"
"12/22/2025","1,185.40","1,188.80","1,196.00","1,182.80","338.20K","-0.07%"
"12/19/2025","1,186.20","1,186.80","1,195.00","1,174.10","641.30K","-0.05%"
"12/18/2025","1,186.80","1,188.30","1,190.60","1,169.30","540.18K","0.60%"
"12/17/2025","1,179.70","1,180.00","1,187.50","1,171.80","929.90K","-0.23%"
"12/16/2025","1,182.40","1,166.20","1,198.50","1,163.90","2.23M","1.40%"
"12/15/2025","1,166.10","1,153.00","1,169.40","1,144.10","916.59K","1.07%"
"12/12/2025","1,153.80","1,155.10","1,157.80","1,138.90","966.62K","0.51%"
"12/11/2025","1,147.90","1,130.60","1,154.00","1,127.00","292.22K","1.54%"
"12/10/2025","1,130.50","1,128.00","1,138.30","1,126.10","805.55K","0.15%"
"12/09/2025","1,128.80","1,116.00","1,134.80","1,109.20","417.03K","0.64%"
"12/08/2025","1,121.60","1,136.00","1,140.10","1,108.40","790.41K","-1.27%"
"12/05/2025","1,136.00","1,132.00","1,139.10","1,122.30","339.26K","0.30%"
"12/04/2025","1,132.60","1,120.60","1,138.50","1,115.50","455.48K","1.06%"
"12/03/2025","1,120.70","1,139.00","1,139.00","1,117.60","429.25K","-1.01%"
"12/02/2025","1,132.10","1,134.90","1,140.70","1,123.70","678.67K","0.24%"
"12/01/2025","1,129.40","1,145.00","1,145.90","1,122.70","766.01K","-1.41%"
"11/28/2025","1,145.60","1,144.60","1,158.00","1,140.60","1.51M","0.09%"
"11/27/2025","1,144.60","1,149.00","1,166.90","1,139.10","1.14M","-0.83%"
"11/26/2025","1,154.20","1,147.00","1,167.50","1,142.10","1.45M","0.85%"
"11/25/2025","1,144.50","1,111.40","1,149.00","1,107.30","3.03M","2.98%"
"11/24/2025","1,111.40","1,130.00","1,134.80","1,108.30","1.73M","-1.23%"
"11/21/2025","1,125.20","1,120.00","1,129.90","1,114.00","4.26M","-0.19%"
"11/20/2025","1,127.30","1,141.30","1,142.00","1,125.70","1.18M","-1.11%"
"11/19/2025","1,139.90","1,139.90","1,149.00","1,132.60","1.67M","-0.19%"
"11/18/2025","1,142.10","1,151.70","1,154.00","1,135.10","1.66M","-0.89%"
