"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","2,160.00","2,136.00","2,191.90","2,120.30","2.30M","1.08%"
"03/12/2026","2,136.90","2,165.10","2,165.10","2,109.30","1.79M","-1.13%"
"03/11/2026","2,161.40","2,190.20","2,195.00","2,156.00","1.31M","-1.31%"
"03/10/2026","2,190.20","2,224.00","2,224.00","2,175.00","1.08M","-0.20%"
"03/09/2026","2,194.60","2,199.00","2,200.00","2,170.40","1.51M","-1.40%"
"03/06/2026","2,225.70","2,245.10","2,250.00","2,219.50","1.67M","-1.30%"
"03/05/2026","2,255.00","2,275.50","2,277.80","2,228.40","1.75M","-0.28%"
"03/04/2026","2,261.30","2,292.90","2,311.60","2,252.10","2.65M","-2.56%"
"03/02/2026","2,320.60","2,303.00","2,354.00","2,290.20","2.27M","-0.75%"
"02/27/2026","2,338.10","2,369.30","2,378.90","2,330.60","3.05M","-1.90%"
"02/26/2026","2,383.30","2,378.00","2,387.30","2,355.20","1.47M","0.35%"
"02/25/2026","2,374.90","2,368.90","2,380.00","2,349.00","1.16M","0.69%"
"02/24/2026","2,358.60","2,331.10","2,372.00","2,330.30","1.54M","0.56%"
"02/23/2026","2,345.40","2,325.00","2,350.00","2,320.80","1.30M","1.34%"
"02/20/2026","2,314.50","2,285.00","2,331.20","2,278.30","1.72M","1.54%"
"02/19/2026","2,279.30","2,336.00","2,337.40","2,275.60","940.18K","-1.90%"
"02/18/2026","2,323.50","2,312.60","2,328.90","2,306.00","830.79K","0.48%"
"02/17/2026","2,312.30","2,309.30","2,326.00","2,303.40","1.23M","-0.29%"
"02/16/2026","2,319.00","2,308.10","2,327.00","2,288.10","2.04M","0.60%"
"02/13/2026","2,305.20","2,400.00","2,400.00","2,300.30","2.79M","-4.34%"
"02/12/2026","2,409.70","2,475.00","2,479.60","2,350.10","4.66M","-2.16%"
"02/11/2026","2,462.90","2,460.00","2,470.60","2,447.00","1.14M","0.38%"
"02/10/2026","2,453.60","2,435.00","2,458.10","2,430.10","792.53K","0.76%"
"02/09/2026","2,435.00","2,425.00","2,439.00","2,402.00","958.48K","0.45%"
"02/06/2026","2,424.20","2,354.40","2,429.00","2,337.50","1.42M","2.96%"
"02/05/2026","2,354.40","2,362.50","2,423.00","2,351.60","1.96M","-0.70%"
"02/04/2026","2,371.00","2,360.60","2,393.50","2,356.80","1.23M","0.10%"
"02/03/2026","2,368.60","2,390.00","2,399.90","2,343.30","1.55M","0.48%"
"02/02/2026","2,357.30","2,356.10","2,360.00","2,303.00","1.38M","0.28%"
"02/01/2026","2,350.70","2,373.00","2,384.90","2,330.30","780.38K","-0.94%"
"01/30/2026","2,373.00","2,341.00","2,385.00","2,340.00","2.09M","0.87%"
"01/29/2026","2,352.60","2,370.50","2,374.70","2,312.00","1.48M","-1.08%"
"01/28/2026","2,378.40","2,403.10","2,420.20","2,340.60","1.80M","-0.94%"
"01/27/2026","2,400.90","2,412.00","2,421.60","2,380.50","2.06M","-0.36%"
"01/23/2026","2,409.50","2,400.00","2,434.30","2,376.80","1.38M","0.79%"
"01/22/2026","2,390.60","2,368.90","2,402.00","2,365.70","1.75M","0.95%"
"01/21/2026","2,368.00","2,379.10","2,400.50","2,360.00","1.02M","-0.47%"
"01/20/2026","2,379.10","2,423.00","2,439.00","2,368.50","1.46M","-1.44%"
"01/19/2026","2,413.90","2,353.00","2,425.40","2,353.00","1.51M","2.27%"
"01/16/2026","2,360.40","2,370.00","2,372.90","2,348.90","1.37M","0.29%"
"01/14/2026","2,353.50","2,398.90","2,398.90","2,341.00","1.03M","-1.51%"
"01/13/2026","2,389.50","2,415.10","2,422.20","2,365.00","1.52M","-0.69%"
"01/12/2026","2,406.20","2,362.00","2,413.90","2,361.00","1.06M","1.42%"
"01/09/2026","2,372.60","2,382.00","2,386.00","2,361.00","1.19M","-0.59%"
"01/08/2026","2,386.70","2,389.00","2,418.10","2,368.10","1.16M","-0.53%"
"01/07/2026","2,399.40","2,416.00","2,421.90","2,382.00","892.69K","-1.04%"
"01/06/2026","2,424.70","2,398.80","2,428.10","2,367.80","1.58M","1.70%"
"01/05/2026","2,384.10","2,341.50","2,394.00","2,336.40","1.34M","1.54%"
"01/02/2026","2,348.00","2,326.00","2,357.70","2,322.00","973.41K","1.08%"
"01/01/2026","2,323.00","2,322.00","2,326.00","2,300.00","758.87K","0.31%"
"12/31/2025","2,315.90","2,290.00","2,325.50","2,286.80","1.32M","1.12%"
"12/30/2025","2,290.20","2,293.30","2,298.00","2,283.00","1.56M","-0.14%"
"12/29/2025","2,293.30","2,288.90","2,298.70","2,280.00","1.09M","0.35%"
"12/26/2025","2,285.40","2,282.30","2,290.00","2,275.00","533.63K","0.14%"
"12/24/2025","2,282.20","2,302.60","2,305.00","2,278.10","519.38K","-0.89%"
"12/23/2025","2,302.60","2,289.30","2,310.00","2,280.70","1.13M","0.57%"
"12/22/2025","2,289.50","2,280.00","2,295.00","2,280.00","790.77K","0.42%"
"12/19/2025","2,280.00","2,263.70","2,284.80","2,263.70","1.24M","0.64%"
"12/18/2025","2,265.50","2,270.00","2,278.30","2,255.30","1.06M","-0.44%"
"12/17/2025","2,275.60","2,281.20","2,286.20","2,268.30","808.10K","-0.24%"
"12/16/2025","2,281.10","2,293.40","2,302.70","2,276.00","1.26M","-0.54%"
"12/15/2025","2,293.50","2,260.60","2,299.00","2,252.00","1.27M","1.46%"
"12/12/2025","2,260.60","2,306.90","2,309.00","2,244.70","3.20M","-1.95%"
"12/11/2025","2,305.60","2,296.30","2,313.00","2,292.00","1.11M","0.17%"
"12/10/2025","2,301.70","2,306.50","2,316.90","2,295.00","2.86M","-0.21%"
"12/09/2025","2,306.50","2,318.00","2,330.40","2,298.10","1.47M","-0.32%"
"12/08/2025","2,314.00","2,350.10","2,355.10","2,302.00","1.90M","-1.05%"
"12/05/2025","2,338.60","2,422.00","2,422.00","2,286.70","4.01M","-3.44%"
"12/04/2025","2,422.00","2,400.16","2,442.46","2,383.64","2.59M","0.58%"
"12/03/2025","2,408.03","2,437.74","2,444.33","2,363.86","3.54M","-1.20%"
"12/02/2025","2,437.34","2,430.66","2,443.84","2,419.84","2.18M","0.54%"
"12/01/2025","2,424.26","2,426.33","2,447.38","2,418.66","1.92M","-0.09%"
"11/28/2025","2,426.33","2,410.00","2,429.67","2,407.24","973.23K","-1.03%"
"11/27/2025","2,451.70","2,426.10","2,459.70","2,425.00","1.87M","1.09%"
"11/26/2025","2,425.20","2,412.00","2,427.70","2,409.00","1.24M","0.46%"
"11/25/2025","2,414.10","2,422.00","2,424.20","2,406.00","1.24M","-0.42%"
"11/24/2025","2,424.20","2,441.90","2,444.90","2,413.00","4.09M","-0.39%"
"11/21/2025","2,433.70","2,436.20","2,443.20","2,413.00","1.84M","0.22%"
"11/20/2025","2,428.40","2,445.10","2,459.00","2,425.00","1.40M","-0.54%"
"11/19/2025","2,441.60","2,412.00","2,450.70","2,411.00","1.47M","1.56%"
"11/18/2025","2,404.00","2,415.80","2,422.90","2,401.90","1.23M","-0.87%"
"11/17/2025","2,425.00","2,431.40","2,438.40","2,416.00","920.04K","-0.11%"
"11/14/2025","2,427.70","2,405.10","2,430.20","2,392.00","975.97K","0.83%"
"11/13/2025","2,407.60","2,429.00","2,431.00","2,405.00","1.26M","-0.70%"
"11/12/2025","2,424.50","2,430.60","2,434.80","2,416.20","1.68M","-0.12%"
"11/11/2025","2,427.50","2,422.20","2,433.70","2,403.10","1.42M","0.78%"
"11/10/2025","2,408.80","2,405.00","2,429.30","2,404.00","780.56K","-0.22%"
"11/07/2025","2,414.00","2,417.00","2,425.00","2,400.60","817.90K","-0.90%"
"11/06/2025","2,436.00","2,463.90","2,463.90","2,432.60","1.33M","-0.40%"
"11/04/2025","2,445.70","2,460.00","2,463.30","2,441.30","1.25M","-0.58%"
"11/03/2025","2,460.00","2,456.10","2,474.90","2,440.30","1.05M","-0.22%"
"10/31/2025","2,465.50","2,469.00","2,479.50","2,452.90","1.40M","-0.17%"
"10/30/2025","2,469.60","2,491.00","2,497.00","2,454.90","1.20M","-0.74%"
"10/29/2025","2,488.10","2,512.60","2,513.60","2,484.00","1.87M","-0.36%"
"10/28/2025","2,497.10","2,519.00","2,526.00","2,481.90","2.29M","-0.59%"
"10/27/2025","2,511.80","2,516.40","2,525.00","2,506.00","2.13M","-0.18%"
"10/24/2025","2,516.40","2,584.00","2,584.00","2,474.50","3.11M","-3.27%"
"10/23/2025","2,601.60","2,601.00","2,667.20","2,596.10","3.39M","0.38%"
"10/21/2025","2,591.70","2,594.00","2,606.70","2,585.10","82.02K","-0.10%"
"10/20/2025","2,594.40","2,609.00","2,624.70","2,585.60","1.01M","-0.36%"
"10/17/2025","2,603.70","2,565.50","2,615.00","2,560.00","2.05M","1.65%"
