"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","301.45","304.00","306.00","300.65","25.66M","-0.87%"
"03/12/2026","304.10","307.05","308.00","302.85","23.32M","-1.59%"
"03/11/2026","309.00","309.05","310.65","307.70","14.84M","-0.02%"
"03/10/2026","309.05","309.00","310.00","303.75","18.35M","1.00%"
"03/09/2026","306.00","305.00","307.20","303.60","14.08M","-1.19%"
"03/06/2026","309.70","310.05","312.30","309.20","21.29M","-0.58%"
"03/05/2026","311.50","312.20","313.60","308.20","19.94M","-0.14%"
"03/04/2026","311.95","310.60","315.50","310.50","24.17M","-0.94%"
"03/02/2026","314.90","307.00","315.75","307.00","22.19M","0.41%"
"02/27/2026","313.60","316.00","317.75","312.65","13.89M","-1.48%"
"02/26/2026","318.30","320.00","321.40","317.60","11.27M","-0.45%"
"02/25/2026","319.75","325.50","326.60","318.10","13.49M","-1.16%"
"02/24/2026","323.50","324.00","325.40","322.05","13.14M","-0.58%"
"02/23/2026","325.40","327.00","328.10","324.40","13.49M","-0.49%"
"02/20/2026","327.00","325.05","327.85","325.05","11.28M","0.31%"
"02/19/2026","326.00","334.05","334.25","325.00","19.91M","-1.94%"
"02/18/2026","332.45","326.00","332.95","324.80","35.47M","2.15%"
"02/17/2026","325.45","318.45","328.05","318.15","39.36M","2.36%"
"02/16/2026","317.95","313.75","318.25","313.15","11.69M","1.34%"
"02/13/2026","313.75","316.00","318.40","313.25","8.73M","-1.17%"
"02/12/2026","317.45","317.30","320.40","316.90","13.29M","-0.25%"
"02/11/2026","318.25","321.95","322.20","316.30","24.84M","-0.98%"
"02/10/2026","321.40","323.00","323.55","320.75","11.49M","-0.43%"
"02/09/2026","322.80","327.95","328.70","321.65","20.06M","-0.92%"
"02/06/2026","325.80","310.00","327.70","308.30","68.06M","5.03%"
"02/05/2026","310.20","313.95","315.35","309.30","15.82M","-1.16%"
"02/04/2026","313.85","312.50","314.95","311.35","11.20M","-0.88%"
"02/03/2026","316.65","321.20","324.75","311.60","33.17M","0.62%"
"02/02/2026","314.70","309.45","315.40","302.00","35.23M","1.70%"
"02/01/2026","309.45","324.60","324.60","306.05","33.28M","-3.94%"
"01/30/2026","322.15","318.80","325.15","316.45","41.98M","1.11%"
"01/29/2026","318.60","322.60","322.60","318.05","17.72M","-0.79%"
"01/28/2026","321.15","319.95","323.70","319.35","28.40M","0.78%"
"01/27/2026","318.65","323.60","324.70","317.85","47.85M","-1.47%"
"01/23/2026","323.40","325.55","326.40","322.70","11.95M","-0.45%"
"01/22/2026","324.85","326.10","328.70","321.05","18.62M","0.03%"
"01/21/2026","324.75","326.00","329.30","324.35","14.18M","-0.48%"
"01/20/2026","326.30","334.05","334.50","325.50","18.77M","-2.07%"
"01/19/2026","333.20","330.00","334.65","327.30","15.51M","1.22%"
"01/16/2026","329.20","337.50","337.50","328.55","30.53M","-1.66%"
"01/14/2026","334.75","336.00","336.00","333.45","14.91M","0.01%"
"01/13/2026","334.70","339.00","339.50","333.70","24.92M","-1.09%"
"01/12/2026","338.40","338.25","339.50","335.80","16.16M","0.37%"
"01/09/2026","337.15","340.90","341.00","336.10","35.19M","-1.10%"
"01/08/2026","340.90","341.50","345.15","339.05","36.71M","-0.10%"
"01/07/2026","341.25","343.00","344.55","339.30","29.44M","-0.35%"
"01/06/2026","342.45","350.25","350.70","337.75","72.58M","-2.07%"
"01/05/2026","349.70","350.20","353.95","346.05","48.36M","-0.10%"
"01/02/2026","350.05","360.00","360.00","345.25","118.79M","-3.79%"
"01/01/2026","363.85","402.70","402.70","362.70","282.63M","-9.71%"
"12/31/2025","403.00","401.10","403.75","400.85","9.95M","0.60%"
"12/30/2025","400.60","403.00","403.45","400.30","12.34M","-0.50%"
"12/29/2025","402.60","404.10","404.80","401.45","6.65M","-0.38%"
"12/26/2025","404.15","406.50","407.15","403.85","3.15M","-0.60%"
"12/24/2025","406.60","407.95","409.50","405.65","5.78M","-0.18%"
"12/23/2025","407.35","402.50","408.90","401.80","10.08M","1.15%"
"12/22/2025","402.70","401.60","403.65","401.20","6.85M","0.41%"
"12/19/2025","401.05","400.25","402.65","400.25","10.65M","0.16%"
"12/18/2025","400.40","400.00","401.95","399.85","7.23M","0.15%"
"12/17/2025","399.80","401.00","403.10","399.10","8.09M","-0.47%"
"12/16/2025","401.70","401.40","405.75","401.05","12.35M","-0.15%"
"12/15/2025","402.30","400.10","403.35","399.50","7.76M","0.55%"
"12/12/2025","400.10","402.90","404.00","399.85","12.41M","-0.69%"
"12/11/2025","402.90","403.15","404.00","401.10","6.98M","-0.06%"
"12/10/2025","403.15","401.10","404.40","401.00","6.97M","0.52%"
"12/09/2025","401.05","402.00","404.50","400.00","9.43M","-0.31%"
"12/08/2025","402.30","404.95","405.25","400.55","6.06M","-0.65%"
"12/05/2025","404.95","403.05","405.35","402.00","4.42M","0.47%"
"12/04/2025","403.05","400.10","403.55","399.05","8.06M","0.64%"
"12/03/2025","400.50","401.70","402.20","398.85","10.77M","-0.11%"
"12/02/2025","400.95","404.25","405.50","400.50","8.09M","-0.82%"
"12/01/2025","404.25","402.80","405.50","398.20","13.44M","0.00%"
"11/28/2025","404.25","404.30","405.00","402.50","6.88M","-0.01%"
"11/27/2025","404.30","403.50","405.95","402.10","8.68M","0.50%"
"11/26/2025","402.30","401.00","403.95","400.95","11.44M","0.37%"
"11/25/2025","400.80","403.55","404.50","400.10","8.20M","-0.68%"
"11/24/2025","403.55","408.40","408.80","402.85","11.04M","-1.05%"
"11/21/2025","407.85","405.00","408.50","404.70","5.81M","0.59%"
"11/20/2025","405.45","403.55","407.00","403.25","6.69M","0.47%"
"11/19/2025","403.55","404.85","405.55","402.80","7.88M","-0.57%"
"11/18/2025","405.85","408.25","409.80","404.55","7.66M","-0.31%"
"11/17/2025","407.10","409.75","412.00","406.00","7.86M","-0.26%"
"11/14/2025","408.15","404.70","408.75","400.10","64.02M","0.60%"
"11/13/2025","405.70","407.00","407.50","404.50","6.62M","-0.32%"
"11/12/2025","407.00","408.00","408.10","405.55","7.99M","0.04%"
"11/11/2025","406.85","406.00","408.05","404.60","12.01M","0.32%"
"11/10/2025","405.55","404.05","407.10","403.65","6.65M","0.37%"
"11/07/2025","404.05","406.05","409.10","403.10","8.41M","-0.85%"
"11/06/2025","407.50","410.00","413.30","406.55","10.10M","-0.34%"
"11/04/2025","408.90","414.00","414.50","408.35","10.09M","-1.22%"
"11/03/2025","413.95","419.95","421.65","413.30","7.64M","-1.52%"
"10/31/2025","420.35","420.50","426.40","418.20","18.60M","0.38%"
"10/30/2025","418.75","421.60","421.70","416.15","12.94M","-0.68%"
"10/29/2025","421.60","418.20","422.20","416.05","11.47M","0.89%"
"10/28/2025","417.90","420.50","421.65","415.90","17.16M","-0.65%"
"10/27/2025","420.65","417.00","422.70","416.60","11.60M","0.92%"
"10/24/2025","416.80","415.95","417.95","413.45","14.94M","0.20%"
"10/23/2025","415.95","416.00","420.45","413.55","24.31M","0.75%"
"10/21/2025","412.85","413.50","413.95","412.35","1.14M","-0.05%"
"10/20/2025","413.05","412.55","414.85","411.30","13.08M","0.22%"
"10/17/2025","412.15","405.35","413.85","405.25","21.07M","1.73%"
"10/16/2025","405.15","401.00","406.00","399.55","22.96M","1.31%"
"10/15/2025","399.90","398.00","400.85","397.25","16.04M","0.78%"
"10/14/2025","396.80","400.00","400.85","396.20","10.29M","-0.61%"
"10/13/2025","399.25","400.00","400.95","398.55","9.51M","-0.88%"
"10/10/2025","402.80","400.45","403.85","399.50","15.09M","0.73%"
"10/09/2025","399.90","399.00","401.40","398.95","15.66M","0.04%"
"10/08/2025","399.75","400.00","401.75","398.00","8.40M","-0.01%"
"10/07/2025","399.80","402.50","402.60","399.50","12.30M","-0.24%"
"10/06/2025","400.75","403.00","403.90","399.80","13.99M","-0.88%"
"10/03/2025","404.30","404.90","405.50","402.30","16.99M","-0.32%"
"10/01/2025","405.60","402.35","406.00","399.75","17.64M","1.01%"
"09/30/2025","401.55","406.75","406.75","400.40","9.47M","-1.40%"
"09/29/2025","407.25","406.90","408.00","403.20","19.72M","0.53%"
"09/26/2025","405.10","400.10","405.90","399.80","14.41M","1.25%"
"09/25/2025","400.10","401.45","403.00","398.00","22.01M","-0.22%"
"09/24/2025","401.00","403.20","404.65","400.70","12.38M","-0.55%"
"09/23/2025","403.20","407.10","408.10","402.10","14.94M","-0.92%"
"09/22/2025","406.95","410.65","411.00","406.05","8.93M","-0.90%"
"09/19/2025","410.65","411.55","412.60","408.95","19.51M","-0.22%"
"09/18/2025","411.55","411.35","413.05","410.10","15.65M","0.55%"
"09/17/2025","409.30","413.95","414.60","408.05","14.11M","-0.92%"
"09/16/2025","413.10","413.20","414.35","412.00","8.24M","0.11%"
"09/15/2025","412.65","413.05","414.30","411.75","5.71M","-0.27%"
"09/12/2025","413.75","415.35","417.05","412.85","7.80M","-0.31%"
"09/11/2025","415.05","413.05","416.70","412.45","8.27M","0.48%"
"09/10/2025","413.05","411.00","413.70","408.95","9.25M","0.73%"
"09/09/2025","410.05","408.50","410.95","407.40","8.83M","0.61%"
"09/08/2025","407.55","407.45","410.55","406.80","7.42M","0.05%"
"09/05/2025","407.35","416.90","417.00","404.40","16.00M","-2.06%"
"09/04/2025","415.90","423.95","427.00","415.00","27.27M","1.01%"
"09/03/2025","411.75","408.50","413.25","407.30","12.94M","1.23%"
"09/02/2025","406.75","406.55","407.85","404.45","19.81M","0.22%"
"09/01/2025","405.85","409.75","410.20","405.00","12.27M","-0.95%"
"08/29/2025","409.75","402.00","410.45","401.90","25.26M","2.21%"
"08/28/2025","400.90","404.50","404.50","400.00","12.47M","-0.61%"
"08/26/2025","403.35","399.30","405.40","398.40","13.72M","1.00%"
"08/25/2025","399.35","399.00","400.55","396.25","10.44M","0.26%"
"08/22/2025","398.30","406.00","406.50","397.50","13.09M","-1.79%"
"08/21/2025","405.55","406.05","406.85","403.35","15.03M","-0.12%"
"08/20/2025","406.05","409.10","410.25","405.45","18.19M","-0.75%"
"08/19/2025","409.10","406.35","409.40","404.50","16.68M","0.69%"
"08/18/2025","406.30","413.00","413.70","404.85","30.95M","-1.25%"
"08/14/2025","411.45","414.25","415.05","411.00","9.58M","-0.64%"
"08/13/2025","414.10","417.20","417.50","413.60","10.87M","-0.54%"
"08/12/2025","416.35","417.00","419.80","415.30","13.64M","-0.12%"
"08/11/2025","416.85","414.50","417.00","414.00","8.51M","0.57%"
"08/08/2025","414.50","413.90","415.35","412.95","9.81M","0.22%"
"08/07/2025","413.60","412.00","414.75","411.65","11.51M","0.39%"
"08/06/2025","412.00","414.15","415.00","410.50","9.08M","-0.52%"
"08/05/2025","414.15","417.20","417.95","413.00","8.50M","-0.65%"
"08/04/2025","416.85","420.20","422.50","415.10","18.35M","0.10%"
"08/01/2025","416.45","412.40","419.35","411.80","14.32M","1.09%"
"07/31/2025","411.95","405.95","414.00","405.55","19.36M","1.07%"
"07/30/2025","407.60","409.00","409.30","405.75","10.92M","-0.21%"
"07/29/2025","408.45","410.00","411.40","408.00","6.81M","-0.35%"
"07/28/2025","409.90","410.80","410.85","408.60","8.12M","0.12%"
"07/25/2025","409.40","410.00","410.25","407.75","5.82M","-0.13%"
"07/24/2025","409.95","415.85","415.85","409.45","9.01M","-1.20%"
"07/23/2025","414.95","417.10","417.90","414.00","12.20M","-0.25%"
"07/22/2025","416.00","420.10","420.40","415.20","9.87M","-0.98%"
"07/21/2025","420.10","422.00","422.75","418.40","4.82M","-0.63%"
"07/18/2025","422.75","425.20","425.20","420.10","6.73M","-0.28%"
"07/17/2025","423.95","425.80","425.90","423.00","7.24M","-0.15%"
"07/16/2025","424.60","422.10","425.45","420.30","9.78M","0.59%"
"07/15/2025","422.10","420.90","422.40","419.00","8.53M","0.64%"
"07/14/2025","419.40","417.05","419.95","416.55","6.90M","0.62%"
"07/11/2025","416.80","417.00","418.05","415.50","8.58M","-0.01%"
"07/10/2025","416.85","420.30","420.30","416.40","6.22M","-0.62%"
"07/09/2025","419.45","416.20","420.30","415.45","9.93M","0.54%"
"07/08/2025","417.20","416.15","418.10","414.65","6.81M","0.25%"
"07/07/2025","416.15","413.00","417.20","412.00","6.85M","0.87%"
"07/04/2025","412.55","414.90","415.00","411.75","8.26M","-0.19%"
"07/03/2025","413.35","414.00","416.00","411.25","14.19M","0.10%"
"07/02/2025","412.95","416.90","416.90","411.70","15.99M","-0.52%"
"07/01/2025","415.10","417.00","418.85","414.90","13.67M","-0.32%"
"06/30/2025","416.45","419.80","420.75","415.80","12.32M","-0.53%"
"06/27/2025","418.65","421.00","422.00","417.80","21.41M","-0.39%"
"06/26/2025","420.30","417.20","420.90","416.25","13.70M","0.95%"
"06/25/2025","416.35","416.40","418.15","415.10","9.95M","0.48%"
"06/24/2025","414.35","416.90","420.65","413.75","16.69M","0.11%"
"06/23/2025","413.90","417.00","417.50","411.75","14.84M","-1.11%"
"06/20/2025","418.55","416.00","419.50","416.00","13.20M","0.61%"
"06/19/2025","416.00","415.65","418.25","414.80","12.60M","0.02%"
"06/18/2025","415.90","417.00","418.45","414.90","8.04M","-0.36%"
"06/17/2025","417.40","418.10","419.05","415.70","9.03M","-0.19%"
"06/16/2025","418.20","414.95","418.90","413.25","7.01M","1.04%"
"06/13/2025","413.90","415.00","419.35","413.50","17.87M","-1.69%"
"06/12/2025","421.00","427.00","427.20","419.55","18.51M","-1.21%"
"06/11/2025","426.15","428.00","428.10","424.85","20.79M","-0.20%"
"06/10/2025","427.00","424.50","428.55","423.05","13.04M","0.93%"
"06/09/2025","423.05","422.00","423.60","420.50","10.47M","0.48%"
"06/06/2025","421.05","420.30","421.30","419.00","8.77M","0.47%"
"06/05/2025","419.10","418.50","420.95","415.75","13.21M","0.50%"
"06/04/2025","417.00","417.15","419.00","415.95","12.60M","0.01%"
"06/03/2025","416.95","419.00","421.70","415.65","13.22M","-0.56%"
"06/02/2025","419.30","418.30","420.45","414.55","14.97M","0.30%"
"05/30/2025","418.05","419.10","420.05","416.40","30.66M","-0.17%"
"05/29/2025","418.75","422.00","422.80","416.60","21.48M","-0.35%"
"05/28/2025","420.20","417.70","422.60","413.00","431.85M","-3.16%"
"05/27/2025","433.90","442.90","444.20","430.85","26.99M","-2.03%"
"05/26/2025","442.90","438.25","443.55","436.75","13.11M","1.51%"
"05/23/2025","436.30","434.00","439.00","429.00","18.54M","2.39%"
"05/22/2025","426.10","433.00","433.00","422.90","19.45M","-1.59%"
"05/21/2025","433.00","436.60","438.20","432.00","5.78M","-0.44%"
"05/20/2025","434.90","437.00","440.80","432.90","9.87M","-0.10%"
"05/19/2025","435.35","435.00","438.50","432.65","7.54M","-0.08%"
"05/16/2025","435.70","434.90","436.20","432.10","16.40M","0.70%"
"05/15/2025","432.65","429.10","435.40","426.00","24.26M","0.83%"
