"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","752.40","754.00","767.50","750.35","2.23M","-0.63%"
"03/12/2026","757.15","762.00","764.30","749.35","4.31M","-0.58%"
"03/11/2026","761.60","790.00","792.90","759.30","1.03M","-3.58%"
"03/10/2026","789.90","779.95","792.75","779.95","1.62M","1.53%"
"03/09/2026","778.00","783.05","783.90","770.80","1.74M","-0.92%"
"03/06/2026","785.25","779.80","790.60","776.50","2.43M","0.82%"
"03/05/2026","778.85","772.20","782.95","769.80","1.01M","0.91%"
"03/04/2026","771.85","782.10","785.95","768.90","1.18M","-0.94%"
"03/02/2026","779.15","770.10","789.20","769.80","752.86K","-1.20%"
"02/27/2026","788.65","805.75","807.90","786.75","2.51M","-2.12%"
"02/26/2026","805.75","808.00","809.85","798.80","829.78K","-0.07%"
"02/25/2026","806.35","810.35","811.60","801.75","1.36M","-0.49%"
"02/24/2026","810.35","802.55","813.50","801.00","1.95M","1.11%"
"02/23/2026","801.45","795.00","804.95","787.20","1.45M","1.68%"
"02/20/2026","788.20","779.40","793.60","775.15","974.73K","1.03%"
"02/19/2026","780.15","795.95","800.00","776.10","1.69M","-1.99%"
"02/18/2026","795.95","774.60","798.00","773.60","2.44M","2.76%"
"02/17/2026","774.60","773.70","776.75","770.85","684.89K","0.23%"
"02/16/2026","772.85","762.55","774.00","757.00","731.19K","1.67%"
"02/13/2026","760.15","769.00","771.85","757.85","966.41K","-1.36%"
"02/12/2026","770.65","770.40","773.15","768.10","1.37M","0.03%"
"02/11/2026","770.40","765.60","772.25","762.70","1.10M","0.73%"
"02/10/2026","764.85","755.70","766.20","749.40","1.51M","1.32%"
"02/09/2026","754.85","758.00","758.00","751.10","1.61M","0.28%"
"02/06/2026","752.75","752.20","753.35","740.60","1.74M","0.59%"
"02/05/2026","748.30","738.00","749.65","731.50","2.40M","2.03%"
"02/04/2026","733.40","731.85","741.35","724.65","1.29M","0.08%"
"02/03/2026","732.85","735.00","742.65","722.85","2.98M","1.45%"
"02/02/2026","722.40","725.00","726.35","708.30","3.07M","0.24%"
"02/01/2026","720.65","733.30","734.50","716.80","574.44K","-1.25%"
"01/30/2026","729.80","725.00","735.00","719.05","4.20M","-0.02%"
"01/29/2026","729.95","734.00","735.85","725.10","1.16M","-0.91%"
"01/28/2026","736.65","754.00","756.00","721.35","5.11M","-1.23%"
"01/27/2026","745.80","752.70","752.70","741.05","2.68M","0.65%"
"01/23/2026","740.95","751.75","754.00","738.85","1.76M","-1.44%"
"01/22/2026","751.75","750.00","757.45","747.00","2.53M","0.51%"
"01/21/2026","747.95","748.05","752.70","740.60","1.34M","-0.21%"
"01/20/2026","749.55","762.00","762.90","746.75","1.10M","-1.45%"
"01/19/2026","760.60","760.00","765.05","752.65","1.17M","0.06%"
"01/16/2026","760.15","758.15","764.30","749.80","2.73M","1.38%"
"01/14/2026","749.80","753.15","758.40","747.10","720.90K","-0.83%"
"01/13/2026","756.05","756.90","760.50","751.70","1.40M","-0.02%"
"01/12/2026","756.20","753.45","757.60","748.85","1.04M","0.36%"
"01/09/2026","753.45","758.80","764.70","751.80","1.13M","-0.71%"
"01/08/2026","758.80","773.55","773.55","756.35","3.20M","-1.94%"
"01/07/2026","773.80","776.00","779.15","771.50","2.19M","-0.67%"
"01/06/2026","779.05","776.00","780.00","767.05","1.89M","0.78%"
"01/05/2026","773.05","768.00","775.20","752.50","2.64M","2.02%"
"01/02/2026","757.75","760.45","765.25","751.20","933.70K","-0.36%"
"01/01/2026","760.45","755.00","762.85","746.00","710.79K","1.31%"
"12/31/2025","750.60","740.50","752.70","737.70","578.36K","1.56%"
"12/30/2025","739.10","753.40","753.60","736.35","3.42M","-1.86%"
"12/29/2025","753.10","745.00","755.00","743.00","1.47M","1.32%"
"12/26/2025","743.30","735.05","746.50","732.70","996.76K","1.16%"
"12/24/2025","734.75","739.00","740.25","731.05","921.63K","-0.35%"
"12/23/2025","737.35","739.70","739.95","727.70","1.22M","-0.26%"
"12/22/2025","739.25","741.20","743.45","737.50","1.84M","-0.26%"
"12/19/2025","741.20","743.45","743.50","732.60","1.08M","-0.17%"
"12/18/2025","742.45","743.55","743.55","733.90","1.08M","0.58%"
"12/17/2025","738.15","738.00","741.35","734.10","877.62K","-0.09%"
"12/16/2025","738.80","740.00","750.60","736.25","1.94M","0.16%"
"12/15/2025","737.65","729.60","738.75","722.00","1.53M","1.46%"
"12/12/2025","727.05","726.95","728.00","718.70","1.79M","0.32%"
"12/11/2025","724.70","724.75","730.30","719.10","1.63M","-0.01%"
"12/10/2025","724.75","730.50","735.55","721.55","1.20M","-0.79%"
"12/09/2025","730.50","725.00","735.00","722.40","1.12M","0.16%"
"12/08/2025","729.30","737.80","739.50","726.10","2.30M","-1.00%"
"12/05/2025","736.65","716.00","737.80","713.05","2.65M","3.08%"
"12/04/2025","714.65","711.80","715.55","707.25","1.43M","0.56%"
"12/03/2025","710.65","717.90","719.65","708.50","1.40M","-0.93%"
"12/02/2025","717.35","720.50","724.10","713.05","2.44M","-0.22%"
"12/01/2025","718.95","717.70","721.35","711.05","2.28M","0.22%"
"11/28/2025","717.40","727.40","728.90","715.00","1.31M","-1.37%"
"11/27/2025","727.40","736.40","738.50","720.55","1.93M","-0.91%"
"11/26/2025","734.10","731.05","737.50","727.40","1.98M","0.38%"
"11/25/2025","731.35","735.00","736.15","728.00","968.18K","-0.63%"
"11/24/2025","735.95","740.90","742.90","730.35","4.03M","-0.53%"
"11/21/2025","739.90","733.35","743.00","733.00","1.75M","0.51%"
"11/20/2025","736.15","748.00","751.90","733.35","1.61M","-1.60%"
"11/19/2025","748.15","753.90","756.40","745.85","2.50M","-1.10%"
"11/18/2025","756.45","757.95","765.30","753.05","2.30M","-0.56%"
"11/17/2025","760.70","753.50","764.65","750.20","3.73M","2.98%"
"11/14/2025","738.70","722.00","741.85","712.40","2.57M","2.31%"
"11/13/2025","722.00","720.95","727.15","718.00","698.55K","0.15%"
"11/12/2025","720.95","713.50","725.10","706.75","2.39M","1.12%"
"11/11/2025","713.00","718.45","718.45","709.70","2.40M","-0.87%"
"11/10/2025","719.25","713.90","720.90","710.45","337.19K","1.08%"
"11/07/2025","711.60","716.00","716.00","705.80","453.08K","-0.22%"
"11/06/2025","713.15","715.00","720.50","711.20","670.24K","-0.58%"
"11/04/2025","717.30","718.00","720.80","715.35","605.17K","-0.68%"
"11/03/2025","722.20","716.30","724.90","716.25","713.20K","0.31%"
"10/31/2025","719.95","721.50","728.65","718.65","1.19M","-0.21%"
"10/30/2025","721.50","720.00","724.70","717.15","1.50M","-0.04%"
"10/29/2025","721.80","720.10","724.40","718.85","1.94M","0.24%"
"10/28/2025","720.05","720.10","730.00","716.00","2.26M","-0.49%"
"10/27/2025","723.60","725.95","728.60","717.00","1.03M","-0.31%"
"10/24/2025","725.85","724.80","727.90","713.00","1.28M","0.14%"
"10/23/2025","724.80","722.00","736.50","720.20","1.68M","0.38%"
"10/21/2025","722.05","729.10","729.90","718.00","81.79K","-0.73%"
"10/20/2025","727.35","735.10","742.00","726.30","1.39M","-1.06%"
"10/17/2025","735.15","728.50","739.50","726.95","1.71M","1.30%"
"10/16/2025","725.70","710.00","726.95","708.40","1.21M","2.18%"
"10/15/2025","710.20","708.25","713.00","705.20","2.96M","0.28%"
