"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,083.60","1,049.00","1,093.90","1,048.00","2.86M","2.44%"
"03/12/2026","1,057.80","1,070.50","1,072.80","1,051.40","961.39K","-1.45%"
"03/11/2026","1,073.40","1,102.00","1,102.10","1,070.20","1.07M","-2.37%"
"03/10/2026","1,099.50","1,102.40","1,111.00","1,096.00","1.17M","-0.27%"
"03/09/2026","1,102.50","1,086.70","1,106.90","1,082.50","1.01M","-1.27%"
"03/06/2026","1,116.70","1,119.10","1,128.70","1,112.10","919.80K","-0.21%"
"03/05/2026","1,119.10","1,112.30","1,123.70","1,095.80","1.37M","0.77%"
"03/04/2026","1,110.60","1,114.50","1,118.80","1,098.70","1.22M","-1.30%"
"03/02/2026","1,125.20","1,110.80","1,145.80","1,110.80","1.37M","-1.38%"
"02/27/2026","1,141.00","1,151.10","1,159.50","1,134.90","2.04M","-1.60%"
"02/26/2026","1,159.50","1,172.00","1,177.40","1,153.50","629.00K","-1.09%"
"02/25/2026","1,172.30","1,183.10","1,185.00","1,161.00","565.73K","-0.48%"
"02/24/2026","1,178.00","1,161.00","1,182.40","1,160.70","625.62K","0.53%"
"02/23/2026","1,171.80","1,156.20","1,179.50","1,155.20","623.77K","1.35%"
"02/20/2026","1,156.20","1,162.10","1,168.50","1,153.50","485.00K","-0.37%"
"02/19/2026","1,160.50","1,169.00","1,169.00","1,151.70","994.38K","-0.79%"
"02/18/2026","1,169.70","1,148.00","1,173.20","1,145.80","641.94K","1.85%"
"02/17/2026","1,148.50","1,133.50","1,151.00","1,131.70","442.62K","0.82%"
"02/16/2026","1,139.20","1,128.50","1,141.80","1,117.10","780.63K","0.62%"
"02/13/2026","1,132.20","1,148.90","1,154.00","1,125.40","525.89K","-1.49%"
"02/12/2026","1,149.30","1,157.00","1,157.00","1,142.30","624.67K","-0.29%"
"02/11/2026","1,152.60","1,157.60","1,166.20","1,150.20","751.64K","0.03%"
"02/10/2026","1,152.20","1,167.20","1,167.80","1,148.60","978.26K","-1.29%"
"02/09/2026","1,167.20","1,159.30","1,175.00","1,156.00","1.11M","0.68%"
"02/06/2026","1,159.30","1,146.00","1,162.00","1,146.00","830.63K","0.29%"
"02/05/2026","1,155.90","1,149.50","1,163.60","1,145.30","1.16M","0.25%"
"02/04/2026","1,153.00","1,154.00","1,170.70","1,145.90","1.11M","-0.21%"
"02/03/2026","1,155.40","1,148.90","1,180.90","1,136.10","1.25M","2.67%"
"02/02/2026","1,125.40","1,092.90","1,132.70","1,084.00","1.78M","3.50%"
