"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","401.30","410.00","418.55","400.45","7.66M","-2.37%"
"03/12/2026","411.05","432.00","432.00","410.00","12.33M","-4.68%"
"03/11/2026","431.25","437.90","441.80","430.00","7.60M","-1.20%"
"03/10/2026","436.50","444.70","444.70","434.10","3.32M","-0.29%"
"03/09/2026","437.75","444.00","444.00","433.35","3.86M","-2.21%"
"03/06/2026","447.65","444.40","455.75","441.80","4.62M","0.43%"
"03/05/2026","445.75","435.90","448.50","432.60","6.47M","3.72%"
"03/04/2026","429.75","432.00","435.90","426.00","8.36M","-3.49%"
"03/02/2026","445.30","434.95","451.10","433.05","5.18M","-1.35%"
"02/27/2026","451.40","461.95","464.35","449.55","4.56M","-1.97%"
"02/26/2026","460.45","456.35","462.70","454.70","2.08M","1.01%"
"02/25/2026","455.85","460.10","462.00","454.55","2.40M","-0.71%"
"02/24/2026","459.10","455.00","463.90","451.10","4.59M","0.39%"
"02/23/2026","457.30","457.55","459.15","454.55","2.30M","0.76%"
"02/20/2026","453.85","450.85","456.60","449.30","2.52M","0.08%"
"02/19/2026","453.50","463.65","464.00","451.05","1.89M","-2.19%"
"02/18/2026","463.65","458.05","464.40","455.20","2.99M","1.22%"
"02/17/2026","458.05","455.00","459.40","454.35","2.03M","0.48%"
"02/16/2026","455.85","447.00","458.85","444.30","2.46M","1.46%"
"02/13/2026","449.30","452.50","453.75","445.60","3.08M","-1.40%"
"02/12/2026","455.70","457.00","458.20","451.00","3.40M","-0.26%"
"02/11/2026","456.90","456.50","458.95","453.15","2.47M","0.09%"
"02/10/2026","456.50","460.00","462.70","454.70","5.29M","-0.19%"
"02/09/2026","457.35","443.45","459.00","439.10","7.50M","4.17%"
"02/06/2026","439.05","437.10","444.80","432.20","6.62M","0.45%"
"02/05/2026","437.10","447.45","448.90","436.60","9.35M","-1.75%"
"02/04/2026","444.90","454.00","454.00","438.05","13.26M","-1.37%"
"02/03/2026","451.10","479.00","492.15","440.60","28.67M","-3.26%"
"02/02/2026","466.30","468.00","480.95","457.25","5.72M","-0.60%"
"02/01/2026","469.10","470.00","474.75","462.50","2.46M","-0.46%"
"01/30/2026","471.25","463.10","475.00","462.80","6.59M","0.90%"
"01/29/2026","467.05","469.00","470.55","451.45","7.73M","-0.29%"
"01/28/2026","468.40","472.15","473.45","461.00","7.55M","-0.69%"
"01/27/2026","471.65","472.90","478.50","465.10","3.88M","-0.52%"
"01/23/2026","474.10","488.00","489.85","471.15","3.35M","-2.67%"
"01/22/2026","487.10","482.00","489.50","480.00","4.47M","1.90%"
"01/21/2026","478.00","481.35","488.15","472.65","5.82M","-2.27%"
"01/20/2026","489.10","493.70","499.75","486.55","3.57M","-1.39%"
"01/19/2026","496.00","494.70","500.35","489.40","4.73M","-0.88%"
"01/16/2026","500.40","498.50","505.80","496.60","4.44M","-0.40%"
"01/14/2026","502.40","500.40","508.85","497.85","3.40M","0.24%"
"01/13/2026","501.20","493.80","502.10","489.30","4.79M","1.50%"
"01/12/2026","493.80","486.60","498.80","485.40","4.79M","0.98%"
"01/09/2026","489.00","496.00","504.40","488.00","4.00M","-2.38%"
"01/08/2026","500.90","510.25","511.65","497.80","3.51M","-1.73%"
"01/07/2026","509.70","500.00","511.50","497.85","5.74M","2.18%"
"01/06/2026","498.85","486.55","502.00","483.70","8.15M","2.08%"
"01/05/2026","488.70","492.00","493.80","485.65","4.74M","-1.03%"
"01/02/2026","493.80","492.45","496.95","487.00","4.27M","0.42%"
"01/01/2026","491.75","490.05","493.40","487.05","1.88M","0.39%"
"12/31/2025","489.85","485.85","491.45","483.55","5.05M","1.11%"
"12/30/2025","484.45","483.00","487.00","480.20","5.24M","0.36%"
"12/29/2025","482.70","483.90","494.35","481.45","5.90M","-0.03%"
"12/26/2025","482.85","476.00","483.50","475.10","5.79M","1.09%"
"12/24/2025","477.65","481.50","482.00","472.50","3.27M","-0.85%"
"12/23/2025","481.75","488.60","488.65","478.75","3.92M","-0.80%"
"12/22/2025","485.65","479.00","487.00","473.00","10.89M","3.46%"
"12/19/2025","469.40","471.25","476.85","466.95","6.53M","-0.89%"
"12/18/2025","473.60","470.80","474.60","461.05","2.83M","0.58%"
"12/17/2025","470.85","475.00","478.70","466.80","3.50M","-1.32%"
"12/16/2025","477.15","475.10","484.95","473.50","4.16M","-0.09%"
"12/15/2025","477.60","481.00","481.30","474.00","3.18M","-0.49%"
"12/12/2025","479.95","478.50","481.55","473.45","2.81M","0.30%"
"12/11/2025","478.50","473.45","480.00","466.65","2.65M","1.17%"
"12/10/2025","472.95","474.00","480.40","470.95","2.70M","0.30%"
"12/09/2025","471.55","464.50","473.00","457.40","5.51M","0.37%"
"12/08/2025","469.80","478.05","479.10","465.95","2.18M","-2.11%"
"12/05/2025","479.95","479.40","480.60","472.50","2.39M","0.01%"
"12/04/2025","479.90","475.10","489.90","475.10","3.93M","0.50%"
"12/03/2025","477.50","481.35","482.75","472.30","2.67M","-0.81%"
"12/02/2025","481.40","482.00","486.00","479.65","3.47M","-0.57%"
"12/01/2025","484.15","482.00","486.40","480.45","3.21M","0.54%"
"11/28/2025","481.55","468.00","487.00","468.00","13.01M","3.05%"
"11/27/2025","467.30","465.10","468.90","462.75","2.39M","0.39%"
"11/26/2025","465.50","449.05","467.60","446.75","8.93M","3.66%"
"11/25/2025","449.05","447.00","449.95","445.65","3.46M","0.66%"
