"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,089.70","1,100.00","1,100.00","1,073.00","2.70M","-1.64%"
"12-03-2026","1,107.90","1,107.00","1,128.10","1,078.50","4.18M","-0.08%"
"11-03-2026","1,108.80","1,145.90","1,159.40","1,105.00","3.03M","-2.67%"
"10-03-2026","1,139.20","1,180.10","1,182.00","1,136.00","2.44M","-2.51%"
"09-03-2026","1,168.50","1,137.00","1,174.40","1,117.50","2.21M","0.48%"
"06-03-2026","1,162.90","1,152.70","1,181.80","1,148.10","1.74M","0.88%"
"05-03-2026","1,152.70","1,186.00","1,191.00","1,137.10","3.10M","-1.48%"
"04-03-2026","1,170.00","1,140.00","1,175.90","1,136.00","3.04M","0.63%"
"02-03-2026","1,162.70","1,130.00","1,196.80","1,129.70","2.45M","-1.95%"
"27-02-2026","1,185.80","1,217.10","1,235.00","1,182.10","3.21M","-1.22%"
"26-02-2026","1,200.40","1,230.00","1,239.50","1,196.00","6.06M","-1.03%"
"25-02-2026","1,212.90","1,227.90","1,265.90","1,208.00","5.23M","0.06%"
"24-02-2026","1,212.20","1,278.00","1,282.20","1,198.90","10.45M","-5.96%"
"23-02-2026","1,289.00","1,340.80","1,345.50","1,277.60","4.79M","-3.85%"
"20-02-2026","1,340.60","1,340.40","1,372.30","1,318.90","2.42M","-1.50%"
"19-02-2026","1,361.00","1,407.00","1,418.00","1,355.00","3.01M","-0.86%"
"18-02-2026","1,372.80","1,383.60","1,385.00","1,339.00","2.35M","-0.44%"
"17-02-2026","1,378.80","1,395.00","1,432.90","1,370.00","3.47M","-0.98%"
"16-02-2026","1,392.50","1,357.40","1,399.00","1,335.00","5.12M","2.25%"
"13-02-2026","1,361.80","1,359.40","1,392.50","1,334.00","12.85M","-4.20%"
"12-02-2026","1,421.50","1,500.00","1,501.00","1,412.30","5.30M","-6.50%"
"11-02-2026","1,520.40","1,558.00","1,560.00","1,513.00","1.69M","-1.97%"
"10-02-2026","1,551.00","1,561.00","1,577.70","1,542.40","3.14M","0.11%"
"09-02-2026","1,549.30","1,552.10","1,572.40","1,538.30","1.54M","0.21%"
"06-02-2026","1,546.00","1,604.00","1,604.00","1,531.20","2.75M","-3.36%"
"05-02-2026","1,599.80","1,598.00","1,620.00","1,587.60","1.68M","-0.87%"
