"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,325.40","1,350.00","1,356.70","1,321.00","2.19M","-2.41%"
"12-03-2026","1,358.10","1,350.00","1,363.40","1,341.00","2.62M","0.58%"
"11-03-2026","1,350.30","1,367.20","1,376.00","1,346.90","1.84M","-0.82%"
"10-03-2026","1,361.50","1,361.00","1,364.40","1,345.00","1.67M","0.21%"
"09-03-2026","1,358.60","1,330.00","1,372.70","1,328.00","2.26M","0.14%"
"06-03-2026","1,356.70","1,356.00","1,380.80","1,354.20","1.87M","0.19%"
"05-03-2026","1,354.10","1,378.20","1,378.20","1,332.50","2.22M","-0.73%"
"04-03-2026","1,364.00","1,356.00","1,382.00","1,356.00","3.16M","-0.51%"
"02-03-2026","1,371.00","1,351.00","1,386.00","1,350.00","2.09M","-1.30%"
"27-02-2026","1,389.10","1,398.00","1,404.80","1,382.00","8.65M","1.14%"
"26-02-2026","1,373.50","1,391.00","1,405.00","1,368.00","2.33M","-0.34%"
"25-02-2026","1,378.20","1,355.00","1,391.40","1,354.00","5.70M","2.91%"
"24-02-2026","1,339.20","1,402.30","1,406.70","1,322.50","10.00M","-6.10%"
"23-02-2026","1,426.20","1,438.20","1,441.60","1,415.50","2.63M","-0.72%"
"20-02-2026","1,436.50","1,443.00","1,455.00","1,431.00","2.39M","-0.96%"
"19-02-2026","1,450.40","1,470.00","1,501.80","1,443.00","2.40M","-1.15%"
"18-02-2026","1,467.20","1,483.20","1,483.20","1,443.40","2.04M","-1.04%"
"17-02-2026","1,482.60","1,464.00","1,510.70","1,458.00","2.84M","1.42%"
"16-02-2026","1,461.80","1,451.10","1,467.00","1,446.80","2.39M","0.45%"
"13-02-2026","1,455.20","1,423.00","1,476.80","1,396.00","7.21M","-1.42%"
"12-02-2026","1,476.10","1,529.00","1,535.00","1,469.50","5.40M","-4.87%"
"11-02-2026","1,551.60","1,574.00","1,578.10","1,546.10","2.94M","-1.37%"
"10-02-2026","1,573.10","1,595.00","1,602.40","1,567.80","3.23M","-1.80%"
"09-02-2026","1,602.00","1,600.40","1,619.90","1,594.40","1.86M","0.52%"
"06-02-2026","1,593.70","1,612.00","1,612.00","1,574.10","3.34M","-1.01%"
"05-02-2026","1,610.00","1,613.70","1,631.80","1,600.20","3.18M","-0.73%"
"04-02-2026","1,621.80","1,642.00","1,645.00","1,586.00","5.83M","-4.34%"
"03-02-2026","1,695.30","1,780.00","1,780.10","1,689.10","3.20M","1.10%"
"02-02-2026","1,676.80","1,670.00","1,688.50","1,653.60","1.92M","0.64%"
"01-02-2026","1,666.20","1,692.40","1,710.10","1,613.10","1.85M","-1.73%"
"30-01-2026","1,695.60","1,713.20","1,713.20","1,683.00","4.45M","-1.51%"
"29-01-2026","1,721.60","1,722.80","1,725.00","1,696.10","2.24M","-0.46%"
"28-01-2026","1,729.60","1,705.10","1,734.40","1,691.00","2.71M","0.55%"
"27-01-2026","1,720.20","1,720.00","1,725.50","1,700.50","2.67M","0.77%"
"23-01-2026","1,707.00","1,712.70","1,721.00","1,698.80","1.87M","0.23%"
"22-01-2026","1,703.10","1,690.60","1,709.00","1,681.50","1.85M","1.22%"
"21-01-2026","1,682.50","1,687.60","1,694.90","1,668.90","1.73M","-0.28%"
"20-01-2026","1,687.30","1,720.00","1,720.00","1,681.80","1.74M","-1.72%"
"19-01-2026","1,716.80","1,698.00","1,719.00","1,685.10","2.09M","1.11%"
"16-01-2026","1,698.00","1,670.00","1,700.90","1,664.80","3.10M","1.77%"
"14-01-2026","1,668.50","1,665.00","1,677.90","1,649.20","2.47M","0.21%"
"13-01-2026","1,665.00","1,685.00","1,697.60","1,626.00","7.15M","-0.16%"
"12-01-2026","1,667.60","1,659.20","1,677.20","1,641.50","4.18M","0.37%"
"09-01-2026","1,661.40","1,647.10","1,675.00","1,647.10","3.28M","0.89%"
"08-01-2026","1,646.70","1,653.30","1,660.60","1,635.40","3.27M","-0.06%"
"07-01-2026","1,647.70","1,620.80","1,654.50","1,616.70","3.82M","1.94%"
"06-01-2026","1,616.30","1,600.30","1,626.00","1,597.30","2.11M","0.54%"
"05-01-2026","1,607.60","1,625.00","1,633.50","1,580.10","3.25M","-1.99%"
"02-01-2026","1,640.20","1,632.00","1,643.00","1,625.10","950.57K","0.35%"
"01-01-2026","1,634.50","1,622.90","1,645.70","1,618.40","773.81K","0.69%"
"31-12-2025","1,623.30","1,624.50","1,631.70","1,616.80","1.36M","0.50%"
"30-12-2025","1,615.20","1,630.80","1,635.70","1,611.10","3.32M","-0.96%"
"29-12-2025","1,630.80","1,659.70","1,660.80","1,625.40","1.52M","-1.81%"
"26-12-2025","1,660.90","1,668.00","1,676.40","1,650.50","921.14K","-0.82%"
"24-12-2025","1,674.70","1,676.00","1,680.00","1,665.10","989.86K","-0.31%"
"23-12-2025","1,679.90","1,675.10","1,686.90","1,656.20","1.61M","0.57%"
"22-12-2025","1,670.30","1,651.90","1,673.50","1,644.00","1.34M","1.70%"
