"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","4,206.50","4,299.00","4,299.00","4,197.00","160.28K","-2.71%"
"12-03-2026","4,323.60","4,262.70","4,372.90","4,220.00","229.39K","1.43%"
"11-03-2026","4,262.70","4,330.00","4,373.40","4,253.10","186.09K","-1.40%"
"10-03-2026","4,323.10","4,355.00","4,369.00","4,275.50","98.56K","0.14%"
"09-03-2026","4,317.20","4,250.00","4,356.00","4,195.50","253.80K","0.59%"
"06-03-2026","4,292.00","4,270.00","4,388.30","4,262.00","228.42K","-0.33%"
"05-03-2026","4,306.40","4,385.00","4,412.00","4,260.00","193.85K","-0.99%"
"04-03-2026","4,349.30","4,330.10","4,434.00","4,325.30","193.10K","-1.25%"
"02-03-2026","4,404.40","4,393.90","4,477.00","4,356.50","171.39K","-1.29%"
"27-02-2026","4,462.00","4,590.00","4,649.00","4,435.00","464.79K","-0.93%"
"26-02-2026","4,504.00","4,580.00","4,655.00","4,486.50","270.65K","-1.21%"
"25-02-2026","4,559.00","4,524.00","4,661.50","4,515.50","370.21K","1.29%"
"24-02-2026","4,501.00","4,778.00","4,780.00","4,465.50","883.70K","-6.84%"
"23-02-2026","4,831.50","4,849.50","4,876.00","4,765.00","363.97K","-1.19%"
"20-02-2026","4,889.50","4,945.00","4,961.50","4,862.00","244.13K","-1.41%"
"19-02-2026","4,959.50","5,061.00","5,117.50","4,921.00","203.50K","-1.87%"
"18-02-2026","5,054.00","5,181.50","5,195.00","4,995.00","289.57K","-2.14%"
"17-02-2026","5,164.50","5,097.00","5,234.50","5,051.00","316.64K","0.90%"
"16-02-2026","5,118.50","5,100.00","5,144.00","5,057.00","216.97K","0.06%"
"13-02-2026","5,115.50","5,004.00","5,178.50","4,988.00","687.03K","-1.84%"
"12-02-2026","5,211.50","5,438.50","5,438.50","5,180.00","624.23K","-5.51%"
"11-02-2026","5,515.50","5,685.00","5,692.00","5,490.00","268.05K","-2.59%"
"10-02-2026","5,662.00","5,641.50","5,680.00","5,586.00","309.62K","0.63%"
"09-02-2026","5,626.50","5,561.50","5,660.50","5,561.50","147.37K","1.17%"
"06-02-2026","5,561.50","5,650.00","5,650.00","5,500.00","390.51K","-2.15%"
"05-02-2026","5,683.50","5,700.00","5,741.00","5,619.50","303.05K","-0.40%"
"04-02-2026","5,706.50","5,800.00","5,800.00","5,545.00","824.07K","-5.58%"
"03-02-2026","6,044.00","6,200.00","6,275.50","6,016.00","169.45K","0.97%"
"02-02-2026","5,986.00","6,068.50","6,068.50","5,929.00","174.59K","-1.39%"
