"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","2,114.80","2,184.00","2,185.20","2,100.00","322.97K","-3.22%"
"12-03-2026","2,185.20","2,179.00","2,213.00","2,157.00","423.51K","0.01%"
"11-03-2026","2,184.90","2,219.90","2,242.00","2,177.80","355.91K","-0.79%"
"10-03-2026","2,202.20","2,222.00","2,250.00","2,172.40","886.10K","0.66%"
"09-03-2026","2,187.70","2,162.80","2,214.90","2,134.30","353.95K","-1.22%"
"06-03-2026","2,214.80","2,230.00","2,286.90","2,210.00","287.59K","-0.75%"
"05-03-2026","2,231.60","2,297.40","2,299.00","2,199.90","684.79K","-1.57%"
"04-03-2026","2,267.20","2,202.90","2,292.90","2,202.80","674.63K","0.52%"
"02-03-2026","2,255.50","2,205.00","2,310.10","2,205.00","349.77K","-1.79%"
"27-02-2026","2,296.50","2,318.00","2,358.30","2,286.20","861.45K","1.55%"
"26-02-2026","2,261.50","2,274.70","2,304.70","2,251.10","442.82K","0.17%"
"25-02-2026","2,257.60","2,230.00","2,323.40","2,227.30","667.29K","1.56%"
"24-02-2026","2,223.00","2,230.00","2,277.80","2,210.70","1.35M","-3.76%"
"23-02-2026","2,309.80","2,350.60","2,360.50","2,293.90","812.36K","-2.70%"
"20-02-2026","2,373.80","2,360.20","2,402.00","2,321.20","686.22K","-0.12%"
"19-02-2026","2,376.70","2,450.90","2,467.50","2,362.00","483.84K","-2.43%"
"18-02-2026","2,435.80","2,479.60","2,479.60","2,402.20","403.02K","-1.19%"
"17-02-2026","2,465.20","2,458.00","2,520.00","2,442.00","602.31K","0.15%"
"16-02-2026","2,461.50","2,441.00","2,481.40","2,426.50","506.98K","0.13%"
"13-02-2026","2,458.40","2,387.60","2,501.20","2,355.20","1.73M","-0.23%"
"12-02-2026","2,464.00","2,549.90","2,549.90","2,457.80","1.14M","-4.80%"
"11-02-2026","2,588.20","2,617.90","2,632.70","2,546.00","516.06K","-0.99%"
"10-02-2026","2,614.10","2,633.50","2,657.00","2,600.70","442.63K","-0.04%"
"09-02-2026","2,615.10","2,640.90","2,642.80","2,605.60","389.91K","0.18%"
"06-02-2026","2,610.50","2,637.00","2,637.00","2,577.00","857.78K","-1.44%"
"05-02-2026","2,648.70","2,673.10","2,685.90","2,630.00","500.17K","-1.47%"
"04-02-2026","2,688.10","2,757.50","2,759.00","2,615.10","1.04M","-4.65%"
"03-02-2026","2,819.30","2,975.00","2,975.00","2,811.10","614.48K","2.10%"
"02-02-2026","2,761.40","2,770.00","2,798.00","2,718.00","265.95K","-0.31%"
"01-02-2026","2,769.90","2,764.50","2,840.00","2,694.30","161.33K","0.40%"
"30-01-2026","2,759.00","2,752.00","2,789.60","2,725.00","550.21K","-0.50%"
"29-01-2026","2,772.80","2,830.40","2,832.00","2,757.50","647.09K","-2.15%"
"28-01-2026","2,833.70","2,816.00","2,858.00","2,809.00","222.96K","0.98%"
"27-01-2026","2,806.10","2,765.80","2,825.00","2,752.80","508.94K","1.94%"
"23-01-2026","2,752.80","2,847.90","2,879.00","2,732.10","1.59M","-2.04%"
"22-01-2026","2,810.10","2,810.00","2,889.90","2,780.10","344.25K","0.40%"
"21-01-2026","2,798.90","2,806.00","2,832.40","2,721.10","1.45M","-0.60%"
"20-01-2026","2,815.70","2,876.10","2,881.10","2,802.50","335.78K","-2.56%"
"19-01-2026","2,889.80","2,875.00","2,908.00","2,830.50","273.55K","0.11%"
"16-01-2026","2,886.50","2,805.50","2,929.90","2,805.50","1.19M","3.50%"
"14-01-2026","2,788.80","2,876.10","2,882.90","2,773.70","363.31K","-2.95%"
"13-01-2026","2,873.70","2,832.00","2,878.50","2,805.00","314.10K","1.47%"
"12-01-2026","2,832.20","2,838.80","2,849.40","2,789.30","219.46K","-0.21%"
"09-01-2026","2,838.20","2,817.20","2,852.40","2,795.30","317.09K","0.75%"
"08-01-2026","2,817.20","2,881.70","2,891.00","2,801.40","404.36K","-2.00%"
