"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","6,526.00","6,677.00","6,686.00","6,500.00","96.01K","-2.52%"
"12-03-2026","6,694.50","6,796.00","6,796.00","6,667.00","82.42K","-1.44%"
"11-03-2026","6,792.00","6,924.00","6,995.50","6,745.00","183.09K","-0.47%"
"10-03-2026","6,824.00","6,770.50","6,840.50","6,724.00","103.68K","1.66%"
"09-03-2026","6,712.50","6,650.00","6,732.00","6,569.50","94.04K","-0.08%"
"06-03-2026","6,718.00","6,761.00","6,914.00","6,690.00","91.72K","-1.05%"
"05-03-2026","6,789.50","6,860.50","6,886.00","6,739.00","102.86K","-0.62%"
"04-03-2026","6,832.00","6,799.50","6,890.50","6,771.50","122.60K","-0.23%"
"02-03-2026","6,848.00","6,755.00","6,980.50","6,755.00","106.50K","-1.21%"
"27-02-2026","6,932.00","6,904.00","6,985.00","6,835.00","257.52K","1.10%"
"26-02-2026","6,856.50","6,651.00","6,880.00","6,631.00","254.46K","3.70%"
"25-02-2026","6,612.00","6,519.00","6,670.00","6,519.00","148.60K","2.45%"
"24-02-2026","6,454.00","6,605.00","6,646.50","6,399.50","212.87K","-3.23%"
"23-02-2026","6,669.50","6,645.00","6,699.00","6,566.50","123.44K","0.41%"
"20-02-2026","6,642.50","6,650.00","6,694.00","6,593.00","91.35K","-0.14%"
"19-02-2026","6,652.00","6,750.00","6,799.50","6,625.00","140.37K","-0.93%"
"18-02-2026","6,714.50","6,877.50","6,877.50","6,674.00","151.16K","-1.91%"
"17-02-2026","6,845.00","6,698.00","6,912.00","6,672.50","215.01K","2.18%"
"16-02-2026","6,699.00","6,639.00","6,758.50","6,609.00","155.95K","0.90%"
"13-02-2026","6,639.00","6,648.00","6,711.00","6,400.00","437.10K","-1.85%"
"12-02-2026","6,764.00","7,165.00","7,184.50","6,731.50","370.70K","-6.28%"
"11-02-2026","7,217.50","7,350.00","7,379.50","7,200.00","74.73K","-1.70%"
"10-02-2026","7,342.00","7,299.50","7,369.50","7,256.00","125.05K","1.00%"
"09-02-2026","7,269.50","7,398.00","7,399.00","7,252.50","78.52K","0.08%"
"06-02-2026","7,264.00","7,350.00","7,400.00","7,145.00","266.52K","-2.50%"
"05-02-2026","7,450.50","7,497.00","7,542.00","7,410.00","92.85K","-0.89%"
"04-02-2026","7,517.50","7,690.00","7,690.00","7,465.50","217.40K","-3.95%"
"03-02-2026","7,826.50","7,920.00","8,015.50","7,805.50","87.43K","1.19%"
"02-02-2026","7,734.50","7,850.00","7,850.50","7,637.50","99.62K","-0.26%"
"01-02-2026","7,754.50","7,722.00","7,823.50","7,611.50","57.76K","-0.07%"
"30-01-2026","7,760.00","7,830.50","7,830.50","7,688.00","100.25K","-0.99%"
"29-01-2026","7,837.50","8,020.00","8,020.00","7,753.00","128.04K","-2.18%"
