"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","4,638.80","4,698.00","4,730.00","4,567.10","499.20K","-1.60%"
"12-03-2026","4,714.40","4,725.00","4,750.00","4,628.00","584.37K","-0.70%"
"11-03-2026","4,747.70","4,850.00","4,895.00","4,731.00","799.64K","-1.66%"
"10-03-2026","4,827.90","4,857.50","4,857.50","4,745.00","498.48K","0.94%"
"09-03-2026","4,783.10","4,680.00","4,872.10","4,650.10","724.63K","0.12%"
"06-03-2026","4,777.50","4,648.40","4,830.00","4,643.40","1.25M","2.93%"
"05-03-2026","4,641.70","4,775.00","4,775.00","4,587.00","615.00K","-1.43%"
"04-03-2026","4,709.10","4,590.00","4,750.00","4,566.20","707.05K","0.76%"
"02-03-2026","4,673.40","4,600.00","4,787.50","4,449.10","637.43K","-1.26%"
"27-02-2026","4,733.00","4,823.00","4,925.00","4,712.00","1.14M","-1.01%"
"26-02-2026","4,781.50","4,765.00","4,933.00","4,746.50","1.10M","1.07%"
"25-02-2026","4,731.00","4,792.00","4,941.00","4,690.00","1.57M","1.48%"
"24-02-2026","4,662.00","4,875.00","4,918.00","4,585.00","2.77M","-6.34%"
"23-02-2026","4,977.50","5,090.00","5,120.00","4,916.00","835.46K","-2.25%"
"20-02-2026","5,092.00","5,235.00","5,274.00","5,070.00","1.67M","-3.30%"
"19-02-2026","5,266.00","5,550.00","5,597.00","5,244.00","1.04M","-4.62%"
"18-02-2026","5,521.00","5,628.50","5,628.50","5,447.00","592.72K","-1.90%"
"17-02-2026","5,628.00","5,586.50","5,735.00","5,523.50","834.10K","0.82%"
"16-02-2026","5,582.00","5,485.00","5,597.00","5,440.50","501.99K","1.88%"
"13-02-2026","5,479.00","5,210.00","5,540.00","5,210.00","1.81M","0.50%"
"12-02-2026","5,452.00","5,650.00","5,659.00","5,431.00","1.36M","-4.75%"
"11-02-2026","5,724.00","5,900.00","5,900.00","5,700.00","741.17K","-2.53%"
"10-02-2026","5,872.50","5,875.00","5,948.00","5,776.00","347.61K","-0.04%"
"09-02-2026","5,875.00","5,881.50","5,929.50","5,830.00","328.31K","0.39%"
"06-02-2026","5,852.00","5,937.00","5,960.50","5,741.00","601.65K","-2.15%"
"05-02-2026","5,980.50","5,961.00","6,009.50","5,910.00","1.38M","-0.09%"
"04-02-2026","5,986.00","6,060.00","6,060.00","5,798.00","1.43M","-4.66%"
"03-02-2026","6,278.50","6,400.00","6,552.50","6,241.50","353.12K","3.22%"
"02-02-2026","6,082.50","6,119.50","6,120.00","5,992.00","180.83K","0.24%"
"01-02-2026","6,068.00","6,065.00","6,200.00","5,949.50","276.92K","0.55%"
"30-01-2026","6,035.00","6,026.50","6,085.00","5,979.50","486.26K","-0.58%"
"29-01-2026","6,070.00","6,202.50","6,213.00","5,993.50","637.80K","-2.30%"
"28-01-2026","6,213.00","6,199.00","6,299.50","6,079.50","372.88K","-0.05%"
"27-01-2026","6,216.00","6,125.00","6,238.50","6,060.00","491.99K","0.99%"
"23-01-2026","6,155.00","6,360.00","6,360.00","6,105.50","499.11K","-2.62%"
"22-01-2026","6,320.50","6,336.00","6,394.00","6,176.00","455.07K","1.26%"
"21-01-2026","6,242.00","6,330.00","6,392.00","6,027.50","2.13M","-1.58%"
"20-01-2026","6,342.50","6,419.50","6,491.00","6,300.00","573.69K","-1.48%"
"19-01-2026","6,438.00","6,395.00","6,467.50","6,250.00","383.37K","0.55%"
"16-01-2026","6,403.00","6,309.50","6,477.00","6,309.50","531.12K","2.06%"
"14-01-2026","6,274.00","6,325.00","6,350.00","6,230.00","327.71K","-1.31%"
"13-01-2026","6,357.50","6,340.00","6,424.50","6,278.00","228.02K","0.51%"
"12-01-2026","6,325.50","6,417.00","6,418.00","6,287.00","268.99K","-1.43%"
"09-01-2026","6,417.00","6,436.00","6,468.00","6,350.00","337.17K","-0.43%"
"08-01-2026","6,444.50","6,520.00","6,598.00","6,412.00","354.20K","-1.06%"
"07-01-2026","6,513.50","6,206.00","6,542.50","6,206.00","633.82K","4.23%"
"06-01-2026","6,249.00","6,204.00","6,294.00","6,177.50","173.69K","0.73%"
"05-01-2026","6,204.00","6,289.50","6,300.00","6,110.50","307.93K","-1.36%"
"02-01-2026","6,289.50","6,285.00","6,329.00","6,229.00","147.71K","0.11%"
"01-01-2026","6,282.50","6,285.00","6,299.00","6,213.50","113.35K","0.17%"
"31-12-2025","6,272.00","6,205.00","6,286.50","6,177.50","229.34K","1.44%"
"30-12-2025","6,183.00","6,205.50","6,279.00","6,126.50","1.23M","-0.73%"
"29-12-2025","6,228.50","6,300.00","6,324.50","6,207.50","250.24K","-1.14%"
"26-12-2025","6,300.50","6,353.00","6,399.50","6,275.00","287.27K","-0.82%"
"24-12-2025","6,352.50","6,487.00","6,487.00","6,338.50","200.95K","-2.10%"
"23-12-2025","6,489.00","6,580.00","6,599.00","6,448.00","215.87K","-1.14%"
"22-12-2025","6,563.50","6,370.00","6,595.50","6,365.50","359.56K","3.23%"
"19-12-2025","6,358.00","6,382.50","6,417.00","6,290.50","261.14K","0.63%"
"18-12-2025","6,318.50","6,260.00","6,339.50","6,230.00","167.34K","0.57%"
"17-12-2025","6,282.50","6,240.00","6,348.50","6,232.50","194.75K","0.31%"
"16-12-2025","6,263.00","6,260.00","6,310.00","6,190.00","235.76K","-0.55%"
"15-12-2025","6,297.50","6,321.00","6,336.50","6,259.00","185.16K","-0.62%"
"12-12-2025","6,336.50","6,240.00","6,357.00","6,204.00","311.44K","2.14%"
"11-12-2025","6,204.00","6,041.50","6,229.50","6,019.00","578.22K","2.83%"
"10-12-2025","6,033.50","6,321.50","6,373.00","6,013.50","518.86K","-4.26%"
"09-12-2025","6,302.00","6,336.50","6,358.00","6,217.00","482.73K","-0.71%"
"08-12-2025","6,347.00","6,551.00","6,553.00","6,311.00","354.53K","-2.66%"
"05-12-2025","6,520.50","6,453.00","6,531.50","6,428.00","204.57K","1.06%"
"04-12-2025","6,452.00","6,380.00","6,528.50","6,334.00","668.83K","1.91%"
"03-12-2025","6,331.00","6,393.50","6,408.00","6,295.00","342.37K","-0.98%"
"02-12-2025","6,393.50","6,390.00","6,447.00","6,337.50","253.32K","-0.20%"
"01-12-2025","6,406.00","6,375.50","6,425.00","6,331.00","199.54K","0.83%"
"28-11-2025","6,353.00","6,440.00","6,455.00","6,318.50","208.81K","-1.23%"
"27-11-2025","6,432.00","6,425.00","6,478.00","6,383.50","445.81K","0.27%"
"26-11-2025","6,415.00","6,404.50","6,421.50","6,360.00","167.02K","0.70%"
"25-11-2025","6,370.50","6,421.50","6,421.50","6,324.00","225.85K","-0.06%"
"24-11-2025","6,374.50","6,300.00","6,426.50","6,297.00","1.38M","1.24%"
"21-11-2025","6,296.50","6,324.50","6,370.00","6,262.50","342.41K","-0.85%"
"20-11-2025","6,350.50","6,316.00","6,419.00","6,315.00","481.90K","0.55%"
"19-11-2025","6,316.00","6,080.00","6,342.00","6,076.00","874.80K","3.89%"
"18-11-2025","6,079.50","6,110.00","6,125.00","6,062.00","255.51K","-0.60%"
"17-11-2025","6,116.50","6,129.00","6,135.00","6,069.00","239.27K","0.25%"
"14-11-2025","6,101.00","6,100.00","6,136.50","6,034.00","198.06K","-0.59%"
"13-11-2025","6,137.00","6,135.00","6,185.50","6,077.50","301.95K","0.04%"
"12-11-2025","6,134.50","6,045.50","6,168.00","6,045.50","505.79K","1.72%"
"11-11-2025","6,031.00","5,899.50","6,040.00","5,880.50","766.56K","2.84%"
"10-11-2025","5,864.50","5,789.00","5,889.00","5,766.50","304.47K","1.44%"
"07-11-2025","5,781.00","5,842.00","5,842.00","5,699.00","279.26K","-1.04%"
"06-11-2025","5,842.00","5,926.50","5,926.50","5,796.50","341.27K","-0.28%"
"04-11-2025","5,858.50","5,920.00","5,955.00","5,814.50","338.74K","-1.22%"
"03-11-2025","5,931.00","5,920.00","5,940.00","5,853.00","135.14K","0.24%"
"31-10-2025","5,916.60","5,961.70","5,965.00","5,875.10","336.90K","-0.76%"
"30-10-2025","5,961.70","5,891.10","5,967.00","5,881.00","241.54K","1.20%"
"29-10-2025","5,891.10","5,830.00","5,915.50","5,815.40","307.90K","1.10%"
"28-10-2025","5,826.90","5,782.00","5,874.80","5,782.00","425.50K","-0.87%"
"27-10-2025","5,878.10","5,880.00","5,900.00","5,845.10","232.66K","0.89%"
"24-10-2025","5,826.00","5,843.90","5,929.30","5,800.00","383.01K","-0.17%"
"23-10-2025","5,835.90","5,910.00","5,977.00","5,816.80","906.22K","0.62%"
"21-10-2025","5,800.10","5,825.00","5,860.00","5,785.00","33.87K","-0.76%"
"20-10-2025","5,844.70","5,783.40","5,859.90","5,768.70","373.32K","1.55%"
"17-10-2025","5,755.70","5,800.00","5,825.00","5,725.00","469.35K","-1.47%"
"16-10-2025","5,841.50","5,722.10","5,850.00","5,703.20","940.81K","2.04%"
"15-10-2025","5,724.60","5,522.00","5,738.40","5,465.50","3.47M","7.24%"
"14-10-2025","5,337.90","5,360.00","5,438.00","5,287.40","406.57K","0.15%"
"13-10-2025","5,329.70","5,327.90","5,338.60","5,202.00","291.42K","-0.52%"
