"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,332.80","1,342.50","1,342.50","1,319.80","1.15M","-1.26%"
"12-03-2026","1,349.80","1,334.40","1,356.50","1,327.00","3.07M","1.15%"
"11-03-2026","1,334.40","1,343.90","1,355.40","1,330.20","1.50M","-0.16%"
"10-03-2026","1,336.60","1,340.00","1,347.90","1,316.70","1.07M","0.02%"
"09-03-2026","1,336.30","1,305.00","1,340.40","1,304.10","1.03M","0.35%"
"06-03-2026","1,331.70","1,330.00","1,359.50","1,326.60","1.03M","-0.12%"
"05-03-2026","1,333.30","1,358.00","1,366.70","1,319.30","1.21M","-1.32%"
"04-03-2026","1,351.20","1,321.00","1,362.20","1,321.00","1.82M","0.43%"
"02-03-2026","1,345.40","1,335.00","1,362.80","1,322.20","1.56M","-0.91%"
"27-02-2026","1,357.80","1,391.00","1,410.40","1,354.00","2.60M","-0.29%"
"26-02-2026","1,361.80","1,366.40","1,396.60","1,360.40","1.59M","0.00%"
"25-02-2026","1,361.80","1,355.10","1,397.70","1,351.40","2.68M","1.22%"
"24-02-2026","1,345.40","1,420.00","1,423.20","1,335.30","7.44M","-6.63%"
"23-02-2026","1,440.90","1,459.50","1,470.00","1,430.00","2.66M","-1.10%"
"20-02-2026","1,456.90","1,465.00","1,477.30","1,453.10","1.60M","-1.51%"
"19-02-2026","1,479.30","1,506.80","1,532.80","1,472.30","1.11M","-1.69%"
"18-02-2026","1,504.80","1,524.60","1,528.60","1,481.70","1.99M","-1.25%"
"17-02-2026","1,523.80","1,512.70","1,547.50","1,506.00","1.78M","0.73%"
"16-02-2026","1,512.70","1,526.00","1,541.90","1,494.70","1.87M","-1.41%"
"13-02-2026","1,534.40","1,482.60","1,548.00","1,464.40","7.06M","-0.14%"
"12-02-2026","1,536.60","1,605.00","1,611.00","1,528.00","5.34M","-5.98%"
"11-02-2026","1,634.40","1,655.00","1,658.00","1,625.00","1.52M","-0.62%"
"10-02-2026","1,644.60","1,625.00","1,658.50","1,611.10","1.53M","1.41%"
"09-02-2026","1,621.70","1,625.00","1,636.00","1,613.60","933.82K","0.11%"
"06-02-2026","1,619.90","1,645.00","1,645.90","1,600.00","1.99M","-1.60%"
"05-02-2026","1,646.20","1,630.10","1,659.10","1,630.00","1.72M","0.05%"
"04-02-2026","1,645.30","1,651.00","1,656.00","1,598.00","4.82M","-4.15%"
"03-02-2026","1,716.50","1,845.00","1,854.00","1,712.70","2.71M","-0.44%"
"02-02-2026","1,724.00","1,713.70","1,729.60","1,709.20","1.03M","0.39%"
"01-02-2026","1,717.30","1,732.00","1,766.40","1,706.40","654.18K","-1.48%"
"30-01-2026","1,743.10","1,757.10","1,760.00","1,731.00","1.67M","-1.43%"
"29-01-2026","1,768.40","1,751.10","1,776.60","1,736.10","1.89M","0.31%"
"28-01-2026","1,762.90","1,748.00","1,765.70","1,739.90","2.53M","1.02%"
"27-01-2026","1,745.10","1,720.00","1,749.00","1,700.00","2.93M","2.59%"
"23-01-2026","1,701.10","1,699.00","1,709.70","1,689.20","1.83M","0.81%"
"22-01-2026","1,687.40","1,695.00","1,712.60","1,682.70","3.12M","0.04%"
"21-01-2026","1,686.70","1,678.50","1,694.30","1,660.10","1.77M","0.49%"
"20-01-2026","1,678.50","1,715.00","1,716.70","1,675.00","1.83M","-2.32%"
"19-01-2026","1,718.30","1,690.00","1,736.00","1,673.50","10.62M","2.86%"
"16-01-2026","1,670.50","1,600.00","1,680.70","1,600.00","3.73M","5.16%"
"14-01-2026","1,588.50","1,612.90","1,613.00","1,583.10","1.57M","-1.63%"
"13-01-2026","1,614.80","1,582.00","1,622.90","1,582.00","2.57M","1.81%"
"12-01-2026","1,586.10","1,572.10","1,594.00","1,562.80","652.32K","0.25%"
"09-01-2026","1,582.20","1,583.00","1,606.40","1,578.10","1.41M","0.27%"
"08-01-2026","1,577.90","1,625.00","1,632.80","1,574.50","1.66M","-2.91%"
"07-01-2026","1,625.20","1,599.00","1,633.90","1,595.80","1.31M","1.46%"
"06-01-2026","1,601.80","1,603.90","1,625.40","1,596.10","570.34K","0.31%"
"05-01-2026","1,596.90","1,601.90","1,610.10","1,576.10","907.81K","-0.94%"
"02-01-2026","1,612.00","1,611.00","1,619.10","1,601.90","637.08K","0.27%"
"01-01-2026","1,607.70","1,591.00","1,613.50","1,587.20","565.88K","1.06%"
"31-12-2025","1,590.90","1,614.80","1,614.80","1,588.30","729.91K","-0.85%"
"30-12-2025","1,604.60","1,614.90","1,616.20","1,599.00","1.97M","-0.48%"
"29-12-2025","1,612.40","1,614.00","1,629.80","1,610.10","891.10K","0.01%"
"26-12-2025","1,612.30","1,630.50","1,633.70","1,608.00","461.19K","-1.18%"
"24-12-2025","1,631.50","1,630.00","1,636.60","1,615.30","955.52K","-0.09%"
"23-12-2025","1,633.00","1,646.50","1,646.50","1,628.80","1.16M","-0.83%"
"22-12-2025","1,646.70","1,615.90","1,649.80","1,612.80","1.47M","2.12%"
"19-12-2025","1,612.50","1,611.00","1,624.00","1,595.00","1.80M","0.43%"
"18-12-2025","1,605.60","1,581.00","1,608.80","1,574.60","1.75M","1.66%"
"17-12-2025","1,579.40","1,578.20","1,586.20","1,570.30","582.25K","0.08%"
"16-12-2025","1,578.20","1,570.00","1,580.30","1,564.70","999.34K","0.18%"
"15-12-2025","1,575.40","1,571.00","1,588.70","1,567.70","784.78K","-0.19%"
"12-12-2025","1,578.40","1,575.00","1,580.50","1,558.70","754.48K","0.65%"
"11-12-2025","1,568.20","1,550.00","1,572.00","1,541.00","1.25M","1.12%"
"10-12-2025","1,550.80","1,563.00","1,572.90","1,548.20","735.59K","-0.69%"
"09-12-2025","1,561.60","1,579.10","1,586.00","1,559.00","1.53M","-1.90%"
"08-12-2025","1,591.80","1,581.00","1,595.70","1,572.70","2.83M","1.34%"
"05-12-2025","1,570.80","1,567.10","1,583.00","1,556.60","2.22M","0.54%"
"04-12-2025","1,562.30","1,545.10","1,577.90","1,541.10","2.42M","1.34%"
"03-12-2025","1,541.70","1,537.90","1,550.80","1,530.30","2.14M","0.33%"
"02-12-2025","1,536.70","1,523.10","1,539.00","1,520.00","1.75M","0.47%"
"01-12-2025","1,529.50","1,515.30","1,532.00","1,509.70","1.53M","0.80%"
"28-11-2025","1,517.30","1,515.80","1,525.30","1,503.70","1.25M","0.50%"
"27-11-2025","1,509.80","1,523.00","1,532.00","1,505.00","1.43M","-0.70%"
"26-11-2025","1,520.40","1,498.00","1,522.70","1,496.20","1.59M","1.72%"
"25-11-2025","1,494.70","1,501.20","1,502.00","1,483.50","1.68M","0.00%"
"24-11-2025","1,494.70","1,470.00","1,513.80","1,461.80","6.81M","2.27%"
"21-11-2025","1,461.50","1,455.00","1,469.00","1,440.00","2.62M","0.38%"
"20-11-2025","1,456.00","1,445.30","1,464.70","1,430.70","2.82M","1.54%"
"19-11-2025","1,433.90","1,427.50","1,443.50","1,417.80","5.78M","0.84%"
"18-11-2025","1,422.00","1,444.00","1,451.10","1,419.50","1.55M","-2.12%"
"17-11-2025","1,452.80","1,440.00","1,455.90","1,438.30","999.42K","0.94%"
"14-11-2025","1,439.20","1,444.20","1,445.80","1,422.90","1.22M","-0.84%"
"13-11-2025","1,451.40","1,463.00","1,463.80","1,442.30","1.18M","-0.32%"
"12-11-2025","1,456.10","1,415.00","1,460.20","1,414.00","2.96M","3.42%"
"11-11-2025","1,408.00","1,405.00","1,410.40","1,392.20","2.49M","0.73%"
"10-11-2025","1,397.80","1,386.70","1,404.30","1,383.60","2.88M","0.80%"
"07-11-2025","1,386.70","1,400.10","1,409.80","1,385.00","1.21M","-1.90%"
"06-11-2025","1,413.60","1,412.00","1,420.90","1,410.00","2.50M","0.31%"
"04-11-2025","1,409.20","1,419.90","1,425.30","1,405.60","1.19M","-0.75%"
"03-11-2025","1,419.80","1,419.10","1,424.00","1,414.00","2.14M","-0.32%"
"31-10-2025","1,424.40","1,433.80","1,437.50","1,420.30","1.76M","-0.66%"
"30-10-2025","1,433.80","1,453.20","1,458.10","1,432.50","1.80M","-1.27%"
"29-10-2025","1,452.20","1,453.00","1,461.20","1,442.60","1.31M","0.33%"
"28-10-2025","1,447.40","1,469.00","1,469.60","1,435.30","1.43M","-1.05%"
"27-10-2025","1,462.80","1,457.90","1,475.60","1,457.00","1.04M","0.63%"
"24-10-2025","1,453.70","1,465.40","1,468.00","1,450.00","969.36K","-0.66%"
"23-10-2025","1,463.40","1,465.00","1,487.50","1,460.90","3.24M","1.01%"
"21-10-2025","1,448.70","1,450.00","1,457.30","1,442.00","114.23K","0.30%"
"20-10-2025","1,444.40","1,440.00","1,455.00","1,439.00","1.80M","-0.22%"
"17-10-2025","1,447.60","1,465.00","1,465.00","1,440.10","1.43M","-1.11%"
"16-10-2025","1,463.80","1,466.00","1,466.70","1,447.90","1.62M","0.33%"
"15-10-2025","1,459.00","1,470.00","1,479.00","1,440.40","2.81M","-0.61%"
"14-10-2025","1,468.00","1,460.00","1,479.80","1,457.90","1.43M","1.18%"
"13-10-2025","1,450.90","1,455.00","1,461.50","1,439.20","1.23M","-0.43%"
"10-10-2025","1,457.20","1,477.00","1,477.70","1,450.10","937.05K","-0.64%"
"09-10-2025","1,466.60","1,458.20","1,475.40","1,452.00","1.35M","0.58%"
"08-10-2025","1,458.20","1,432.10","1,472.80","1,432.10","1.15M","1.34%"
"07-10-2025","1,438.90","1,440.00","1,445.80","1,426.60","1.11M","-0.03%"
"06-10-2025","1,439.30","1,404.90","1,442.00","1,397.10","3.04M","2.76%"
"03-10-2025","1,400.60","1,423.00","1,423.80","1,397.30","2.57M","-1.09%"
"01-10-2025","1,416.00","1,401.00","1,423.60","1,393.40","1.68M","1.12%"
"30-09-2025","1,400.30","1,408.00","1,426.70","1,392.50","2.23M","-0.74%"
"29-09-2025","1,410.70","1,415.00","1,425.00","1,391.90","2.71M","0.21%"
"26-09-2025","1,407.70","1,439.90","1,441.50","1,403.50","1.85M","-2.53%"
"25-09-2025","1,444.30","1,452.00","1,460.20","1,437.00","1.58M","-0.56%"
"24-09-2025","1,452.40","1,470.00","1,470.00","1,439.00","2.12M","-1.32%"
"23-09-2025","1,471.90","1,511.70","1,511.70","1,468.20","1.38M","-2.23%"
"22-09-2025","1,505.40","1,499.00","1,510.00","1,453.30","5.72M","-3.11%"
"19-09-2025","1,553.80","1,551.00","1,557.40","1,541.60","2.62M","0.20%"
"18-09-2025","1,550.70","1,556.00","1,566.90","1,541.80","2.25M","0.23%"
"17-09-2025","1,547.20","1,538.30","1,549.40","1,525.60","1.95M","1.03%"
"16-09-2025","1,531.50","1,522.90","1,534.00","1,510.00","1.01M","0.77%"
"15-09-2025","1,519.80","1,527.90","1,527.90","1,505.60","825.52K","-0.37%"
"12-09-2025","1,525.50","1,529.00","1,530.00","1,512.50","770.70K","0.28%"
"11-09-2025","1,521.20","1,526.00","1,531.50","1,505.70","896.91K","-0.31%"
"10-09-2025","1,526.00","1,503.00","1,536.00","1,501.80","1.66M","1.86%"
"09-09-2025","1,498.20","1,466.60","1,500.00","1,465.70","1.75M","2.57%"
"08-09-2025","1,460.70","1,482.40","1,487.90","1,459.00","1.31M","-1.16%"
"05-09-2025","1,477.90","1,499.00","1,507.40","1,462.10","1.88M","-1.50%"
"04-09-2025","1,500.40","1,506.10","1,510.80","1,495.30","1.04M","-0.52%"
"03-09-2025","1,508.20","1,512.80","1,516.10","1,497.30","1.43M","-0.30%"
"02-09-2025","1,512.80","1,502.00","1,519.90","1,498.60","1.14M","0.48%"
"01-09-2025","1,505.50","1,485.00","1,509.90","1,485.00","1.24M","1.63%"
"29-08-2025","1,481.40","1,498.80","1,504.70","1,478.70","2.28M","-0.95%"
"28-08-2025","1,495.60","1,500.00","1,509.20","1,482.60","1.77M","-0.44%"
"26-08-2025","1,502.20","1,521.00","1,526.50","1,498.90","1.51M","-1.63%"
"25-08-2025","1,527.10","1,516.00","1,539.70","1,505.00","1.39M","1.47%"
"22-08-2025","1,505.00","1,529.60","1,529.60","1,499.00","969.60K","-1.07%"
"21-08-2025","1,521.30","1,528.00","1,531.70","1,509.10","1.25M","-0.18%"
"20-08-2025","1,524.10","1,488.00","1,532.00","1,487.40","2.33M","1.83%"
"19-08-2025","1,496.70","1,472.00","1,499.60","1,464.40","1.81M","1.73%"
"18-08-2025","1,471.20","1,500.00","1,500.00","1,468.10","1.25M","-1.04%"
"14-08-2025","1,486.70","1,509.90","1,529.90","1,485.00","1.72M","-1.30%"
"13-08-2025","1,506.30","1,515.00","1,518.70","1,499.30","1.82M","-0.20%"
"12-08-2025","1,509.30","1,482.60","1,517.40","1,481.00","2.53M","1.90%"
