"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","197.58","200.60","202.07","196.04","12.63M","-2.43%"
"12-03-2026","202.51","201.06","203.80","199.70","19.04M","0.14%"
"11-03-2026","202.23","202.69","205.95","201.58","29.20M","0.65%"
"10-03-2026","200.93","200.50","201.31","197.42","12.98M","1.10%"
"09-03-2026","198.75","194.00","199.50","193.03","25.86M","1.71%"
"06-03-2026","195.40","195.60","198.93","195.00","9.02M","-0.14%"
"05-03-2026","195.68","196.40","196.97","193.22","13.15M","0.07%"
"04-03-2026","195.55","196.01","197.12","194.51","19.56M","-1.52%"
"02-03-2026","198.57","195.00","200.36","194.70","10.49M","-1.19%"
"27-02-2026","200.96","204.00","204.00","200.05","13.29M","-0.06%"
"26-02-2026","201.08","203.71","204.63","199.12","14.38M","-0.42%"
"25-02-2026","201.92","201.31","205.48","201.31","13.98M","0.89%"
"24-02-2026","200.14","203.00","203.29","199.36","25.04M","-2.79%"
"23-02-2026","205.89","210.36","211.74","204.28","20.95M","-1.89%"
"20-02-2026","209.86","209.70","211.96","208.25","17.69M","-0.64%"
"19-02-2026","211.21","214.00","215.44","210.40","14.15M","-0.35%"
"18-02-2026","211.95","216.20","216.40","210.26","22.68M","-1.73%"
"17-02-2026","215.69","213.26","219.39","212.26","26.94M","1.14%"
"16-02-2026","213.26","214.62","216.91","210.11","20.75M","-0.39%"
"13-02-2026","214.09","210.65","216.48","209.01","23.72M","-2.28%"
"12-02-2026","219.08","226.20","226.26","218.50","40.90M","-4.67%"
"11-02-2026","229.81","231.47","233.00","229.50","7.87M","-0.72%"
"10-02-2026","231.47","229.98","232.86","227.20","12.44M","0.60%"
"09-02-2026","230.08","231.85","232.93","229.61","9.11M","-0.28%"
"06-02-2026","230.72","232.93","232.93","228.60","12.28M","-1.14%"
"05-02-2026","233.39","233.34","235.57","231.70","10.10M","0.02%"
"04-02-2026","233.34","235.91","235.92","226.26","26.00M","-3.85%"
"03-02-2026","242.69","259.21","259.89","242.28","25.92M","0.16%"
"02-02-2026","242.30","244.00","244.08","239.29","12.34M","0.21%"
"01-02-2026","241.80","236.80","247.23","235.44","21.03M","2.07%"
"30-01-2026","236.90","238.00","238.00","235.30","11.36M","-1.21%"
"29-01-2026","239.80","236.20","240.90","235.45","12.20M","1.03%"
"28-01-2026","237.35","235.50","238.10","234.95","10.16M","1.09%"
"27-01-2026","234.80","235.20","236.40","231.75","15.68M","-1.51%"
"23-01-2026","238.40","242.30","243.55","237.85","13.55M","-0.93%"
"22-01-2026","240.65","242.00","242.90","239.20","8.54M","0.46%"
"21-01-2026","239.55","239.90","242.60","237.60","14.40M","-0.15%"
"20-01-2026","239.90","245.95","246.00","239.40","16.80M","-2.46%"
"19-01-2026","245.95","252.00","252.00","241.55","65.83M","-8.04%"
"16-01-2026","267.45","263.25","269.80","263.00","12.03M","2.79%"
"14-01-2026","260.20","264.00","264.00","259.60","5.63M","-1.51%"
"13-01-2026","264.20","263.45","264.85","261.30","6.93M","0.42%"
"12-01-2026","263.10","260.70","264.50","259.05","3.80M","0.44%"
"09-01-2026","261.95","261.35","263.95","260.45","4.74M","-0.10%"
"08-01-2026","262.20","270.90","270.90","261.35","9.27M","-3.18%"
"07-01-2026","270.80","265.00","272.50","264.50","10.24M","1.96%"
"06-01-2026","265.60","263.30","266.10","262.95","4.08M","0.87%"
"05-01-2026","263.30","269.45","269.65","261.70","7.01M","-2.12%"
"02-01-2026","269.00","267.35","272.40","266.15","8.29M","0.62%"
"01-01-2026","267.35","264.50","268.05","263.75","3.64M","1.55%"
"31-12-2025","263.28","264.00","264.60","261.26","5.71M","-0.14%"
"30-12-2025","263.65","264.00","264.72","263.02","5.12M","-0.22%"
"29-12-2025","264.24","265.99","267.39","263.60","3.76M","-0.77%"
"26-12-2025","266.30","267.20","268.88","265.74","2.90M","-0.66%"
"24-12-2025","268.06","270.94","270.98","267.20","4.69M","-1.23%"
"23-12-2025","271.40","272.00","272.48","270.21","7.57M","-0.47%"
"22-12-2025","272.67","267.51","273.10","266.80","14.65M","3.11%"
