"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,296.50","1,304.30","1,317.80","1,288.10","1.63M","-1.17%"
"03/12/2026","1,311.90","1,308.00","1,319.80","1,289.40","2.11M","0.54%"
"03/11/2026","1,304.80","1,291.00","1,318.50","1,290.00","2.54M","1.47%"
"03/10/2026","1,285.90","1,260.00","1,291.80","1,249.00","2.20M","3.09%"
"03/09/2026","1,247.30","1,202.30","1,251.80","1,182.10","2.18M","1.25%"
"03/06/2026","1,231.90","1,224.90","1,244.70","1,215.10","804.37K","0.52%"
"03/05/2026","1,225.50","1,198.00","1,230.70","1,198.00","900.60K","2.52%"
"03/04/2026","1,195.40","1,201.00","1,202.90","1,179.80","909.69K","-1.24%"
"03/02/2026","1,210.40","1,186.20","1,223.90","1,186.20","888.44K","-0.82%"
"02/27/2026","1,220.40","1,225.30","1,240.00","1,214.30","1.78M","-0.02%"
"02/26/2026","1,220.70","1,217.10","1,250.90","1,213.50","2.37M","0.76%"
"02/25/2026","1,211.50","1,166.00","1,217.00","1,162.40","3.04M","4.04%"
"02/24/2026","1,164.40","1,156.30","1,167.20","1,144.00","988.01K","1.20%"
"02/23/2026","1,150.60","1,166.10","1,174.20","1,143.30","989.99K","-0.71%"
"02/20/2026","1,158.80","1,173.80","1,178.20","1,149.10","1.07M","-1.08%"
"02/19/2026","1,171.40","1,156.40","1,200.90","1,156.40","3.47M","1.02%"
"02/18/2026","1,159.60","1,188.60","1,193.50","1,129.20","3.29M","-2.28%"
"02/17/2026","1,186.70","1,184.60","1,212.80","1,167.70","3.07M","0.18%"
"02/16/2026","1,184.60","1,142.00","1,187.20","1,141.90","1.56M","3.40%"
"02/13/2026","1,145.60","1,149.10","1,157.40","1,126.80","1.68M","-1.06%"
"02/12/2026","1,157.90","1,146.60","1,163.00","1,132.10","1.09M","0.99%"
"02/11/2026","1,146.60","1,136.00","1,161.00","1,124.20","4.07M","2.00%"
"02/10/2026","1,124.10","1,208.00","1,218.70","1,106.00","8.58M","-6.61%"
"02/09/2026","1,203.70","1,191.00","1,210.00","1,171.50","1.10M","1.07%"
"02/06/2026","1,191.00","1,181.00","1,195.90","1,166.00","805.36K","0.80%"
"02/05/2026","1,181.60","1,212.70","1,212.70","1,176.90","1.22M","-2.56%"
"02/04/2026","1,212.70","1,226.10","1,237.40","1,166.00","1.36M","-1.09%"
"02/03/2026","1,226.10","1,230.00","1,247.30","1,211.20","2.83M","4.71%"
"02/02/2026","1,171.00","1,172.10","1,185.00","1,152.30","768.35K","-0.09%"
"02/01/2026","1,172.10","1,208.00","1,209.10","1,163.10","744.67K","-2.95%"
"01/30/2026","1,207.70","1,190.00","1,219.00","1,174.00","8.13M","4.96%"
"01/29/2026","1,150.60","1,140.40","1,154.10","1,127.20","576.78K","0.94%"
"01/28/2026","1,139.90","1,133.00","1,143.00","1,122.20","614.87K","0.90%"
"01/27/2026","1,129.70","1,139.80","1,139.80","1,116.20","656.43K","-0.25%"
"01/23/2026","1,132.50","1,145.30","1,150.50","1,120.80","511.87K","-1.12%"
"01/22/2026","1,145.30","1,130.10","1,149.00","1,130.10","622.80K","2.10%"
"01/21/2026","1,121.70","1,133.90","1,160.60","1,116.50","810.58K","-1.75%"
"01/20/2026","1,141.70","1,167.60","1,167.70","1,137.10","567.18K","-2.22%"
"01/19/2026","1,167.60","1,167.00","1,177.00","1,160.10","546.68K","-0.43%"
"01/16/2026","1,172.70","1,174.20","1,195.50","1,166.30","909.02K","-0.63%"
"01/14/2026","1,180.10","1,165.00","1,189.10","1,158.00","726.28K","1.06%"
"01/13/2026","1,167.70","1,185.00","1,185.00","1,154.40","854.95K","-0.44%"
"01/12/2026","1,172.90","1,193.10","1,197.80","1,166.50","689.08K","-2.15%"
"01/09/2026","1,198.70","1,206.00","1,211.40","1,188.00","889.12K","-0.61%"
"01/08/2026","1,206.10","1,236.00","1,236.00","1,203.00","879.60K","-2.37%"
"01/07/2026","1,235.40","1,236.40","1,270.80","1,225.20","2.36M","0.33%"
"01/06/2026","1,231.30","1,210.00","1,238.80","1,207.60","1.85M","1.98%"
"01/05/2026","1,207.40","1,220.00","1,222.00","1,199.00","644.08K","-0.66%"
"01/02/2026","1,215.40","1,200.70","1,217.50","1,192.00","516.06K","1.88%"
"01/01/2026","1,193.00","1,190.00","1,197.00","1,170.20","412.06K","0.85%"
"12/31/2025","1,183.00","1,185.00","1,193.80","1,178.00","928.86K","-0.28%"
"12/30/2025","1,186.30","1,202.00","1,208.90","1,179.00","1.06M","-1.15%"
"12/29/2025","1,200.10","1,206.20","1,214.10","1,192.30","1.34M","-0.51%"
"12/26/2025","1,206.20","1,213.70","1,220.90","1,203.80","310.35K","-0.43%"
"12/24/2025","1,211.40","1,220.90","1,226.70","1,208.70","253.90K","-0.54%"
"12/23/2025","1,218.00","1,230.00","1,236.10","1,206.20","665.12K","-0.53%"
"12/22/2025","1,224.50","1,225.10","1,234.90","1,222.10","476.21K","-0.05%"
"12/19/2025","1,225.10","1,214.00","1,240.70","1,211.10","1.40M","1.31%"
"12/18/2025","1,209.30","1,190.00","1,213.70","1,176.60","947.78K","1.37%"
"12/17/2025","1,193.00","1,172.50","1,196.80","1,172.50","736.88K","1.26%"
"12/16/2025","1,178.10","1,182.20","1,185.90","1,172.10","263.42K","-0.69%"
"12/15/2025","1,186.30","1,200.00","1,200.20","1,182.00","458.92K","-0.74%"
"12/12/2025","1,195.10","1,175.10","1,199.50","1,170.40","670.10K","1.95%"
"12/11/2025","1,172.20","1,171.60","1,185.70","1,163.40","704.58K","-0.03%"
"12/10/2025","1,172.60","1,161.00","1,184.90","1,161.00","657.18K","0.77%"
"12/09/2025","1,163.60","1,175.00","1,178.30","1,160.50","585.93K","-1.17%"
"12/08/2025","1,177.40","1,217.60","1,219.50","1,173.30","950.90K","-3.30%"
"12/05/2025","1,217.60","1,225.00","1,226.40","1,209.00","394.53K","-0.45%"
"12/04/2025","1,223.10","1,215.40","1,226.80","1,209.10","740.60K","1.17%"
"12/03/2025","1,208.90","1,208.60","1,214.00","1,196.40","718.89K","-0.52%"
"12/02/2025","1,215.20","1,216.00","1,218.90","1,207.40","507.18K","-0.08%"
"12/01/2025","1,216.20","1,229.00","1,229.00","1,204.00","692.44K","-0.86%"
"11/28/2025","1,226.70","1,238.00","1,242.30","1,216.00","556.12K","-0.74%"
"11/27/2025","1,235.80","1,227.40","1,239.00","1,222.60","667.41K","0.68%"
"11/26/2025","1,227.40","1,210.00","1,237.30","1,195.70","1.13M","1.61%"
"11/25/2025","1,208.00","1,192.00","1,216.00","1,190.60","792.81K","1.17%"
"11/24/2025","1,194.00","1,205.90","1,212.00","1,189.60","1.27M","-0.99%"
"11/21/2025","1,205.90","1,207.60","1,218.80","1,198.00","497.34K","-0.15%"
"11/20/2025","1,207.70","1,236.10","1,239.70","1,203.80","768.82K","-2.27%"
"11/19/2025","1,235.80","1,233.90","1,244.30","1,228.70","744.63K","-0.28%"
"11/18/2025","1,239.30","1,236.90","1,249.90","1,234.10","1.83M","0.19%"
"11/17/2025","1,236.90","1,222.50","1,241.10","1,218.30","988.09K","1.18%"
"11/14/2025","1,222.50","1,210.20","1,231.90","1,202.90","2.06M","1.02%"
"11/13/2025","1,210.20","1,191.00","1,222.90","1,185.60","2.64M","2.25%"
"11/12/2025","1,183.60","1,170.00","1,195.50","1,160.90","2.37M","1.32%"
"11/11/2025","1,168.20","1,158.00","1,173.70","1,153.50","1.48M","1.16%"
