"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,292.30","1,310.00","1,319.90","1,280.90","1.57M","-2.02%"
"03/12/2026","1,319.00","1,321.00","1,337.30","1,303.60","1.97M","-0.49%"
"03/11/2026","1,325.50","1,311.10","1,336.00","1,311.10","2.45M","0.83%"
"03/10/2026","1,314.60","1,288.00","1,329.60","1,288.00","2.33M","2.14%"
"03/09/2026","1,287.00","1,285.50","1,294.90","1,273.60","1.60M","-1.29%"
"03/06/2026","1,303.80","1,313.50","1,316.40","1,290.80","963.70K","-0.74%"
"03/05/2026","1,313.50","1,292.50","1,322.10","1,292.50","1.06M","1.73%"
"03/04/2026","1,291.20","1,274.40","1,299.20","1,272.10","1.89M","-0.25%"
"03/02/2026","1,294.40","1,252.60","1,300.00","1,221.20","1.05M","0.63%"
"02/27/2026","1,286.30","1,313.80","1,317.20","1,278.20","3.51M","-2.50%"
"02/26/2026","1,319.30","1,311.20","1,327.00","1,305.00","1.51M","0.98%"
"02/25/2026","1,306.50","1,281.00","1,324.00","1,266.90","2.30M","0.48%"
"02/24/2026","1,300.20","1,307.50","1,315.00","1,297.10","1.80M","-0.55%"
"02/23/2026","1,307.40","1,290.00","1,313.50","1,282.10","1.85M","2.11%"
"02/20/2026","1,280.40","1,281.90","1,292.40","1,275.00","1.75M","-0.15%"
"02/19/2026","1,282.30","1,290.00","1,295.70","1,276.50","1.33M","0.16%"
"02/18/2026","1,280.30","1,289.00","1,291.50","1,276.60","690.00K","-0.35%"
"02/17/2026","1,284.80","1,266.00","1,286.80","1,258.20","687.33K","1.21%"
"02/16/2026","1,269.40","1,257.10","1,275.20","1,257.10","469.59K","0.10%"
"02/13/2026","1,268.10","1,274.00","1,279.30","1,263.60","838.95K","-0.53%"
"02/12/2026","1,274.90","1,268.90","1,277.60","1,261.50","981.25K","0.36%"
"02/11/2026","1,270.30","1,263.90","1,273.50","1,253.20","855.89K","1.14%"
"02/10/2026","1,256.00","1,279.00","1,283.50","1,253.00","1.41M","-1.53%"
"02/09/2026","1,275.50","1,260.00","1,278.80","1,243.50","2.11M","2.76%"
"02/06/2026","1,241.20","1,244.90","1,248.90","1,225.00","1.32M","-0.30%"
"02/05/2026","1,244.90","1,242.00","1,253.60","1,237.00","953.24K","0.38%"
"02/04/2026","1,240.20","1,235.50","1,248.30","1,230.10","947.68K","0.39%"
"02/03/2026","1,235.40","1,265.00","1,265.90","1,218.10","1.52M","4.47%"
"02/02/2026","1,182.50","1,189.50","1,195.00","1,167.10","1.21M","0.32%"
"02/01/2026","1,178.70","1,220.20","1,235.60","1,169.00","555.39K","-3.23%"
"01/30/2026","1,218.10","1,200.00","1,224.80","1,200.00","1.67M","0.76%"
"01/29/2026","1,208.90","1,215.30","1,218.00","1,191.20","1.63M","-1.11%"
"01/28/2026","1,222.50","1,241.90","1,243.20","1,219.00","1.74M","-1.40%"
"01/27/2026","1,239.80","1,251.00","1,252.30","1,233.50","2.16M","0.34%"
"01/23/2026","1,235.60","1,230.00","1,250.80","1,225.00","3.89M","1.49%"
"01/22/2026","1,217.50","1,195.00","1,225.00","1,187.70","6.46M","5.21%"
"01/21/2026","1,157.20","1,170.00","1,193.80","1,148.40","2.32M","-0.81%"
"01/20/2026","1,166.70","1,168.40","1,192.80","1,161.40","2.79M","-0.04%"
"01/19/2026","1,167.20","1,170.00","1,177.50","1,164.70","1.25M","-0.71%"
"01/16/2026","1,175.50","1,184.00","1,197.00","1,171.50","2.21M","-0.93%"
"01/14/2026","1,186.50","1,191.10","1,195.00","1,176.10","2.83M","-0.40%"
"01/13/2026","1,191.30","1,215.60","1,215.90","1,185.50","2.07M","-1.99%"
"01/12/2026","1,215.50","1,210.00","1,218.70","1,199.90","707.32K","0.45%"
"01/09/2026","1,210.10","1,207.00","1,216.40","1,203.60","1.39M","0.27%"
