"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","905.90","913.20","924.60","901.50","862.44K","-1.20%"
"03/12/2026","916.90","918.50","926.60","909.50","462.28K","-0.53%"
"03/11/2026","921.75","923.10","936.15","918.00","565.32K","-0.15%"
"03/10/2026","923.10","915.00","927.00","909.00","549.02K","1.57%"
"03/09/2026","908.85","888.00","911.90","885.10","482.10K","-0.46%"
"03/06/2026","913.05","914.65","919.50","905.80","456.55K","-0.17%"
"03/05/2026","914.65","900.00","918.00","898.10","465.44K","1.98%"
"03/04/2026","896.90","894.00","903.90","889.00","1.28M","-1.10%"
"03/02/2026","906.90","893.65","911.45","893.00","518.65K","-1.61%"
"02/27/2026","921.70","939.90","939.90","916.55","1.04M","-1.79%"
"02/26/2026","938.50","928.00","947.55","922.25","1.44M","2.05%"
"02/25/2026","919.65","903.50","921.00","902.10","564.59K","1.75%"
"02/24/2026","903.85","902.05","907.00","899.10","369.02K","-0.45%"
"02/23/2026","907.95","906.95","910.05","900.00","354.28K","0.80%"
"02/20/2026","900.75","905.80","908.00","898.30","531.75K","-0.18%"
"02/19/2026","902.40","919.75","919.75","900.30","736.00K","-0.84%"
"02/18/2026","910.05","910.00","912.90","900.20","291.24K","0.38%"
"02/17/2026","906.65","910.00","914.15","903.55","234.31K","-0.42%"
"02/16/2026","910.45","905.00","916.45","905.00","438.65K","0.64%"
"02/13/2026","904.70","920.95","923.40","897.30","474.52K","-1.76%"
"02/12/2026","920.95","900.30","926.20","896.05","1.61M","2.52%"
"02/11/2026","898.30","888.90","899.80","882.00","843.96K","1.24%"
"02/10/2026","887.30","920.00","920.00","884.30","2.27M","-3.91%"
"02/09/2026","923.45","897.45","933.35","884.00","2.08M","3.97%"
"02/06/2026","888.15","905.00","905.00","884.00","492.79K","-1.86%"
"02/05/2026","905.00","909.25","910.00","896.60","419.00K","-0.03%"
"02/04/2026","905.25","905.20","912.50","898.65","495.45K","0.26%"
"02/03/2026","902.90","901.00","916.85","895.25","1.05M","2.64%"
"02/02/2026","879.65","876.30","882.00","863.65","405.65K","0.18%"
"02/01/2026","878.10","881.00","897.00","875.95","173.24K","-0.81%"
"01/30/2026","885.30","884.25","896.15","882.45","662.06K","-0.61%"
"01/29/2026","890.70","893.00","894.00","881.15","403.05K","-0.69%"
"01/28/2026","896.90","892.50","899.20","886.45","313.24K","0.40%"
"01/27/2026","893.35","890.00","894.95","879.90","490.21K","1.29%"
"01/23/2026","882.00","886.50","897.15","880.00","460.33K","-0.37%"
"01/22/2026","885.30","876.25","888.00","875.80","469.86K","1.03%"
"01/21/2026","876.25","868.00","884.00","868.00","902.66K","0.33%"
"01/20/2026","873.40","881.20","888.00","869.20","899.56K","-0.87%"
"01/19/2026","881.10","868.10","882.95","855.95","606.19K","1.50%"
"01/16/2026","868.10","888.00","891.00","865.40","1.05M","-1.77%"
"01/14/2026","883.75","900.70","902.00","881.00","728.21K","-1.88%"
"01/13/2026","900.70","902.00","902.05","885.45","493.97K","0.63%"
"01/12/2026","895.05","888.00","898.30","881.00","424.55K","0.02%"
"01/09/2026","894.90","906.95","913.55","890.50","797.15K","-1.39%"
"01/08/2026","907.55","928.10","930.00","905.55","430.37K","-2.16%"
"01/07/2026","927.55","928.00","941.00","923.20","518.05K","-0.38%"
"01/06/2026","931.05","921.95","933.10","917.75","450.78K","0.99%"
"01/05/2026","921.95","915.10","924.85","911.45","442.30K","0.55%"
"01/02/2026","916.90","918.85","918.85","912.00","262.10K","0.20%"
"01/01/2026","915.05","919.80","921.15","907.10","472.47K","0.08%"
"12/31/2025","914.35","902.00","915.70","902.00","383.44K","1.43%"
"12/30/2025","901.45","904.00","906.00","896.75","721.72K","-0.35%"
"12/29/2025","904.60","912.20","914.60","902.25","487.84K","-0.76%"
"12/26/2025","911.55","917.85","920.00","909.00","304.79K","-0.68%"
"12/24/2025","917.80","937.00","937.00","916.00","745.24K","-1.08%"
"12/23/2025","927.80","918.20","932.25","915.45","320.22K","1.05%"
"12/22/2025","918.20","925.20","928.00","917.30","479.71K","-0.15%"
